Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.0039012686,0.0027111305,49.131195,4.91312,54.106598,28.752497,-5.326121,0.0008461358,0.0014454325,0.0072539933,-0.003384538,0.00070363015,0.0022065071,0.0073457975,-0.00659886,-5.3434286,0.62643117,-3.4672542,-7.7483625,8.657467e-05,0.0014435435,0.003524316,-0.0055032093,0.00038402856,0.0015412661,0.004469597,-0.003583516,0.012758869,0.056830503,138.4012558437645,138.5834938429258,137.7017827229912,4000,9521,0,272.30287150000004,0,13.976360200000002,286.2792317,305.8110586,0
0.019867029,0.20407152,8.111459,0.8111459,119.562546,55.445114,-83.46027,82.92616,17.763765,126.6275,-14.755988,88.78525,14.611395,130.99782,15.087104,-1.9171282,1.8712493,2.7805796,-11.539518,0.046213787,0.4405987,1.8636761,-1.4238925,-0.831365,0.15093142,-0.26691744,-1.3667475,0.038500402,0.07455936,36.91797485066756,63.224463446474246,94.70809181763067,8000,15151,0,271.93576740000003,19.586012299999993,8.06121189999999,299.5829916,607.1763092999998,1
0.044091333,0.2526687,6.624524,0.6624524,319.38467,100.67771,-141.17924,140.90038,22.50629,225.53142,-21.199915,148.2744,18.46039,230.32895,8.846324,-1.533889,2.2110515,10.580785,-9.258776,-0.02876115,0.5758679,2.408164,-2.356984,-0.7620237,0.13932914,-0.35887796,-1.3853505,0.40643373,0.048492096,137.18928826782724,132.88151609546043,154.58764854708687,12000,20918,0,271.07100909999997,21.343556000000035,8.245280300000104,300.6598454000001,906.5108067,2
0.19698577,0.12570141,12.589623,1.2589624,124.1534,36.057575,-174.3298,170.27147,26.312807,248.238,-17.161566,175.57118,21.545177,243.3751,84.39372,-1.9077222,2.153342,5.7875514,-10.494306,0.023433227,0.5091648,2.2855706,-2.1032012,-0.77951694,0.15056705,-0.26259294,-1.7298986,0.47894216,0.06483772,178.09464631479185,143.71397884144932,157.85585311839046,16000,26377,0,272.2411969,20.01432310000007,7.961743700000056,300.2172637000001,1206.3683693,3
0.13204183,0.090630315,15.665177,1.5665177,119.88939,63.232185,-192.7759,190.61234,27.515778,277.15054,-33.24387,197.20726,22.163267,272.0,85.7058,-2.0007105,2.0013032,7.633315,-10.920411,-0.025829114,0.48721492,1.6558948,-2.3700233,-0.7781969,0.14912412,-0.30813625,-1.741119,1.2065489,0.05206738,161.5322363200878,164.51922094897213,161.19025047260465,20000,32131,0,274.75326930000006,19.660160899999937,8.21263709999971,302.6260672999997,1508.3705181000003,4
0.6773507,0.09643413,21.861269,2.186127,140.58902,83.225395,-210.52155,209.41327,34.735176,284.20996,-56.17972,215.22343,28.4523,288.65332,21.173176,-1.8747627,2.2017112,8.022287,-10.521402,0.030298254,0.46501514,2.141138,-1.8725675,-0.81875056,0.17675944,-0.22246587,-2.0939503,0.506256,0.03503439,155.72450840366508,151.71918581644013,156.5048710400812,24000,37618,0,272.448081,19.02810249999993,7.742624800000385,299.2188083000003,1808.1754553000003,5
0.7757704,0.08926611,24.340004,2.4340005,170.06943,38.061085,-229.04337,224.06259,38.672276,301.98724,-76.34401,229.0343,32.773994,308.7881,-8.73212,-1.8509657,2.1775894,11.133085,-8.949276,0.014922697,0.4611892,2.19726,-2.3718038,-0.8372248,0.17579061,-0.19385463,-2.1912134,0.18099429,0.022428855,155.610154728132,164.47682076709464,140.47759029398264,28000,43297,0,274.4123918,19.61574100000007,7.982606900000064,302.01073970000016,2110.082822000001,6
0.4824229,0.049114816,26.289461,2.628946,107.16387,36.594807,-236.45782,233.44281,35.225815,331.95572,-34.118416,237.02252,30.278206,318.92026,73.22239,-2.0529215,2.1306195,8.524747,-8.97936,0.00879601,0.46410975,2.0808008,-2.0469987,-0.81549513,0.16764952,-0.125768,-1.852145,0.5092728,0.017315317,164.02535882668124,170.06115732156758,185.05932728657098,32000,48915,0,273.34019420000004,19.51221630000009,7.963853900000231,300.81626440000036,2410.8922289000016,7
0.028175768,0.05414459,28.129158,2.8129158,144.50159,44.362225,-248.0901,245.3524,37.754494,327.33844,-13.457362,249.68768,30.256865,330.47763,117.126274,-1.8380541,2.1784825,11.57328,-8.864193,-0.016479798,0.47033593,2.639522,-2.2759657,-0.82720506,0.16256717,-0.22878845,-2.038783,0.25667584,0.023125207,170.890821694561,153.64966003354647,156.73694762442852,36000,54816,0,275.0421808000001,19.502966900000047,8.370046400001229,302.9151941000014,2713.7163762000027,8
0.5812031,0.04996015,28.780151,2.8780153,224.15881,48.923347,-260.34543,253.86115,36.23035,361.81818,-16.263962,259.48163,30.432886,347.54904,37.564423,-2.10186,2.1650124,12.518211,-13.011906,-0.02762255,0.45475146,1.8577535,-2.251843,-0.8056491,0.16270685,-0.23380387,-2.1000032,0.055599667,0.04125884,154.335823494097,179.68520900647962,166.62256797948834,40000,60291,0,274.5879226000002,19.42061399999966,7.58728070000052,301.59581730000036,3015.8314616000025,9
