Step_0-NumTrajs,Step_1-AverageReturn,LossAfter,Step_0-MaxReturn,Time-Sampling,Step_1-MaxReturn,Time,Step_1-PolicyExecTime,Step_0-MinReturn,Step_1-AverageDiscountedReturn,Step_0-PolicyExecTime,Step_0-AveragePolicyStd,Itr,Step_0-StdReturn,Time-SampleProc,KLCoeffInner,Step_1-StdReturn,Step_0-AverageReturn,Step_0-AverageAbsPolicyMean,Step_0-AverageDiscountedReturn,n_timesteps,ItrTime,Step_1-MinReturn,Step_0-EnvExecTime,Time-OuterStep,KLInner,Step_1-AveragePolicyStd,Time-InnerStep,Time-MAMLSteps,Step_1-AverageAbsPolicyMean,Step_1-EnvExecTime,LossBefore,Time-TotalInner,Step_1-NumTrajs
7472,107.54907679694705,0.06912754,270.28510572604534,69.41445112228394,262.985246987867,114.02320861816406,4.510314226150513,70.30476023066714,95.84578514504035,2.2033934593200684,1.0,0,23.098785361913595,16.031378030776978,0.0,27.850196338357435,101.0065688184141,0.6312938,90.82285043634712,320000,114.02320122718811,69.9376293793739,29.229139804840088,26.01004672050476,0.127624,0.9999409,1.9456558227539062,26.01019024848938,0.6453313,29.55358648300171,1.7204982e-09,87.5144898891449,6977
6963,117.47287150235269,0.023691913,319.7790478298071,69.57594180107117,339.08613582271397,217.7548213005066,3.887155771255493,71.36670895730273,103.23028872887225,1.5772535800933838,1.0001856,1,29.3813801944335,16.454732656478882,0.0,36.14744329837623,108.11776696597218,0.63596624,96.24774886995289,640000,103.7162561416626,70.3940835978482,29.945606231689453,16.71721601486206,0.035712432,1.0001029,0.7597780227661133,16.717357397079468,0.6522448,30.15295910835266,-2.1967206e-09,86.92581915855408,6374
6478,123.49778019006853,0.011044366,302.4018170101081,70.90459823608398,353.5727057498999,323.04730892181396,3.887249231338501,71.65018264311875,107.60631000775092,1.5776698589324951,1.0000931,2,34.586312363238946,16.583048582077026,0.0,39.729921474451814,115.17245889173606,0.6364397,101.46560168224802,960000,105.29200410842896,72.77959653375581,30.439914226531982,16.843125581741333,0.022032749,1.0000604,0.7586567401885986,16.843261003494263,0.649588,31.004910707473755,5.929236e-10,88.38002562522888,6030
6075,133.07864911882598,0.0095422575,333.4240207405469,71.22154402732849,424.18379434923156,427.77527928352356,3.8839786052703857,71.54246141203758,114.61211422051913,1.5823721885681152,0.99964285,3,39.312509008930064,15.75888991355896,0.0,44.77568812645909,123.10677601543597,0.64104587,107.3863632880036,1280000,104.72744941711426,70.62980675543855,30.957677364349365,16.79105544090271,0.014961499,0.9995651,0.7577431201934814,16.791194677352905,0.6556452,30.837470054626465,9.13521e-10,87.8713390827179,5619
5762,140.9100695787971,0.008157988,342.7513233640381,71.84435796737671,373.2786521479918,533.1343894004822,3.8849377632141113,71.69946295795488,120.24617535250768,1.5739185810089111,0.999157,4,41.55157764800156,15.639816045761108,0.0,47.741908593205515,129.6414039566143,0.64268905,112.2034952784962,1600000,105.35860633850098,71.35495398493973,31.100299835205078,16.92129683494568,0.015302015,0.99893934,0.7575080394744873,16.921430349349976,0.6569618,31.359827280044556,4.2947393e-10,88.37328100204468,5298
5471,147.75179407918006,0.011825228,359.96540741927976,72.44479727745056,457.4122941168419,639.0047981739044,3.914687395095825,72.32761819165361,125.10613335154365,1.5872797966003418,0.99859357,5,44.556011026503896,15.716291189193726,0.0,49.428639405590474,135.8966032262262,0.6452709,116.69739507065161,1920000,105.86990761756897,76.68125572273009,31.44910717010498,16.758458375930786,0.01594154,0.99831855,0.759678840637207,16.758596420288086,0.65806025,31.567363262176514,-4.1539466e-10,89.0509250164032,5010
5211,154.7407961619775,0.007816154,352.9366940615611,73.22792935371399,458.0060917439188,745.2176501750946,3.9375972747802734,74.74262183783912,129.91979322663238,1.5810396671295166,0.99812764,6,47.20661199354413,15.292619705200195,0.0,53.948134906034454,143.22673481277528,0.64779687,121.98862798937787,2240000,106.21232843399048,75.77055394438207,31.780705451965332,16.74873447418213,0.013628023,0.9979468,0.7564513683319092,16.748871326446533,0.6621288,31.986176013946533,2.0653357e-09,89.40446758270264,4808
4946,163.54669189628925,0.013993928,392.8194172830853,73.57714986801147,424.7452190343757,852.0428721904755,3.946697235107422,71.29588873280599,136.19639560841577,1.5891427993774414,0.99756014,7,48.02866014312025,15.508589029312134,0.0,54.14110405708345,150.67854334506833,0.65101635,127.37912007597578,2560000,106.8247184753418,72.41493324326227,31.920287132263184,16.79363179206848,0.013545518,0.997145,0.7616488933563232,16.793776035308838,0.6637945,32.205178022384644,-9.902676e-10,89.97450971603394,4560
4679,168.53786130233482,0.01986815,418.5811634597827,74.1654942035675,502.9571323123382,958.9830811023712,3.9648334980010986,75.98934254693853,139.47269559912382,1.5860610008239746,0.9968882,8,51.235027430910876,15.156719207763672,0.0,55.362686824540006,158.18035325821208,0.65418184,132.4972661593341,2880000,106.93972778320312,76.29898603102829,32.25142216682434,16.67795205116272,0.0146935135,0.99664783,0.7577862739562988,16.678088903427124,0.66486746,32.42696404457092,-2.0698401e-10,90.20646238327026,4382
4508,175.32382465444647,0.018755298,446.5314575192325,74.95852756500244,575.6083958854884,1066.8503589630127,3.9629502296447754,79.5664202626949,144.13573007032863,1.97214674949646,0.9964878,9,52.555755006509955,15.184608697891235,0.0,57.089973482767604,164.7479531548896,0.65501684,137.0987280610638,3200000,107.86675024032593,76.77018019714549,32.52494955062866,16.78142809867859,0.015366634,0.9962848,0.7593355178833008,16.781564712524414,0.6667208,32.58328557014465,-7.8418455e-10,91.02833485603333,4236
4357,180.38677988404177,0.02047889,488.1255617352655,74.80941820144653,445.09284790576004,1174.5069916248322,3.963036298751831,77.06115213408106,147.44824732939927,1.5964734554290771,0.9959576,10,54.22904371950137,15.014120817184448,0.0,58.632823554126574,169.22051238578547,0.654321,140.04757639563925,3520000,107.65607237815857,77.58274761500033,32.6266508102417,16.89523959159851,0.014237851,0.9957702,0.7586758136749268,16.895381450653076,0.66672707,32.74393701553345,9.923712e-10,90.70705223083496,4095
