Step_0-AverageReturn,Step_0-MinReturn,Step_1-NumTrajs,Step_0-MaxReturn,ItrTime,Step_0-NumTrajs,Step_0-EnvExecTime,Time-TotalInner,Time-InnerStep,Time-MAMLSteps,Step_1-EnvExecTime,Step_1-MinReturn,Time,Step_1-AverageReturn,MeanKL,Itr,Step_1-AveragePolicyStd,Time-Sampling,LossBefore,Step_0-AveragePolicyStd,Step_1-StdReturn,Step_1-MaxReturn,Time-SampleProc,Step_1-AverageDiscountedReturn,Step_1-PolicyExecTime,dLoss,n_timesteps,Step_0-StdReturn,LossAfter,Step_0-AverageDiscountedReturn,MeanKLBefore,Step_0-PolicyExecTime,Time-OuterStep
-2.660705809345906,-17.55107381393578,24319,21.52121870620371,81.62602710723877,24857,19.63263487815857,58.039448499679565,1.200218915939331,22.998879194259644,19.857186555862427,-14.869513162869179,81.6260335445404,-1.238756237160075,0.0069210962,0,0.99970895,48.150516510009766,3.6161468e-10,1.0,3.7029309993112904,28.32434694404795,8.561609268188477,-1.1829697990013677,3.487201452255249,0.037161153,320000,3.9224910594625135,-0.037161153,-2.5319570886361675,0.0,1.581575870513916,22.998675107955933
-1.781262793397748,-17.406870129925615,21124,27.65416212500304,68.86299753189087,22906,19.346492052078247,54.91271138191223,0.1520087718963623,13.772375106811523,19.158132791519165,-14.7426262269629,150.49324989318848,-0.36612293107494426,0.00693821,1,0.99230474,46.239758014678955,-7.0792644e-10,0.9928974,4.0227619222131,37.805987105190276,8.390609979629517,-0.33923301403022993,2.9640679359436035,0.033998393,640000,3.930695542166219,-0.033998393,-1.6809574625698867,1.5013837e-09,1.0604562759399414,13.772202968597412
-2.5877354481117814,-17.139801701292996,21577,33.079741713961475,68.90004968643188,23583,19.465949296951294,55.126914262771606,0.1547553539276123,13.597506999969482,19.457642316818237,-15.961023440024517,219.39382410049438,-1.0254284629794452,0.0067265267,2,0.9861413,46.60041785240173,1.1008268e-09,0.9869988,4.384330967474556,78.90387426130108,8.241267204284668,-0.9797968529437427,2.9109697341918945,0.03180231,960000,4.072232270726148,-0.03180231,-2.462150887181757,1.5828565e-09,1.0197193622589111,13.597352504730225
-2.0729042168239595,-17.406998161812634,19792,37.15026716371239,67.71582126617432,22732,19.20609474182129,53.96247172355652,0.1545391082763672,13.587993144989014,18.88791298866272,-17.679271333127858,287.1101117134094,-0.5538241424635033,0.006917596,3,0.9812806,45.67065095901489,2.9157174e-10,0.9823989,4.557006339027507,56.737037146029486,8.013799905776978,-0.5156409999675015,2.926941156387329,0.030616889,1280000,4.1690106608609625,-0.030616889,-1.959387256384165,3.0260516e-09,0.9995548725128174,13.587835550308228
-1.1250570143966416,-16.76480328546639,16935,60.29541019462024,66.0610990524292,20619,18.78685736656189,52.27988886833191,0.15322160720825195,13.629364490509033,18.268177032470703,-16.10217210161696,353.17174911499023,0.6184717555433369,0.0071845083,4,0.9735025,44.89303135871887,-1.9793305e-09,0.9745293,5.451018967708165,93.67930862203492,7.126417636871338,0.6005973796151902,2.903691053390503,0.027200622,1600000,4.459564943970456,-0.027200624,-1.0380837762681814,-1.5832484e-09,1.413506031036377,13.629209518432617
-0.9786051163190792,-20.887559929265898,15962,49.601558244081176,65.09970545768738,19917,18.759787797927856,51.420528411865234,0.15512633323669434,13.537097215652466,18.237422943115234,-15.784202727526564,418.2719235420227,0.9909515294559986,0.007161765,5,0.9649725,44.30656456947327,-1.2787418e-09,0.9665359,5.545239652846975,67.3507097508811,6.857952117919922,0.9597641990412149,2.896451473236084,0.025577577,1920000,4.406040056107989,-0.025577579,-0.8929823977571891,1.5828526e-09,0.9807131290435791,13.53694200515747
0.07757998189299742,-16.487895206671887,13130,108.19043358592118,63.980284214019775,17329,18.370009660720825,50.32411003112793,0.1508164405822754,13.530558586120605,18.30955410003662,-24.883038367917408,482.2526843547821,2.4776677318841145,0.0070423544,6,0.95633954,43.95662260055542,-4.892747e-10,0.9578439,7.618690911083694,118.0886904745384,6.127147912979126,2.3156584530663653,2.9398765563964844,0.020519001,2240000,5.442952840675356,-0.020519001,0.11078663927688281,-3.119549e-09,0.9806222915649414,13.530410051345825
0.6839114757496709,-20.762764469956245,11659,85.00781166276474,62.6993567943573,16307,18.243662357330322,48.991148471832275,0.15419840812683105,13.58605170249939,17.658546924591064,-25.456967253180395,544.9527180194855,3.676861394796183,0.0073595,7,0.9495616,43.20198845863342,-2.3826598e-09,0.95118576,8.517153342698789,111.4929372214561,5.5534985065460205,3.4002362861383086,2.9569411277770996,0.020182488,2560000,5.647717998056716,-0.02018249,0.6856586465159594,1.7690844e-09,1.0130376815795898,13.58590054512024
1.0297411317533909,-29.09688853606878,10499,119.38132041968585,61.76982045173645,14568,17.944307565689087,48.06804084777832,0.15130162239074707,13.583037853240967,17.56375026702881,-35.95652147690349,606.7231132984161,4.379104025378421,0.0072696283,8,0.9404098,42.730241537094116,3.3556422e-09,0.9420019,10.772124921491686,124.08845430141206,5.110438585281372,3.957204623687656,2.9765737056732178,0.017407425,2880000,6.536392266344885,-0.017407421,0.9922570738611465,4.93601e-09,0.9854593276977539,13.58288311958313
2.999259033112579,-24.82709921531297,8657,116.69973623178252,61.076706409454346,12179,17.7235164642334,47.35620474815369,0.15087318420410156,13.604832410812378,17.990684270858765,-37.66201138984054,667.8003118038177,7.015608519820503,0.008944335,9,0.9311994,42.93502426147461,-1.4940049e-09,0.93282753,14.316052277918203,163.05775612163646,4.207473516464233,6.171087622971533,3.0250589847564697,0.01587201,3200000,8.281592917697797,-0.015872011,2.801441931335608,4.0500936e-13,0.9967329502105713,13.604682207107544
