Q Predictions Mean,AverageReturn_all_test_tasks,Train Time (s),KL Loss,Epoch,R Predictions Mean,(Previous) Eval Time (s),QF Loss,R Predictions Max,V Predictions Min,Number of env steps total,R Predictions Min,Sample Time (s),Policy Loss,Log Pis Max,Q Predictions Min,Epoch Time (s),Total Train Time (s),Number of rollouts total,Z mean train,Z variance train,VF Loss,Z mean eval,R Predictions Std,Log Pis Std,KL Divergence,Z variance eval,Policy log std Max,Policy mu Std,Log Pis Mean,AverageReturn_all_train_tasks,Policy log std Mean,Policy mu Max,V Predictions Max,Q Predictions Max,Q Predictions Std,V Predictions Mean,Number of train steps total,Policy log std Std,V Predictions Std,Policy log std Min,RF Loss,Policy mu Mean,Log Pis Min,Policy mu Min
555.413,31.7400607386,73.52162246999978,5.28013277053833,10,0.00571411,4.093508245000066,242.639,0.014336,58.2552,114000,-0.00291767,10.581099708999773,-561.686,10.4018,54.3356,88.19623042399962,974.9366155769967,680,1.45469,0.166612,57.4612,0.602905,0.00253197,3.17781,52.801326751708984,0.121101,0.0868604,1.05262,0.957892,641.051099781,-0.462982,2.34429,884.177,892.081,180.144,561.431,22000,0.196591,176.46,-1.48107,122.437,-0.137782,-10.8192,-2.51153
365.996,684.737015163,74.65601718400012,3.263348340988159,11,0.00564682,4.06820551599958,203.408,0.0122864,48.9864,124000,-0.00204829,10.391669257997819,-369.788,9.79249,14.1321,89.11589195799752,1063.9328511559938,740,0.802136,0.0844231,64.5055,1.40523,0.00233342,2.53537,32.63348388671875,0.107145,0.048557,0.804959,-1.1065,670.298556316,-0.395885,2.1443,876.079,886.978,174.476,370.114,24000,0.196855,173.824,-1.22358,49.0454,-0.0418506,-6.95737,-2.22507
517.873,652.858251689,74.066184367,8.59601879119873,12,0.0060721,3.948810832000163,391.333,0.0148274,51.1978,134000,-0.00237518,10.37688875000049,-524.243,10.5086,18.2771,88.39188394900066,1152.4100307929957,800,1.60255,0.176925,133.746,0.79745,0.00262882,3.20067,85.9601821899414,0.0942101,0.107752,0.99913,0.59612,653.109363392,-0.438189,2.63827,1072.51,1063.57,215.154,531.351,26000,0.259047,213.505,-1.68677,199.479,-0.246479,-9.38421,-2.88222
529.624,705.4125874,73.85118133399965,3.786834478378296,13,0.00564972,4.034992332000002,228.238,0.0120091,-9.00146,144000,-0.00183821,10.246542254000815,-535.382,10.6527,-7.63981,88.13271592000046,1240.5947651679967,860,1.15395,0.126473,76.8177,1.25886,0.00235054,2.83177,37.868343353271484,0.112512,-0.00565334,0.915384,-0.23702,730.360201798,-0.453844,2.46484,1009.4,1024.07,244.208,536.682,28000,0.194229,242.051,-1.34693,86.0529,-0.0928027,-10.1381,-2.4233
710.265,733.14286281,74.3750214669999,5.889116287231445,14,0.00561975,4.087009230000149,199.76,0.0129018,33.9284,154000,-0.000874369,10.212099499999567,-715.022,12.1166,13.8902,88.67413019699961,1329.3011018079956,920,1.50177,0.0758854,57.0795,1.11875,0.00233051,3.2938,58.89116287231445,0.0774778,0.115885,1.04827,0.919253,699.240923876,-0.482783,3.1643,1346.26,1371.82,329.492,716.784,30000,0.233236,327.61,-1.6639,94.4828,-0.041124,-8.82783,-3.43647
503.084,725.719001026,73.59119684299958,2.512049674987793,15,0.00551499,4.119544122999741,702.507,0.0121128,87.1635,164000,-0.00132591,10.261301792002087,-506.638,9.20243,94.1738,87.97204275800141,1417.2590846069984,980,1.21307,0.135697,305.48,2.64759,0.00223896,2.6613,25.12049674987793,0.0929314,0.0686952,0.801405,-1.14339,781.82224529,-0.441037,2.58925,1189.64,1199.13,254.59,511.325,32000,0.195491,253.236,-1.25416,46.7227,0.00451888,-7.6929,-2.29499
718.848,817.524514968,74.59792962899974,11.235384941101074,16,0.00585493,4.105881415000113,601.055,0.0139626,94.102,174000,-0.0017624,10.422301392001373,-728.024,13.7634,82.389,89.12611243600122,1506.3374322209993,1040,2.51963,0.077471,139.925,1.51667,0.00238074,3.56743,112.35385131835938,0.0460991,0.195304,1.16737,2.07017,815.628986048,-0.507423,3.84354,1263.98,1271.47,233.854,726.979,34000,0.266527,230.198,-1.90934,143.014,-0.249033,-7.42066,-3.23669
1214.55,808.980325986,74.1548223560003,7.397602081298828,17,0.0052107,4.058563069999764,335.67,0.0119597,130.237,184000,-0.00221458,10.18989903499778,-1218.24,14.6087,128.376,88.40328446099784,1594.594028590997,1100,1.8934,0.191479,112.495,1.48411,0.00242168,3.58765,73.97602081298828,0.0614572,0.0533552,1.23642,2.63246,805.825984626,-0.543155,3.07642,1610.6,1639.22,239.048,1215.84,36000,0.19255,233.521,-1.68699,172.363,-0.0937825,-7.7948,-3.74991
1032.06,849.104395163,74.3805490499999,5.444868087768555,18,0.00574327,3.9124413969998386,426.051,0.0133823,140.265,194000,-0.00124959,10.432162283001617,-1038.76,12.6934,139.875,88.72515273000135,1683.3926590319988,1160,0.455219,0.100304,164.458,2.2123,0.00232121,3.82895,54.44868087768555,0.0766068,0.0946307,1.11542,1.47716,856.562679927,-0.529555,2.70667,1637.84,1640.43,390.783,1041.7,38000,0.201984,389.203,-1.50822,177.409,-0.083362,-10.9725,-2.89265
1085.66,849.214082925,73.88314130899971,4.307236671447754,19,0.00534299,3.9865221590002875,246.02,0.0118501,122.961,204000,-0.00198546,10.392252462998385,-1087.14,11.7417,130.175,88.26191593099838,1771.7364339589967,1220,1.18218,0.140523,184.757,1.70767,0.00240044,3.11389,43.072364807128906,0.0268069,0.0568957,1.11862,1.71037,851.910797938,-0.538007,2.46908,1477.3,1479.04,216.25,1096.25,40000,0.183661,214.485,-1.45349,131.936,-0.150724,-9.30047,-2.80519
764.924,870.818968224,74.12838208600078,6.011465072631836,20,0.00582072,4.068845285999487,229.706,0.0141354,127.156,214000,-0.00321645,10.39176616399891,-773.27,12.3046,97.5237,88.58899353599918,1860.2513842519966,1280,1.19246,0.0496619,88.3833,1.7943,0.00223848,3.08385,60.11465072631836,0.0698362,0.15587,1.0349,0.752569,874.368105493,-0.484878,2.77618,1699.27,1714.09,378.137,773.526,42000,0.220116,375.638,-1.56355,117.178,-0.10308,-7.96969,-2.99034
1233.53,895.72466757,73.90225257699967,5.686731338500977,21,0.00563837,3.995280845999332,259.211,0.0121801,147.041,224000,-0.00186266,10.141242321997197,-1245.03,12.1707,120.851,88.0387757449962,1948.3351971969932,1340,1.48973,0.148543,74.7114,1.42266,0.00225868,3.26653,56.867313385009766,0.0364511,0.0467101,1.17394,2.11598,913.470949932,-0.529848,2.87899,1669.35,1663.18,257.746,1243.91,44000,0.174918,252.534,-1.45117,178.364,-0.128447,-8.8409,-2.98106
1019.87,906.7805932,74.62439102799999,5.978112697601318,22,0.00591571,4.040874342999814,216.801,0.0123573,157.378,234000,-0.000609742,9.875642268004412,-1027.71,13.6504,148.007,88.54090763900422,2036.8749390229968,1400,1.36623,0.064603,70.882,1.9298,0.00222607,3.27301,59.781124114990234,0.0496278,0.12731,1.08031,1.34678,911.999896192,-0.535712,2.54021,1865.42,1863.28,437.874,1029.01,46000,0.224856,435.841,-1.65965,158.673,-0.158177,-6.72296,-3.17342
1068.81,879.955137195,75.01223482400019,7.8085856437683105,23,0.0058693,4.040196148999712,372.994,0.0147373,142.291,244000,-0.0011223,10.49826228999791,-1070.35,11.9015,144.25,89.55069326299781,2126.4292954999955,1460,2.17313,0.164934,179.947,1.35947,0.00222836,3.23538,78.08585357666016,0.0522148,0.187732,1.10947,1.60745,881.187872086,-0.532965,2.50815,1650.42,1663.19,316.233,1078.24,48000,0.22796,309.131,-1.7116,165.317,-0.178127,-10.3047,-2.87179
1083.83,-36.8843916784,73.70756445699953,6.452080726623535,24,0.00625013,4.044290240999544,207.585,0.0130916,142.238,254000,-0.00185888,10.459902040000998,-1094.52,10.8997,131.252,88.21175673800008,2214.7163885449963,1520,1.55678,0.143457,82.5959,2.72242,0.00224584,3.12132,64.52080535888672,0.248003,0.112989,1.09437,1.51229,963.550829837,-0.543504,2.52244,1856.51,1858.0,416.899,1094.75,50000,0.221348,415.471,-1.68892,180.251,-0.077247,-8.40502,-2.58474
1177.72,991.986977757,74.30459504800001,4.557009696960449,25,0.00569868,4.120149149999634,369.732,0.0130825,111.049,264000,-0.00118844,10.329583746995922,-1188.57,11.8362,108.7,88.75432794499557,2303.4286847499916,1580,1.07425,0.0972956,137.787,2.10226,0.00218703,3.38455,45.57009506225586,0.0349807,0.0943605,1.10206,1.58835,956.787243702,-0.559143,2.48464,1735.6,1760.06,352.866,1187.52,52000,0.2064,350.81,-1.62648,121.401,-0.177473,-9.07534,-2.9129
1258.23,-1.89940436813,75.05630417500015,9.009509086608887,26,0.00587159,4.078556081999523,290.641,0.0136586,139.703,274000,-0.00208447,10.6677273159994,-1267.51,11.5286,121.524,89.80258757299907,2393.2520851789914,1640,1.67367,0.136486,98.992,0.58257,0.00238429,3.30202,90.09508514404297,0.0787777,0.0990916,1.16106,1.89931,1006.21519707,-0.534406,2.95521,2005.66,2014.3,405.929,1269.76,54000,0.220102,403.406,-1.72515,192.449,-0.150667,-8.71348,-2.96786
1008.05,995.507455219,74.40134070599925,7.538980960845947,27,0.00600189,4.099834931999794,190.211,0.0136181,119.655,284000,-0.00137733,10.492231231996811,-1017.34,11.9568,101.115,88.99340686999585,2482.122162800988,1700,1.6355,0.0367791,62.4834,1.50257,0.0024431,3.1834,75.38980865478516,0.0527955,0.0951782,1.06042,1.14244,1018.9841492,-0.519098,2.65487,1832.73,1841.57,361.686,1016.11,56000,0.227332,357.481,-1.69753,221.666,-0.124885,-8.44285,-2.43015
1126.03,948.607532838,74.98312423400057,8.813422203063965,28,0.00650329,3.976916259999598,263.816,0.0144939,127.82,294000,-0.00149144,10.235979281000255,-1135.41,10.2421,97.2486,89.19601977500042,2571.391600912989,1760,1.60409,0.122341,60.1889,1.53365,0.00225119,3.19422,88.13421630859375,0.0355828,0.158475,1.10286,1.43301,960.569180954,-0.521937,2.71906,2024.43,2032.37,388.142,1134.98,58000,0.23471,384.156,-1.72235,362.447,-0.117974,-8.89296,-2.81466
1401.38,1009.22753265,74.77561801499996,6.123198986053467,29,0.00582975,4.050897959999929,244.195,0.0131617,133.286,304000,-0.000638012,10.40163131299687,-1410.2,14.8165,116.098,89.22814728799676,2660.5309652309834,1820,1.46628,0.113696,100.061,1.64075,0.00218219,3.19202,61.23198699951172,0.0244546,0.0739723,1.14431,1.90849,1046.64567108,-0.567839,2.49613,2036.04,2040.08,408.748,1414.34,60000,0.218244,405.9,-1.73048,241.63,-0.107726,-7.78225,-3.09728
1124.16,1020.81663848,74.33771171099943,7.522725582122803,30,0.00598152,3.9626590959996975,242.5,0.0128311,129.885,314000,-0.00150639,10.146223226000984,-1133.18,11.63,107.607,88.44659403300011,2748.904456497986,1880,1.53451,0.0313962,86.2247,1.81268,0.00223433,3.22324,75.22725677490234,0.0391944,0.112139,1.08602,1.34576,1037.70962613,-0.531693,2.38278,2120.97,2121.97,424.559,1132.08,62000,0.23936,417.533,-1.73231,182.136,-0.071366,-6.95275,-2.93001
1398.58,992.08184248,74.60462367899981,8.663784980773926,31,0.00601669,3.8901846889993976,380.311,0.0131114,125.178,324000,-0.00128008,10.429014141998778,-1399.39,14.8859,136.671,88.92382250999799,2837.9792773349845,1940,1.56403,0.113487,797.072,1.78331,0.00247161,3.31869,86.63784790039062,0.0313785,0.138294,1.16568,2.11307,1026.9711817,-0.549895,2.54016,2265.88,2247.17,442.881,1425.12,64000,0.23335,442.702,-1.75673,255.551,-0.11479,-7.5877,-2.79236
1299.06,1066.58178573,74.78945553199992,7.355388641357422,32,0.00590299,4.041602244000387,267.649,0.0136676,112.496,334000,-0.000556904,10.478121684998769,-1310.69,11.3515,110.312,89.30917946099908,2927.312992661983,2000,1.89547,0.036029,133.455,1.75444,0.00235404,3.29536,73.55388641357422,0.0321445,0.209007,1.12128,1.82601,1010.79048938,-0.562612,3.16688,1930.19,1944.74,371.552,1307.73,66000,0.237174,364.938,-1.74915,264.41,-0.172737,-7.57724,-3.50877
1529.51,1012.03712262,74.77731805000076,10.502405166625977,33,0.00643972,4.067310454999642,386.377,0.0147932,136.322,344000,-0.00131447,10.551967985999909,-1536.89,14.5986,126.248,89.39659649100031,3016.6545040459823,2060,2.02599,0.132311,124.235,1.29102,0.00243467,3.57054,105.0240478515625,0.035395,0.149541,1.17393,2.18954,1041.06468044,-0.56689,3.33974,2475.18,2483.52,546.203,1539.0,68000,0.240422,539.368,-2.06178,433.029,-0.125282,-7.94574,-3.09306
1268.04,1051.74817793,74.72402060700006,6.57513952255249,34,0.00593283,4.0122978800000055,543.175,0.0162265,113.084,354000,-0.00118653,10.490334082000118,-1272.95,10.6893,116.327,89.22665256900018,3105.850192520982,2120,0.944749,0.0659346,295.286,1.48331,0.00234218,2.9902,65.75139617919922,0.0259994,0.085665,1.06978,1.44806,1019.0936809,-0.570007,2.48003,1813.25,1845.2,328.58,1263.54,70000,0.233635,315.473,-1.75768,304.983,-0.112525,-7.44999,-2.78143
1580.38,1017.12023172,74.60418194300019,5.218680381774902,35,0.00544821,3.98188641500019,233.979,0.0113573,96.829,364000,-0.00136017,10.231419446000473,-1592.05,13.5479,88.1661,88.81748780400085,3194.7176336769844,2180,1.22245,0.073866,125.451,1.49911,0.00222044,3.22261,52.18680191040039,0.0410004,0.0407159,1.15343,2.0731,1021.98997918,-0.575631,2.60457,2079.31,2081.31,310.095,1586.68,72000,0.222311,301.692,-1.71397,129.025,-0.127334,-7.19799,-3.31144
1574.34,1063.32280131,73.95882897499996,10.32746410369873,36,0.00610028,4.032356792000428,311.295,0.0131643,155.218,374000,-0.00133395,10.366773861999718,-1584.7,12.0785,139.588,88.3579596290001,3283.0280009019825,2240,1.96515,0.0279008,164.761,1.63888,0.00246502,3.43325,103.2746353149414,0.025694,0.140405,1.21015,2.55002,1047.8147105,-0.566629,2.63791,2384.83,2367.57,503.548,1580.3,74000,0.245349,501.955,-1.9747,338.086,-0.0814462,-7.67408,-3.97932
1509.44,1058.33526957,74.52850045699961,8.250332832336426,37,0.00597942,3.985276184000213,242.399,0.0140854,128.096,384000,-0.0016883,10.34581886399792,-1517.76,11.2885,123.6,88.85959550499774,3371.8378858579817,2300,1.57371,0.0387556,88.4875,1.79688,0.00224924,3.18704,82.50332641601562,0.0304941,0.102758,1.11489,1.80092,1022.06965585,-0.569952,2.49806,2459.74,2460.77,515.384,1519.61,76000,0.247484,509.916,-1.80686,275.559,-0.094803,-8.04216,-3.03517
1268.29,1075.82922641,74.11219554400031,7.791671276092529,38,0.00597375,3.9362570899993443,262.986,0.0123207,110.08,394000,-0.000337655,10.311365578000732,-1278.5,11.7211,103.772,88.35981821200039,3460.249211488983,2360,0.944992,0.0612124,275.006,1.54471,0.00236163,3.08633,77.91670989990234,0.0385918,0.24217,1.08068,1.59291,1113.26286637,-0.566586,2.76921,1900.7,1938.18,374.309,1270.53,78000,0.251458,364.165,-1.86082,236.689,-0.188501,-8.69298,-3.29188
1259.33,1020.05992319,75.20841065700006,10.425116539001465,39,0.00638294,3.9884616039998946,343.022,0.0136537,123.281,404000,-0.00207104,10.355279865999364,-1265.82,12.435,130.183,89.55215212699932,3549.8452381289826,2420,1.94954,0.0385886,138.762,1.43224,0.00228564,3.18011,104.25116729736328,0.0212454,0.153333,1.11008,1.65094,1044.78228252,-0.556562,3.37438,1829.1,1828.8,375.034,1271.62,80000,0.261524,371.835,-1.89561,352.041,-0.137789,-7.79637,-3.38801
1675.19,1065.63681939,73.99240695299977,7.1251749992370605,40,0.00626282,4.033035338000445,256.527,0.0128339,107.188,414000,-0.000838212,10.207301038002697,-1683.01,16.1026,70.5885,88.23274332900291,3638.043983955985,2480,1.4884,0.0908409,87.1079,1.67881,0.00237712,3.35331,71.25174713134766,0.0317717,0.058212,1.17793,2.31171,1122.09721021,-0.585804,3.18817,2342.24,2340.6,432.331,1682.15,82000,0.233082,426.659,-1.9066,376.403,-0.0724034,-9.692,-3.18699
1417.93,1063.26662779,75.10805915399942,6.102659702301025,41,0.0060784,3.999396317999526,296.749,0.0124382,96.1705,424000,-0.000906588,10.292585631997099,-1427.4,13.1249,99.0789,89.40004110399605,3727.365565007979,2540,1.25373,0.0407148,106.876,1.42889,0.00207945,2.95698,61.02659606933594,0.0564839,0.0274318,1.0839,1.53344,1104.42421074,-0.589561,2.50236,2117.34,2131.75,422.549,1426.19,84000,0.252408,417.26,-2.04681,216.427,-0.131909,-8.24211,-2.84974
1486.36,1051.73035052,74.04891048900026,6.044797420501709,42,0.0059869,3.9217665500000294,524.037,0.0137698,81.16,434000,-0.000628212,10.306360958003097,-1497.81,13.963,84.1441,88.27703799700339,3815.7196104129825,2600,0.879271,0.0482046,278.078,1.49465,0.00216328,3.19809,60.447975158691406,0.0313312,0.134256,1.10579,1.79772,1053.14701776,-0.592929,2.82968,2002.65,2025.17,334.202,1491.02,86000,0.248063,324.606,-2.15673,212.141,-0.136496,-6.74682,-2.74403
1622.99,1084.02194786,75.11339417599993,8.154203414916992,43,0.00589713,3.9993128570004046,433.954,0.0140819,38.5042,444000,-0.00047191,10.370826412002316,-1631.63,12.8644,70.3296,89.48353344500265,3905.1574499559856,2660,1.56069,0.0272578,120.096,1.83985,0.00232173,3.29788,81.54203033447266,0.0265549,0.0608649,1.1324,1.96058,1064.90593922,-0.594607,2.77211,2433.12,2452.42,510.405,1629.01,88000,0.261146,505.746,-1.97097,275.497,-0.11971,-7.46316,-3.23693
1532.07,1106.24127834,73.55161822899936,7.377178192138672,44,0.00588079,3.9540963270001157,262.281,0.01403,131.219,454000,-0.0016436,10.360146932999669,-1541.8,11.0453,117.002,87.86586148899914,3993.242710748985,2720,1.14537,0.0570037,105.92,1.86088,0.00227456,3.09054,73.77178192138672,0.0288378,0.00608984,1.11025,1.88839,1140.02854797,-0.601891,2.69327,2214.3,2217.29,377.565,1543.26,90000,0.245937,369.653,-1.97145,236.79,-0.157806,-6.75293,-2.80925
1820.41,1087.22471674,74.36722829200062,6.033952236175537,45,0.00582199,4.174496566000016,188.462,0.0128919,103.518,464000,-0.0013379,10.41907427499973,-1827.12,17.7337,136.382,88.96079913300036,4082.0394787769847,2780,1.28232,0.0589015,101.464,1.60487,0.00232673,3.38286,60.33952331542969,0.0288536,0.0420038,1.17873,2.29392,1107.09940804,-0.592966,3.6149,2326.39,2326.37,315.234,1831.26,92000,0.227442,308.055,-1.80734,247.466,-0.151194,-10.112,-2.69778
1524.28,1069.15708657,74.25073007599985,9.317120552062988,46,0.00644029,4.011059067999668,234.439,0.0132584,148.563,474000,-0.00192698,10.629158900002949,-1535.86,14.6096,122.297,88.89094804400247,4170.9817872879885,2840,1.75627,0.0238216,90.2671,1.54461,0.00231302,3.28975,93.17120361328125,0.0421022,0.0715057,1.14708,2.19136,1057.13253174,-0.596639,3.34072,2477.34,2487.16,505.43,1536.65,94000,0.265594,497.59,-2.13717,364.713,-0.124984,-7.33935,-3.96189
1488.85,1103.402914,74.05552525500025,6.350747108459473,47,0.00587495,4.063250616000005,390.876,0.0138101,113.43,484000,-0.00138773,10.411312788999567,-1499.2,11.9496,124.392,88.53008865999982,4259.50129579599,2900,1.33958,0.0241793,115.977,1.84262,0.00228148,3.0706,63.507469177246094,0.0287292,0.0152432,1.09784,1.64798,1091.16382717,-0.591902,2.84583,2145.85,2138.38,435.406,1498.19,96000,0.248736,429.257,-1.92598,217.431,-0.109573,-8.98524,-2.55175
1737.57,1072.84738717,74.72303502500017,6.776522159576416,48,0.00593608,4.05317887900037,223.22,0.0126972,156.531,494000,-0.00122721,10.304692340004294,-1745.91,13.1146,165.316,89.08090624400484,4348.458250367994,2960,1.70388,0.0354626,100.361,1.25225,0.00221424,3.42758,67.76522064208984,0.0768845,0.0870597,1.15974,2.28088,1071.73619319,-0.606743,2.747,2322.01,2335.22,403.85,1740.49,98000,0.249106,396.369,-2.05549,233.921,-0.143929,-7.95892,-5.96714
1757.01,1110.37922703,75.36558695799977,6.772099494934082,49,0.0059369,3.930157479000627,264.662,0.0132522,145.141,504000,-0.000140988,10.33602620199963,-1764.8,12.0938,145.8,89.63177063900002,4438.2281363709935,3020,1.25314,0.0532749,184.445,1.65384,0.00234571,3.40592,67.72099304199219,0.0382147,0.12517,1.15127,2.19831,1094.19775832,-0.580132,2.66273,2345.52,2372.16,400.909,1766.49,100000,0.252117,391.634,-1.86221,258.921,-0.0989256,-10.3713,-2.55718
2009.54,1059.84632908,74.25797462599985,11.96524715423584,50,0.00635353,4.068828746999316,474.715,0.0135681,153.75,514000,-0.00103601,10.269532727998921,-2016.09,13.7098,173.065,88.59633610099809,4526.6836107179915,3080,1.89701,0.0411301,142.197,1.28277,0.0023835,3.55283,119.65247344970703,0.0287762,0.135791,1.234,2.74335,1134.81927478,-0.583563,2.89507,3025.14,3030.13,618.636,2015.88,102000,0.253415,611.314,-1.93141,459.303,-0.0587942,-9.55378,-3.18171
1538.56,1127.96695236,74.03930733499965,5.956109046936035,51,0.00584143,3.928702078999777,296.054,0.0125923,139.381,524000,-0.00183691,10.456827024996528,-1548.17,11.4357,108.266,88.42483643899595,4615.258693496988,3140,1.04106,0.0477474,102.585,1.98132,0.00241834,3.20514,59.56108856201172,0.0366694,0.141731,1.08227,1.67304,1112.12143335,-0.608279,2.82527,2176.05,2188.75,395.19,1548.85,104000,0.253796,386.605,-1.91189,228.93,-0.173606,-7.47841,-3.14291
1784.12,1086.88340715,74.30649409200032,11.538468360900879,52,0.00635691,4.0795345979995545,386.243,0.0147162,131.761,534000,-0.00141535,10.45758622199628,-1793.45,15.7032,130.614,88.84361491199616,4703.988321476985,3200,1.60504,0.0747975,150.926,1.79732,0.00251805,3.5985,115.38468170166016,0.0214003,0.240548,1.21025,2.68896,1096.07035851,-0.596824,2.95662,2633.58,2649.12,483.265,1794.96,106000,0.280914,475.668,-2.29107,413.305,-0.162802,-8.0445,-2.96958
