Step_0-AverageReturn,Step_0-MaxReturn,Step_1-AveragePolicyStd,Itr,Time-Sampling,MeanKLBefore,Step_0-EnvExecTime,Time-SampleProc,Step_1-AverageReturn,Step_0-MinReturn,Step_0-NumTrajs,Step_1-MinReturn,LossAfter,ItrTime,Step_1-MaxReturn,Step_0-AverageAbsPolicyMean,Step_0-StdReturn,LossBefore,Time-OuterStep,Step_0-AveragePolicyStd,Step_1-EnvExecTime,Time-InnerStep,Time,n_timesteps,Step_1-PolicyExecTime,MeanKL,Step_1-AverageAbsPolicyMean,Step_0-AverageDiscountedReturn,dLoss,Step_1-StdReturn,Step_1-NumTrajs,Time-MAMLSteps,Step_0-PolicyExecTime,Time-TotalInner,Step_1-AverageDiscountedReturn
101.40239466511126,260.4832745548878,0.9999405,0,69.83539891242981,0.0,29.26902723312378,16.437549114227295,108.22872914088043,66.17904357456779,7404,67.29802624260773,-0.0031323868,170.42136979103088,277.4914003205368,0.6312787,23.49602561877068,9.978669e-10,81.46667408943176,1.0,29.73376154899597,1.9907863140106201,170.42137813568115,320000,4.629266977310181,0.008602325,0.6439827,91.1193798297256,0.0031323878,28.394404691764965,6937,81.46685767173767,2.2918477058410645,88.38859844207764,96.35722135670241
101.18010842433422,245.43672820672703,1.0000218,1,68.83766078948975,0.0,29.30969524383545,16.87710976600647,107.2856847031321,68.47699825747581,7443,70.95208208444495,-0.0032957941,156.62466764450073,268.6322758366908,0.63129896,22.997507312863938,8.909093e-10,69.92678046226501,0.9999993,29.550328016281128,0.7612395286560059,327.0614540576935,640000,4.324833631515503,0.008004079,0.64472944,90.97980153825786,0.003295795,27.685289333922967,7024,69.92695116996765,1.5823369026184082,86.61754512786865,95.65409667111565
101.16113672991727,254.71376904252114,1.0000421,2,68.44565272331238,0.0,29.28786611557007,17.34578776359558,107.9630841373871,70.15510851371432,7391,70.98949198653703,-0.003230235,163.32224798202515,275.7262342964935,0.63094383,23.022203847411596,9.778359e-10,76.55171298980713,0.99999046,29.60343313217163,0.7608513832092285,490.3842422962189,960000,3.879164934158325,0.009707973,0.6453192,90.93206039528009,0.003230236,28.109845868256834,6917,76.5518901348114,1.5884385108947754,86.6923508644104,96.14409975175616
101.31308704775365,247.4905971688622,1.0000687,3,68.68361377716064,0.0,29.363006591796875,17.17408847808838,108.1949505215627,69.29343592443625,7426,72.0415747839314,-0.003254708,165.63896012306213,273.3450426489348,0.6319167,23.38435168447755,6.9493294e-10,78.8014988899231,0.99998116,29.78062677383423,0.7578761577606201,656.0237188339233,1280000,3.8889143466949463,0.008055862,0.64282733,91.07040093026421,0.0032547086,27.737413168086203,6949,78.80167365074158,1.577880620956421,86.75379276275635,96.36912170538704
101.66076006189174,268.25971157268737,0.9999754,4,68.67429685592651,0.0,29.35719323158264,16.52540349960327,108.1590909139111,70.33862522235673,7376,71.97776738681911,-0.0021422042,151.87933158874512,329.95442966327846,0.6318278,23.186440239817458,-1.5587649e-09,65.68763947486877,0.99998087,29.778372287750244,0.7676606178283691,807.9035835266113,1600000,3.876739263534546,0.0073820204,0.64768934,91.3411447440628,0.0021422026,28.718141144781427,6953,65.68781685829163,1.5906102657318115,86.10562372207642,96.29470284863761
101.06417972360639,247.01980804759006,0.9999771,5,68.43871760368347,0.0,29.274038076400757,16.363702058792114,107.50217276741512,68.60263312585424,7419,71.00602982269756,1.92243e-09,149.3122284412384,271.35855558933036,0.63105553,23.0241070010812,1.92243e-09,63.51488971710205,0.9999784,29.653549671173096,0.7622783184051514,957.216376543045,1920000,3.8669848442077637,0.0,0.6464783,90.86206069657592,0.0,27.513292989332587,6977,63.51506996154785,1.580082893371582,85.70452857017517,95.80695990910876
101.70942607801646,238.79445799811108,0.9997464,6,69.02457451820374,0.0,29.509725093841553,16.488250494003296,108.89366098024539,70.06345945666403,7400,70.84039180314143,-0.0030403687,160.97967624664307,278.61705405875824,0.63063985,23.43855827113042,-7.5103435e-10,74.47845602035522,0.9999784,29.541898012161255,0.7603499889373779,1118.196563243866,2240000,3.877941370010376,0.008959151,0.6437174,91.38381587383394,0.003040368,28.682956301002037,6902,74.4786274433136,2.020461320877075,86.41129064559937,96.89673408219117
102.27363577858897,246.05602217914233,0.9997787,7,68.65326166152954,0.0,29.532081842422485,16.478183269500732,107.93149632093586,70.95691062027242,7392,69.4595669028654,-0.002227464,151.762766122818,298.72062244011465,0.63182706,24.113990610621343,2.1582935e-09,65.64214372634888,0.9999702,29.58126950263977,0.763852596282959,1269.9598438739777,2560000,3.8663666248321533,0.0038261698,0.64235276,91.82066800305083,0.002227466,28.014349594970774,6964,65.6423192024231,1.6066758632659912,86.03309440612793,96.1660848411633
101.48768673135885,247.03055503957387,1.0000725,8,68.5679702758789,0.0,29.640639543533325,16.60706067085266,108.72387291609822,69.69490559283231,7408,70.64330184488449,-0.0024046483,156.1610288619995,269.0537030830546,0.63154215,23.038515125805958,-1.8196198e-09,69.9976453781128,0.99996936,29.4694983959198,0.7622087001800537,1426.1214139461517,2880000,3.8604328632354736,0.0095839435,0.63995105,91.21216135093027,0.0024046465,28.03842817752639,6888,69.99782514572144,1.588568925857544,86.07528138160706,96.76514818115747
102.20584765104849,256.71859069118267,1.000083,9,68.52926683425903,0.0,29.491281509399414,17.231004238128662,107.98012496887824,68.57989785131308,7369,71.11030155796604,-0.002187548,152.14989304542542,257.8616554140901,0.631703,23.782916175363876,-3.1340586e-10,65.39845013618469,0.9999671,29.55902361869812,0.7662148475646973,1578.271823167801,3200000,3.850867986679077,0.00803867,0.6428549,91.76140267377278,0.0021875477,27.886918759580052,6955,65.39865040779114,1.6043076515197754,86.66469502449036,96.20131292108665
101.40095852183455,243.5807703293058,0.99982965,10,68.88208961486816,0.0,29.46973180770874,16.441115140914917,108.84277137532744,71.45503617324715,7416,70.31744407049597,-0.0009237281,151.8365035057068,276.4866454083811,0.63186985,23.430871145574276,-8.0272233e-10,65.52503180503845,0.99996054,29.938021898269653,0.7624428272247314,1730.1088635921478,3520000,3.860990047454834,0.0008795403,0.64543045,91.12110102897391,0.0009237273,28.460396053360743,6883,65.52520895004272,1.607818841934204,86.22485518455505,96.82849526575139
