Policy Loss,Epoch,KL Loss,(Previous) Eval Time (s),Policy mu Max,Log Pis Mean,V Predictions Std,Q Predictions Std,Policy log std Mean,Train Time (s),VF Loss,Q Predictions Mean,Policy mu Mean,V Predictions Max,QF Loss,Q Predictions Max,AverageReturn_all_train_tasks,Z variance eval,R Predictions Min,Policy log std Std,V Predictions Min,Number of rollouts total,KL Divergence,Policy log std Min,Policy mu Min,Epoch Time (s),Number of env steps total,Z variance train,Log Pis Max,RF Loss,Policy mu Std,R Predictions Max,Number of train steps total,R Predictions Mean,Sample Time (s),R Predictions Std,Z mean train,Log Pis Std,V Predictions Mean,Policy log std Max,Log Pis Min,AverageReturn_all_test_tasks,Total Train Time (s),Q Predictions Min,Z mean eval
-255.455,10,2.205889940261841,4.374392009000076,2.29568,-1.65368,31.6635,33.2309,-0.854647,149.9758825250001,44.8618,252.005,-0.00636309,356.808,127.117,354.89,108.56297074,0.0613765,-0.00896051,0.149607,154.485,438,22.05889892578125,-1.76258,-2.04323,160.53336672100022,48000,0.118561,12.871,11.3565,0.485495,-0.00139847,44000,-0.00429315,6.183092187000057,0.00123396,0.636946,2.21331,254.905,-0.332661,-8.80787,109.528307861,1763.6343277779986,22.3139,0.710673
-241.622,11,2.523221015930176,4.518567807000181,2.23586,-1.77759,20.4775,32.285,-0.854172,149.53738194700009,56.3158,235.987,-0.014122,310.707,138.008,316.096,147.856222702,0.155346,-0.0100237,0.156535,86.5762,467,25.232210159301758,-1.77928,-2.22815,160.13625712400062,52000,0.0671668,9.6182,13.5845,0.458793,-0.000153718,48000,-0.00446013,6.080307370000355,0.00140944,0.26222,2.1552,240.773,-0.341944,-10.0454,140.949042311,1923.531082114999,-15.4518,0.719215
-302.439,12,3.8749001026153564,4.279627263999828,2.18344,-1.68996,45.5867,50.2128,-0.840921,150.610999129,62.6024,299.744,0.00950043,398.188,193.695,404.648,136.037117344,0.0732165,-0.00848407,0.149885,182.107,498,38.749000549316406,-1.81386,-2.06558,160.93955820899873,56000,0.0453356,9.49602,15.6056,0.490148,6.88126e-05,52000,-0.00393466,6.0489318159989125,0.00132694,0.987472,2.02196,303.39,-0.175128,-8.09935,158.46904172,2084.597733308998,19.5819,0.424599
-291.529,13,3.834113359451294,4.407260054999824,2.87366,-1.53688,29.9513,40.3316,-0.875874,150.17186610499994,55.2358,285.081,-0.0125644,355.826,116.99,360.925,135.778106084,0.114333,-0.00916245,0.167085,4.66301,531,38.34113311767578,-2.02906,-2.35304,160.64258771099867,60000,0.0352994,15.2969,10.1846,0.477744,-0.000778864,56000,-0.00404377,6.063461550998909,0.00123118,0.608982,2.42735,289.35,-0.210301,-9.63124,156.890594349,2245.1198533899983,-23.2873,0.567137
-272.716,14,3.2536087036132812,4.28729384000053,1.83669,-1.79989,35.1318,39.4232,-0.870259,151.5492114869994,40.8467,269.194,-0.0223332,368.43,116.823,371.146,146.282283791,0.12083,-0.00893317,0.155841,70.271,563,32.53608703613281,-1.90636,-2.08879,161.9908058359997,64000,0.0548903,10.1155,15.1886,0.447501,0.000361293,60000,-0.00422374,6.154300508999768,0.00135474,0.454223,2.14231,273.339,-0.381875,-11.1524,172.767165451,2407.235354873995,-42.7415,0.600297
-272.821,15,2.455381155014038,4.412170364000303,2.89838,-1.84204,28.3668,30.9549,-0.877561,150.26609785299934,45.1535,272.077,0.00860115,358.213,126.052,349.437,156.032008707,0.114636,-0.00832481,0.14167,104.559,590,24.553810119628906,-1.65218,-1.96979,160.77391581100164,68000,0.0807553,11.8963,16.0501,0.4314,0.00066243,64000,-0.00420831,6.095647594002003,0.00118014,0.504573,2.13169,274.065,-0.420273,-12.2904,165.842673647,2568.1772410249955,18.4502,0.416109
-270.594,16,2.399628162384033,4.580523214000095,2.33287,-1.79751,33.2819,37.8368,-0.879424,150.40683421199992,48.9313,267.906,0.00468716,372.942,113.708,370.613,152.490256633,0.0657482,-0.00886514,0.152164,37.8088,624,23.996280670166016,-2.09276,-2.34869,161.1968105140004,72000,0.121026,17.0759,9.40616,0.428495,-0.00106831,68000,-0.00446759,6.209453088000373,0.00131786,0.5279,2.23883,272.912,-0.350639,-9.42084,163.780406496,2729.2598424589964,-18.1413,0.597578
-288.822,17,3.3886125087738037,4.466971263999767,1.84516,-1.84019,35.7876,40.932,-0.872011,149.37603801800014,45.3551,283.169,-0.0259082,382.431,130.018,388.657,186.084077176,0.0838493,-0.00776229,0.14989,114.508,650,33.88612365722656,-2.13419,-2.18504,160.0579724550007,76000,0.0397565,12.3211,11.8978,0.432909,-0.00130298,72000,-0.00429596,6.214963173000797,0.00114126,0.731997,2.18497,287.872,-0.374386,-10.208,174.905158658,2889.209272986996,-20.658,0.636144
-276.98,18,2.726133346557617,4.358842408000783,1.87095,-1.80904,27.7128,32.0334,-0.882308,151.20335306699963,45.5706,272.385,-0.00965383,357.145,141.235,355.325,149.744752556,0.147107,-0.00816514,0.15141,122.032,677,27.261333465576172,-1.79907,-2.31079,161.59382786399965,80000,0.063911,14.1341,11.3395,0.413063,-0.00136591,76000,-0.00424521,6.031632388999242,0.00120102,0.406996,2.19385,278.025,-0.374822,-9.87105,178.842522304,3050.897785265994,11.0301,0.57045
-288.487,19,2.7993268966674805,4.454101509999418,1.66517,-2.04377,32.867,33.5885,-0.858009,150.50230503300008,52.3274,288.209,-0.0146275,381.707,135.714,383.52,164.178278249,0.167025,-0.00926813,0.13948,163.077,704,27.993268966674805,-1.70353,-1.71912,161.15832485099872,84000,0.0920409,8.94172,11.7152,0.412001,-0.00128021,80000,-0.00426012,6.201918307999222,0.00124821,0.63439,1.99727,289.537,-0.42146,-8.50036,180.591784561,3211.8466102409925,145.436,0.640979
-284.481,20,2.453911066055298,4.244736691000071,2.17916,-1.91938,30.8919,36.7403,-0.882493,150.650807989,38.7687,280.637,-0.0244105,370.164,123.833,367.12,173.496645665,0.107369,-0.00832101,0.147438,147.164,733,24.53911018371582,-1.88989,-1.80656,161.0932633099983,88000,0.16895,12.0759,16.8864,0.41068,-0.000882926,84000,-0.00462694,6.197718629998235,0.00123519,0.719436,2.12899,285.391,-0.402652,-9.69228,151.930424653,3373.205272256991,-32.261,0.625157
-305.032,21,2.7795889377593994,4.510861591000321,2.25462,-1.84972,39.3639,46.8859,-0.87335,149.45442831400032,53.1407,301.979,0.00101243,395.178,140.106,401.08,95.920632051,0.133925,-0.00871707,0.154394,20.7541,764,27.795888900756836,-1.92938,-2.47582,160.14997260099972,92000,0.130323,16.0587,17.5639,0.435544,-0.00129889,88000,-0.00417858,6.184682695999072,0.00124983,0.655769,2.41748,307.194,-0.343307,-9.55924,143.980815708,3533.350529256991,-22.4499,0.690265
-314.042,22,3.391925096511841,4.506779938999898,2.10727,-2.07134,36.9076,43.4219,-0.841501,149.33295667499988,45.8067,311.904,-0.01724,395.662,381.879,405.754,179.764469775,0.115271,-0.00826119,0.147625,146.352,794,33.91925048828125,-1.99003,-2.18072,159.99453666500176,96000,0.0471935,14.6841,14.0119,0.416429,-0.00077555,92000,-0.00403667,6.154800051001985,0.00123673,0.714122,2.12478,312.12,-0.368634,-8.31952,191.99600496,3693.3691062729945,-3.38573,0.693014
-306.779,23,2.55938982963562,4.531284223000512,2.86314,-1.95017,36.3944,44.2943,-0.878922,148.52993204499944,142.466,301.499,0.00277949,383.21,288.592,391.68,164.020142244,0.102016,-0.00814033,0.143919,72.9791,821,25.593896865844727,-1.89686,-2.05786,159.16398091300016,100000,0.113495,18.1866,13.4444,0.41002,-0.000474212,96000,-0.00432697,6.102764645000207,0.0011726,0.669599,2.31622,297.324,-0.436171,-8.90865,174.027068085,3852.305652519993,-20.0785,0.707687
-323.281,24,2.9750945568084717,4.304360163000638,2.1503,-1.9904,35.425,43.597,-0.862791,150.05798124600005,46.3551,319.456,0.0120145,421.73,181.198,422.403,180.824764521,0.0740203,-0.00782528,0.146317,119.35,850,29.750946044921875,-1.97811,-2.13645,160.49943664499915,104000,0.125695,17.3337,17.5429,0.422266,-0.00108873,100000,-0.00401792,6.1370952359984585,0.00106746,0.679818,2.23062,324.83,-0.262583,-12.9473,180.406375755,4012.7274705779923,-61.299,0.486634
-314.634,25,3.541762590408325,4.22793256300065,2.12898,-1.94295,35.1899,38.0295,-0.871315,149.6249665180003,34.0862,311.383,-0.00970284,399.466,125.47,397.659,216.188372655,0.0882979,-0.00782714,0.140047,177.602,878,35.417625427246094,-1.69023,-2.29285,160.11678214600215,108000,0.0446048,12.2341,11.1138,0.408853,-0.00122027,104000,-0.00408235,6.26388306500121,0.00115243,0.562929,2.12672,315.071,-0.377501,-8.98263,170.061630381,4173.0702826519955,34.4453,0.697064
-335.719,26,3.686464786529541,4.453796645999319,2.74867,-1.90904,36.5158,40.8881,-0.879794,148.87525317200016,42.8135,331.443,0.00773183,421.881,139.13,421.761,202.206688493,0.0881592,-0.00804182,0.13904,187.08,904,36.864646911621094,-1.73863,-2.11206,159.52351399799863,112000,0.0761221,12.7455,14.6056,0.413152,-0.00137126,108000,-0.00406193,6.194464179999159,0.0010915,0.684823,2.10265,334.531,-0.370191,-10.2317,209.959675749,4332.361870966995,10.7803,0.714638
-308.742,27,1.621942162513733,4.222076733999529,2.0901,-2.11924,35.7332,39.2186,-0.877692,150.21119613200062,44.0263,304.666,0.00346039,386.98,117.337,383.499,249.145710871,0.153291,-0.00893779,0.132182,176.36,933,16.21942138671875,-1.78772,-1.93522,160.6532314670003,116000,0.232271,10.434,15.972,0.381076,-0.0012021,112000,-0.00438714,6.219958601000144,0.00121483,0.600295,2.01891,305.889,-0.339217,-10.3385,211.059236552,4493.036192630998,-27.8508,0.631265
-318.347,28,2.9992079734802246,4.243756337999912,2.66416,-1.94733,40.7956,45.7572,-0.888623,151.04941327599954,41.5057,314.686,-0.00994346,404.309,123.243,404.304,172.419018402,0.0833988,-0.0087649,0.14618,88.9973,960,29.99207878112793,-2.09545,-2.42089,161.31761529999858,120000,0.121642,12.9276,10.4889,0.392083,-0.000435464,116000,-0.00434575,6.024445685999126,0.00128491,0.674946,2.10064,317.429,-0.356293,-10.1025,200.776774544,4654.469240434997,-46.8085,0.68648
-310.736,29,2.1704373359680176,4.359692877999805,2.50788,-1.9958,38.6791,42.7457,-0.886841,150.1471163999995,40.8945,307.429,-0.0261189,399.689,117.317,401.069,250.35308165,0.0833068,-0.00959707,0.134289,126.78,986,21.70437240600586,-1.78972,-2.12413,160.56176492699979,124000,0.232371,16.5909,10.3966,0.386735,-0.00128348,120000,-0.0042558,6.054955649000476,0.00119787,0.425359,2.17862,310.353,-0.426145,-9.2895,195.489715601,4815.055903891996,-22.0767,0.606972
-330.743,30,2.8869736194610596,4.385434666000037,1.9192,-2.01595,40.8717,43.6254,-0.885108,150.63357609299965,32.6755,325.878,-0.0364424,431.629,125.469,424.569,261.239955845,0.19673,-0.00805748,0.141883,59.0911,1016,28.869735717773438,-1.84661,-2.8705,161.29030627700195,128000,0.0875436,9.45749,12.8391,0.387837,-0.000728101,124000,-0.00431775,6.271295518002262,0.00116389,0.654378,2.08027,331.38,-0.447798,-10.409,206.990466458,4976.201997322996,-32.3473,0.591058
-335.12,31,2.4951822757720947,4.241719208000177,1.88859,-2.00112,44.985,46.4973,-0.875991,151.15594999199948,40.9714,332.863,-0.0282812,427.249,144.938,430.462,219.00598414,0.279608,-0.00899242,0.135681,176.294,1042,24.95182228088379,-1.75789,-1.814,161.67957057700096,132000,0.206836,9.81435,18.3761,0.388281,-0.00101012,128000,-0.00440134,6.281901377001304,0.00125954,0.639404,1.95224,333.79,-0.367499,-8.54696,243.903271779,5137.966615725996,61.485,0.656095
-333.621,32,2.5959715843200684,4.327223076999871,2.62685,-2.11991,39.7802,43.0408,-0.891403,151.35039061899988,39.7534,327.926,-0.0197477,423.344,119.375,431.33,198.910746434,0.224592,-0.00885523,0.137182,167.265,1069,25.959714889526367,-1.8399,-2.17574,161.8634214220001,136000,0.1718,15.6635,13.641,0.377675,-0.00125157,132000,-0.00458492,6.185807726000348,0.0012335,0.651631,2.12271,330.781,-0.381546,-10.9583,208.178910428,5300.000879386998,-1.05371,0.640578
-331.066,33,2.1001768112182617,4.498527196000396,2.21744,-1.93822,45.2451,48.5527,-0.895328,149.92651216499962,37.8271,329.451,-0.0298471,424.251,119.234,427.376,191.13102449,0.156316,-0.00860348,0.13938,180.149,1093,21.001768112182617,-1.72511,-2.95801,160.5324236310007,140000,0.342248,17.3561,13.0757,0.386397,-0.00148141,136000,-0.00446274,6.1073842700006935,0.00113541,0.687826,2.09039,333.077,-0.315427,-11.2394,227.963265275,5460.613523429998,-11.3237,0.676658
-333.235,34,2.6094090938568115,4.579324091000672,2.42491,-2.023,44.3255,49.7,-0.895039,149.83930701899953,40.0802,331.834,-0.0239173,425.134,140.54,419.953,228.395840511,0.187479,-0.00867057,0.143408,149.907,1120,26.09408950805664,-1.97001,-2.27691,160.62062718700054,144000,0.11728,11.8579,12.7726,0.390377,-0.000663584,140000,-0.00441344,6.201996077000331,0.00116995,0.623672,2.11479,334.071,-0.419858,-9.18219,196.576936769,5621.034539865997,-47.1669,0.654153
-348.462,35,2.7740731239318848,4.380190290999963,2.30702,-1.81964,48.0007,50.6975,-0.893507,148.8814166459997,39.9523,346.036,-0.00207316,449.185,131.567,451.965,268.566218828,0.542209,-0.00910454,0.139189,176.408,1151,27.74073028564453,-2.05378,-1.95581,159.35276041799807,148000,0.149801,14.6204,15.734,0.400249,-0.000772084,144000,-0.00415706,6.0911534809984005,0.00112629,0.541072,2.04527,349.342,-0.423752,-8.24669,205.898081115,5780.499529292998,38.6774,0.665033
-356.842,36,3.8209731578826904,4.49289440099983,1.87893,-1.7591,49.8354,53.4637,-0.895119,151.18601284399938,43.6552,351.838,0.0195259,453.382,133.558,454.865,197.007256062,0.157861,-0.00842177,0.140589,161.153,1176,38.20973205566406,-1.73468,-2.21982,161.7869026950002,152000,0.0554436,10.0688,18.2197,0.402873,-0.000552613,148000,-0.00424385,6.107995450000999,0.0011175,0.610335,1.98975,356.678,-0.408106,-8.92171,226.418086077,5942.100349874996,11.528,0.601285
-356.31,37,2.329765796661377,4.307320009999785,2.23288,-1.72806,50.9027,53.2729,-0.911388,150.88672330900044,50.9812,352.943,-0.0162581,457.644,151.218,458.99,236.156374469,0.102357,-0.00775092,0.145281,150.431,1205,23.297657012939453,-1.79638,-2.35916,161.34050235499853,156000,0.251041,17.1538,17.1296,0.397828,-0.000865356,152000,-0.0042289,6.146459035998305,0.00119019,0.587438,2.20696,359.92,-0.471669,-10.3874,214.429511191,6104.061306321995,12.8044,0.615684
-362.242,38,2.5440988540649414,4.92870667599982,2.61746,-1.75556,49.0278,55.1107,-0.907155,150.18033734000073,32.4925,357.551,6.76839e-05,457.044,131.541,458.139,241.305653872,0.131257,-0.00861623,0.146635,165.625,1231,25.440988540649414,-1.77405,-1.75858,161.39254896199873,160000,0.151853,16.485,15.3293,0.388909,-0.000866609,156000,-0.00456605,6.283504945998175,0.00118356,0.548706,2.14168,361.664,-0.441945,-10.8148,240.713844197,6264.879684546995,-50.0923,0.598937
-360.241,39,2.0798280239105225,4.355166385001212,1.6999,-1.87609,52.9773,54.7567,-0.891432,150.33095429100104,46.8868,356.594,-0.011621,474.105,129.595,463.736,232.386784719,0.143527,-0.00952936,0.145513,75.2194,1256,20.798280715942383,-1.84638,-3.29133,160.77959728900532,164000,0.332327,17.3178,13.5492,0.394897,-0.000806148,160000,-0.00435797,6.093476613003077,0.00117837,0.623881,2.07097,362.866,-0.421199,-11.78,226.362934486,6425.569390402001,-1.9747,0.568737
-366.791,40,3.022351026535034,4.265753199999381,2.40955,-1.7429,53.0386,54.8482,-0.902893,151.06789354899956,38.6539,364.253,-0.0293812,478.253,140.448,486.305,268.839770957,0.162109,-0.00943783,0.142969,87.9208,1281,30.2235107421875,-1.63452,-2.53847,161.65513343899693,168000,0.0916055,13.9614,20.5392,0.392214,-0.000954435,164000,-0.00451467,6.3214866899979825,0.00129462,0.61847,2.09089,368.114,-0.420769,-9.7248,260.651403594,6587.7983029510015,-47.4132,0.572072
-364.556,41,3.296818256378174,4.840037087000383,2.99331,-1.88209,62.4618,66.6128,-0.890384,150.60796548300095,56.8705,358.752,-0.0169264,478.237,149.061,475.765,236.192770935,0.227667,-0.0084446,0.158831,-8.52514,1308,32.96818161010742,-2.11865,-2.68384,161.51611246699758,172000,0.0791592,23.0066,23.466,0.415278,-0.00106269,168000,-0.00428803,6.068109896996248,0.00128033,0.546761,2.40348,366.449,-0.423992,-9.57282,213.11354923,6748.989839105998,-65.2782,0.671214
-372.657,42,2.318678617477417,4.516120691001561,2.31332,-1.87451,59.1019,63.1568,-0.902901,149.66882529199938,37.4283,368.872,-0.0152353,489.662,125.297,478.241,246.241181598,0.1729,-0.00816803,0.151912,190.801,1334,23.186786651611328,-1.81064,-2.2266,160.4127371120012,176000,0.318896,12.7206,21.818,0.397612,-0.000786805,172000,-0.00439758,6.227791129000252,0.00115191,0.602267,2.30998,372.958,-0.441197,-8.98125,257.341975957,6909.043814643996,-13.5133,0.644594
-349.301,43,1.7353785037994385,4.158114238000053,2.69194,-2.10685,63.3103,66.2802,-0.896272,150.3698336690013,72.3779,346.973,-0.0159492,501.259,215.917,508.307,289.614818284,0.116346,-0.00798497,0.14388,172.024,1361,17.353784561157227,-1.75019,-2.16943,160.7344537900026,180000,0.351938,13.2863,21.5351,0.365681,-0.00123134,176000,-0.00443297,6.206505883001228,0.00116486,0.297976,2.13151,349.718,-0.372268,-8.58052,245.155971348,7069.845061571998,-51.816,0.641766
-394.501,44,1.768105149269104,4.226055334000193,1.82497,-1.83354,69.8804,72.3962,-0.892859,149.9269524049996,48.1322,387.352,-0.0130877,537.795,230.498,530.818,291.879543946,0.186674,-0.00843985,0.15278,161.282,1388,17.68105125427246,-1.91356,-1.74065,160.23221132000253,184000,0.4071,10.6898,18.4833,0.396786,-0.00101769,180000,-0.00431529,6.07920358100273,0.00121427,0.514732,1.98452,395.087,-0.424728,-8.03945,282.808237414,7230.041533288,-56.1038,0.525241
-387.293,45,3.842803716659546,4.190530416000911,1.7511,-1.89933,69.5229,70.9524,-0.895229,150.82501107999997,51.9218,383.318,-0.0144921,511.058,158.384,507.223,300.435175817,0.287047,-0.00841411,0.152482,187.523,1413,38.428035736083984,-1.69261,-1.84469,161.14379214200198,188000,0.0574265,5.69159,15.2971,0.385937,-0.00106153,184000,-0.00430778,6.128250646001106,0.00114158,0.558228,2.00721,385.651,-0.42844,-10.2273,279.990055707,7391.258140873002,36.6861,0.565821
-381.363,46,3.2382912635803223,4.2639220300006855,2.03222,-1.78048,67.334,69.127,-0.898106,150.8388518110005,41.4609,375.677,-0.0295719,509.107,147.241,500.977,281.823128629,0.320519,-0.0081217,0.145926,170.091,1441,32.382911682128906,-1.68429,-2.59961,161.1688639840013,192000,0.0634591,12.4667,21.0771,0.396533,-0.00126248,188000,-0.00437631,6.06609014300011,0.00120242,0.548428,2.08263,381.607,-0.41311,-9.29364,302.761149083,7552.545145582,85.3613,0.634145
-390.708,47,2.65803861618042,4.38286525500007,2.23094,-1.79168,71.2296,73.2516,-0.899463,149.33632098099952,43.4765,387.576,-0.0082149,504.869,172.804,511.208,343.683335723,0.113906,-0.00890542,0.152368,103.065,1465,26.580385208129883,-1.83448,-1.88531,159.8551574999965,196000,0.249235,12.2608,17.5229,0.40088,-0.00164622,192000,-0.00442917,6.1359712639969075,0.00109743,0.624262,2.0699,391.093,-0.350387,-10.3639,242.692474188,7712.183243389998,18.5125,0.584727
-383.803,48,2.7567527294158936,4.166379831000086,2.32822,-1.87178,75.6449,77.2422,-0.899639,151.11694221000107,37.3229,380.203,-0.0224827,517.797,151.713,520.167,262.46904705,0.490419,-0.00936732,0.152819,98.8089,1492,27.56752586364746,-2.09175,-2.46584,161.43833311699564,200000,0.134468,14.0365,26.5202,0.397634,-0.00115194,196000,-0.00426703,6.15501107599448,0.00119254,0.539143,2.13802,385.521,-0.449401,-8.48719,198.330342561,7873.587158983995,-22.2452,0.626956
-384.826,49,2.1559183597564697,4.132686881999689,2.99295,-1.67802,69.9017,74.2064,-0.922668,150.5903445719996,43.7206,380.01,-0.013267,502.968,161.992,512.201,337.854409484,0.0838306,-0.00782157,0.149576,151.327,1517,21.55918312072754,-1.75814,-2.16578,160.85865430700323,204000,0.234901,12.2075,12.8267,0.399085,-0.000699684,200000,-0.00446662,6.135622853003952,0.00114598,0.562435,2.20463,383.17,-0.403989,-9.46961,279.906363173,8034.593661237996,10.0385,0.660404
-378.602,50,2.0381314754486084,4.281197643000269,2.24617,-1.81543,80.8227,82.788,-0.903522,152.21257440000045,56.8212,375.644,0.00322807,526.289,211.517,521.108,247.533622431,0.0775503,-0.008202,0.153437,144.542,1543,20.38131332397461,-1.8966,-2.44018,162.67394851599965,208000,0.199031,14.8144,18.338,0.400586,-0.000959782,204000,-0.0040955,6.180176472998937,0.00115886,0.531406,2.09088,378.928,-0.388164,-8.90276,295.75712249,8197.332293062993,7.38849,0.645533
-394.383,51,3.2259514331817627,4.34694981299981,2.91535,-1.87,78.9788,80.7437,-0.898103,149.99505447500087,43.3626,390.634,-0.0134197,514.119,160.629,511.568,349.864890253,0.0588668,-0.0083772,0.155612,18.0817,1567,32.25951385498047,-1.93322,-2.67379,160.57884329999797,212000,0.0520657,15.9733,18.9893,0.404681,-0.00135063,208000,-0.00438975,6.23683901199729,0.0012124,0.533086,2.19151,393.669,-0.362213,-9.09217,315.434820492,8357.793114163991,-10.4659,0.622202
-399.047,52,3.1640663146972656,4.229536494000058,2.20693,-1.86671,76.3903,78.8851,-0.910519,149.60923176299912,34.6072,394.859,-0.0404174,518.283,180.861,511.046,287.526314015,0.0853686,-0.00875783,0.153694,166.113,1592,31.640663146972656,-1.69746,-2.14689,160.0871168940048,216000,0.0503875,7.43225,33.9399,0.386695,-0.00103893,212000,-0.00462916,6.24834863700562,0.001219,0.624767,2.01047,399.393,-0.443196,-9.17561,261.88502434,8518.33109171599,-15.9823,0.176126
