LossAfter,Time-Sampling,Step_0-MaxReturn,Step_0-AvgForwardVel,Step_1-MinReturn,Itr,dLoss,Step_0-PolicyExecTime,MeanKL,Time-InnerStep,Step_0-AverageReturn,Step_0-EnvExecTime,Step_0-AveragePolicyStd,Step_0-AvgCtrlCost,Step_1-AvgForwardVel,Step_0-StdReturn,ItrTime,Step_1-AverageReturn,Time-SampleProc,Step_1-AverageDiscountedReturn,Step_1-AveragePolicyStd,Step_0-AverageDiscountedReturn,Time-MAMLSteps,MeanKLBefore,Step_1-StdReturn,Step_1-AvgCtrlCost,Time,Step_0-NumTrajs,Step_0-AvgFinalForwardVel,Step_1-EnvExecTime,Time-TotalInner,Step_1-AvgFinalForwardVel,n_timesteps,Time-OuterStep,Step_0-MinReturn,Step_1-PolicyExecTime,Step_1-NumTrajs,LossBefore,Step_1-MaxReturn
-0.008158847,24.704922676086426,-128.24857700784105,0.07516063593687364,-761.7394097381638,0,0.008158846,1.5733790397644043,0.007786245,1.5565910339355469,-341.3193008914667,8.195998191833496,1.0,0.050094959770309866,0.09828043629165299,160.94032684696455,53.153584241867065,-337.59493307672824,0.7893772125244141,-147.9246188661841,0.9997173,-148.65031909655497,25.468833446502686,0.0,159.54994208311084,0.05013893319632222,53.15359330177307,800,0.1131659915330213,8.419355154037476,27.095934629440308,0.14287917572746459,320000,25.46858239173889,-752.9297490275563,3.702413558959961,800,-1.2099742e-09,-131.5582044069777
-0.007747052,23.49953317642212,-139.57262569429727,0.09088120353038993,-715.7349356338998,1,0.0077470606,0.9346292018890381,0.0065152696,0.16748428344726562,-348.08310328899404,8.327330350875854,0.9920632,0.05019223666830222,0.09211849614440423,147.63201881195408,38.365792751312256,-346.60272395897425,0.7796859741210938,-151.81108136569807,0.9919792,-151.88671034355474,13.847710132598877,3.9115546e-09,145.271499287161,0.05012100212508812,91.52400064468384,800,0.14928636968062622,8.391359567642212,24.496185779571533,0.132643627033845,640000,13.847523212432861,-724.6902557871872,2.9822797775268555,800,8.653849e-09,-131.36745436422754
-0.007819025,23.61828589439392,-133.76844608786996,0.09409008323026913,-746.4579976154826,2,0.007819029,0.9366230964660645,0.008892993,0.16806840896606445,-324.4692486191937,8.422540187835693,0.99057657,0.05003252534144757,0.09847328243312381,133.73517190895691,38.45897173881531,-325.56739649722675,0.7958176136016846,-142.0966714356325,0.9903706,-141.5526073391219,13.803836345672607,-1.5832484e-09,135.34444557084143,0.05024004087431265,129.98357009887695,800,0.0918531275303849,8.361970901489258,24.63221049308777,0.16875908182996124,960000,13.803638219833374,-769.326711103625,3.0080044269561768,800,3.8884584e-09,-135.57362624667786
-0.008296391,23.598499298095703,-119.42043409231074,0.10890998208156474,-733.4346433994427,3,0.008296389,0.934321403503418,0.006908156,0.16600489616394043,-360.4996544082018,8.3446204662323,0.98156923,0.05009435981861308,0.10533598564686907,140.72085686117822,38.496387243270874,-361.76045897204966,0.7858419418334961,-157.6028881875767,0.98142785,-157.2156670441824,13.87337064743042,1.5832484e-09,144.70244378755342,0.05020321758074897,168.48054313659668,800,0.12767522780177779,8.489906072616577,24.600019693374634,0.14734141862760203,1280000,13.873170852661133,-764.3616095749063,3.0040383338928223,800,-1.4297665e-09,-133.80526450091065
-0.008031281,23.623075246810913,-136.12034073832646,0.09901658973942337,-744.443574463456,4,0.00803128,0.9299764633178711,0.006869973,0.1682722568511963,-364.95788039181514,8.380401849746704,0.98088497,0.05027813661905628,0.12048598706244143,138.91176064325808,38.48561358451843,-361.3729497298516,0.7891695499420166,-157.30729533933948,0.9806402,-158.6440531485322,13.833270788192749,-4.656613e-11,142.08381778040194,0.05030495631151821,206.96692872047424,800,0.1104784474644152,8.50546908378601,24.629890203475952,0.19949754236854333,1600000,13.83306074142456,-743.2144144595171,3.0135653018951416,800,-5.135316e-10,-135.19462951083443
-0.008323707,23.43494987487793,-131.90317677602098,0.11979878298287318,-714.7901246627682,5,0.008323708,0.927635669708252,0.008684519,0.16789484024047852,-325.69541387694017,8.404479026794434,0.9863184,0.05006013492599417,0.1083677647693318,144.3078449815019,38.309122800827026,-326.7933505448603,0.7885122299194336,-142.78849865505524,0.98609954,-141.57193014281216,13.84622073173523,1.5832484e-09,143.5475036050062,0.05014580713184038,245.27667617797852,800,0.1602357258598046,8.38597321510315,24.440659999847412,0.10882223184545092,1920000,13.845903158187866,-707.3419073733342,2.9573936462402344,800,8.031729e-10,-136.67475214273125
-0.008244536,23.541343450546265,-133.85496176197003,0.11912280802247292,-723.2041237392934,6,0.008244538,0.9284729957580566,0.0071563376,0.166487455368042,-322.31398641355025,8.40491795539856,0.9683005,0.05011084621638568,0.12388490837982831,138.77010033047645,38.36674475669861,-320.8395900279661,0.7760326862335205,-139.5386723893403,0.9680967,-140.49923983251267,13.812219619750977,1.3969839e-09,139.13251129623154,0.05019975295964343,283.6439895629883,800,0.15692384926320788,8.496668338775635,24.533059120178223,0.14309833116568804,2240000,13.812012195587158,-750.5411545189666,3.0004658699035645,800,2.2999938e-09,-133.70493366865838
-0.008462034,23.808135986328125,-132.3011978718332,0.12440140288782167,-676.2321373373808,7,0.00846203,0.9257276058197021,0.008465724,0.16907596588134766,-346.24570820974157,8.366705656051636,0.9660666,0.05027475687436956,0.13471404985235302,151.1171331377254,38.68075132369995,-343.162017690621,0.794086217880249,-149.02067355353162,0.96593714,-150.95543726520813,13.838857412338257,1.6763806e-09,149.54525789510606,0.050270209862983944,322.32537269592285,800,0.14456419882480073,8.453402280807495,24.820507287979126,0.16803158058088344,2560000,13.838656187057495,-788.8210398320888,3.4143781661987305,800,-3.5464764e-09,-133.80995007768962
-0.008122074,23.297068119049072,-130.6772058726811,0.1355191516546631,-813.2753551046496,8,0.008122071,0.924309492111206,0.0072907237,0.16701579093933105,-351.6482638050395,8.33847165107727,0.95627135,0.05023430853216135,0.13066716897556224,143.70223947931711,38.171489000320435,-351.9571331742476,0.7962477207183838,-153.37833582737198,0.95598507,-153.17466290638012,13.840601682662964,1.5832484e-09,147.12444130746837,0.05035924894768065,360.49744153022766,800,0.10871298859634418,8.392221450805664,24.30934238433838,0.1632169358160432,2880000,13.840405702590942,-745.700150392295,2.9856972694396973,800,-3.322959e-09,-130.27527415759604
-0.007862863,23.36491823196411,-132.42594299390197,0.13392087482173776,-770.2168855716799,9,0.007862862,0.9306972026824951,0.007776729,0.16574788093566895,-340.1436790449867,8.429543495178223,0.95053905,0.05041988562279035,0.14360136096564954,137.4848496169648,38.14978313446045,-337.3090105614623,0.7809371948242188,-146.76962695995212,0.9503291,-148.1142389867661,13.76741075515747,1.5832484e-09,133.46261172764773,0.050199000693352785,398.64780163764954,800,0.15957424115021288,8.413337230682373,24.360584259033203,0.17255565248231292,3200000,13.767207622528076,-714.3355425562892,2.9514853954315186,800,-1.2978912e-09,-132.0024907651862
