Sample Time (s),V Predictions Min,Policy Loss,Epoch Time (s),Policy mu Min,AverageReturn_all_test_tasks,Number of env steps total,Log Pis Min,(Previous) Eval Time (s),Log Pis Std,AverageTrainReturn_all_train_tasks,Z mean eval,Z variance eval,Train Time (s),Policy mu Std,KL Loss,Policy mu Mean,V Predictions Std,VF Loss,KL Divergence,Q Predictions Max,QF Loss,Z variance train,Q Predictions Std,Number of train steps total,Policy log std Std,Policy log std Mean,V Predictions Mean,Log Pis Max,Policy log std Max,Epoch,Total Train Time (s),Number of rollouts total,Log Pis Mean,Policy log std Min,V Predictions Max,AverageReturn_all_train_tasks,Q Predictions Mean,Policy mu Max,Q Predictions Min,Z mean train
5.985686273314059,43.6969,-393.056,56.122907562647015,-2.30992,608.305290895,114000,-8.86097,8.808605660684407,2.59718,597.828063076,0.895001,0.0732804,41.32861562864855,0.869253,5.915498733520508,-0.0922264,115.047,58.2249,59.15498733520508,624.835,202.227,0.136614,116.507,22000,0.197977,-0.403754,394.741,7.64167,0.0767577,10,651.3798785386607,0,-0.622504,-1.47076,625.914,585.189927105,385.694,2.05548,38.7522,1.22051
7.143007774837315,-11.784,-347.071,67.90314907161519,-2.14496,630.068085387,124000,-9.63723,10.962405019905418,2.55678,481.101948648,1.49218,0.039743,49.797736276872456,0.797195,4.098657131195068,-0.0265132,150.583,36.9392,40.986568450927734,758.105,81.1521,0.0570788,150.437,24000,0.194823,-0.384889,348.225,8.09061,0.0367165,11,719.8399382662028,0,-1.22073,-1.30982,754.278,-197.07587679,341.713,2.0978,-27.828,1.1123
7.643633930943906,94.8652,-552.44,69.40384533302858,-2.34602,640.55282038,134000,-8.17321,11.51950460812077,2.7687,701.358912452,2.31169,0.0414108,50.24070679396391,0.927681,4.176318645477295,0.0209122,180.957,50.3821,41.763187408447266,863.084,135.341,0.121454,181.827,26000,0.16317,-0.445467,553.482,7.57162,0.0375564,12,788.766410375014,0,-0.170796,-1.12969,864.022,693.731852411,544.607,2.25204,67.6449,1.49158
7.2259721592999995,90.5337,-567.167,65.01920255320147,-2.19138,724.909101849,144000,-7.41703,11.042639158200473,2.88379,740.336867183,0.448626,0.0404826,46.750591235700995,0.97329,6.680258274078369,0.0160473,212.363,47.7279,66.80258178710938,989.745,167.136,0.166447,212.75,28000,0.211153,-0.443595,568.046,9.3763,0.123295,13,853.3667506496422,0,0.307351,-1.57271,988.088,595.894701129,558.085,2.22475,90.4698,1.90566
7.033726150169969,20.867,-522.445,64.71580410934985,-2.13668,504.35575765,154000,-8.60525,10.62394745182246,2.69243,746.691888893,3.42258,0.0610859,47.05813050735742,0.900798,4.127913475036621,-0.0424734,206.709,65.401,41.27913284301758,961.896,112.578,0.0998816,206.512,30000,0.200124,-0.443095,526.928,7.61308,0.0628746,14,918.1663147476502,0,-0.346553,-1.60673,962.042,729.788378248,515.277,2.04362,-3.12087,1.32817
6.9150007870048285,91.3391,-679.143,56.1466841455549,-2.48936,508.476745424,164000,-8.42681,10.708067291881889,2.97156,771.068433038,0.603431,0.0524508,38.52361606666818,1.0062,5.359649658203125,-0.0118338,167.363,104.448,53.59649658203125,997.271,236.183,0.111061,172.876,32000,0.200195,-0.486628,675.258,9.94021,0.062863,15,972.2110272403806,0,0.547364,-1.68551,993.219,490.812056508,670.952,2.36459,99.7794,1.30214
5.681763116735965,-12.4743,-712.833,56.7623788965866,-3.35913,707.110805785,174000,-7.11404,8.60618863813579,3.36258,880.072960466,2.45141,0.0485304,42.47442714171484,1.04895,6.750160217285156,-0.0334366,335.158,56.1328,67.50160217285156,1339.57,194.81,0.169864,336.942,34000,0.211659,-0.470903,712.727,12.6591,0.035153,16,1031.6795716411434,0,0.832084,-1.57736,1346.34,845.402368338,703.634,2.55896,-56.9427,2.3704
7.140612594783306,-34.1504,-703.084,66.36617376701906,-2.54633,744.304809,184000,-7.60216,11.31268998188898,3.0116,923.350017611,0.855374,0.0444994,47.91287119034678,1.00179,5.868301868438721,-0.0254426,297.701,256.82,58.68301773071289,1270.04,250.387,0.093365,296.008,36000,0.205075,-0.482473,716.798,11.1636,0.0259897,17,1097.4379446920939,0,0.607766,-1.61143,1290.07,922.284840543,700.689,2.45637,-47.5447,1.56077
7.091177195310593,61.8888,-738.124,65.01356713054702,-2.8367,803.140089166,194000,-6.96605,10.705229529179633,3.14925,848.423891305,2.04127,0.0475591,47.21716040605679,1.06848,10.514123916625977,-0.0574543,211.412,128.057,105.1412353515625,1207.35,365.969,0.0785196,211.847,38000,0.239737,-0.498982,740.815,11.6986,0.0628101,18,1162.3617163724266,0,1.08109,-1.93615,1220.11,843.894822269,727.619,2.66302,58.7937,2.82889
7.094760418869555,-13.4222,-787.601,66.58907951693982,-2.9277,791.802479906,204000,-6.70473,10.615874024108052,3.18271,849.234587909,2.69328,0.0496037,48.87844507396221,0.976971,5.08339786529541,-0.0214105,348.242,211.933,50.83397674560547,1421.47,308.934,0.129129,352.885,40000,0.211973,-0.502552,777.553,11.5664,0.0537843,19,1229.1663650604896,0,0.429386,-1.56735,1411.9,537.170226502,773.899,2.28178,-1.28632,1.75916
7.076524623204023,41.1274,-1008.09,65.1175312823616,-2.59154,831.787894643,214000,-8.93279,10.831671155057847,3.26316,884.128840055,1.98241,0.037225,47.20933550409973,1.07773,6.794498443603516,-0.0492619,313.906,108.419,67.94498443603516,1521.72,328.588,0.149509,315.862,42000,0.208733,-0.526727,1010.45,12.4187,0.100508,20,1291.2531875013374,0,1.14616,-1.82928,1520.72,781.218596492,1003.28,2.89238,33.4201,1.89978
5.6098575834184885,88.6584,-819.693,53.12345022847876,-2.89418,844.639209541,224000,-8.45406,7.801295394077897,3.22143,954.780410106,1.9684,0.0410782,39.712297250982374,1.07379,9.279336929321289,-0.0694049,265.694,83.6303,92.79336547851562,1421.21,335.115,0.0666677,268.073,44000,0.24582,-0.500344,820.933,11.9023,0.10395,21,1345.4976360709406,0,1.11987,-1.95069,1408.94,1007.89910139,810.308,3.17224,90.3174,2.34197
5.839259249158204,-0.0317309,-759.652,63.32621171325445,-2.38583,872.455223508,234000,-7.59881,8.922579107806087,2.82924,940.012332519,0.980561,0.0452812,48.56437335629016,0.958498,5.581995487213135,-0.0170563,294.838,180.856,55.81995391845703,1498.33,212.444,0.118078,301.241,46000,0.220506,-0.508323,750.772,9.42399,0.102972,22,1410.5082739586942,0,0.381087,-1.62366,1481.62,884.969876921,748.389,2.74669,-31.1184,1.64558
6.983853307552636,-30.4327,-782.633,64.52986718248576,-2.5005,639.18422954,244000,-7.81586,10.607469698879868,2.89468,808.09913471,2.49127,0.0749983,46.938544176053256,0.993706,5.308579444885254,-0.120182,316.249,103.45,53.085792541503906,1517.22,190.139,0.0964689,318.802,48000,0.234771,-0.519995,786.743,9.60427,0.110676,23,1475.0229690847918,0,0.78926,-1.81067,1533.68,545.54621059,770.066,2.42694,-92.0678,1.45703
7.051428122911602,-21.914,-932.508,64.5134179093875,-2.54965,799.39196503,254000,-7.20986,10.592674494720995,3.14771,1035.15600143,2.64937,0.073346,46.8693152917549,1.07142,7.7967963218688965,-0.0961294,339.46,95.8691,77.96796417236328,1698.35,263.966,0.116942,343.018,50000,0.24478,-0.50371,934.787,11.1442,0.168811,24,1539.5617455961183,0,1.10616,-1.7875,1685.56,1007.87044195,922.347,2.75925,-16.0522,1.97093
7.006155328825116,47.1092,-946.718,65.34732807381079,-2.78061,821.363845545,264000,-6.88895,10.618295005057007,3.12778,906.677731996,1.60918,0.055891,47.72287773992866,1.0638,8.762533187866211,-0.120631,318.07,94.0483,87.62532806396484,1604.59,219.99,0.0893401,320.721,52000,0.249663,-0.518563,947.648,10.7631,0.146494,25,1604.95739072375,0,1.25208,-1.85451,1600.06,939.987273922,937.092,3.20845,59.1565,2.30047
7.117678529582918,17.0495,-1054.22,60.41706955246627,-2.47247,708.87488188,274000,-6.87359,10.667034443002194,3.1415,862.657179234,3.81952,0.0414784,42.63235657988116,1.00144,5.469771862030029,-0.0856858,445.443,173.132,54.697715759277344,1844.72,574.303,0.108241,450.402,54000,0.227234,-0.551317,1058.36,12.9238,0.0571958,26,1662.969958235044,0,0.704027,-1.81,1824.27,448.237560209,1046.64,2.58053,0.413221,1.70573
