KL Divergence,R Predictions Std,Log Pis Std,Q Predictions Max,Policy mu Min,Number of rollouts total,Sample Time (s),Policy mu Max,AverageReturn_all_train_tasks,Q Predictions Min,RF Loss,V Predictions Min,Policy mu Mean,V Predictions Mean,Epoch Time (s),V Predictions Max,Log Pis Max,R Predictions Max,Q Predictions Std,(Previous) Eval Time (s),Z mean train,Total Train Time (s),KL Loss,R Predictions Mean,Number of train steps total,Train Time (s),Policy log std Std,Z variance train,Policy Loss,Policy mu Std,Z variance eval,QF Loss,Q Predictions Mean,Log Pis Min,Number of env steps total,V Predictions Std,R Predictions Min,Policy log std Mean,Epoch,Policy log std Max,Policy log std Min,Log Pis Mean,VF Loss,AverageReturn_all_test_tasks,Z mean eval
99.47171783447266,0.00143665,0.517807,0.0048701,-0.0044295,9185,99.62805904400011,0.00455777,93.5726253041,-0.0061569,22.8011,-0.00101285,2.7289e-07,0.00332176,214.47393100600038,0.00740006,-2.15641,0.00583867,0.00186589,0,0.00247818,239.02341835800007,9.947172164916992,0.00190188,2000,114.84587196200027,0.00230167,0.00692967,-4.00105,0.00175309,0.563937,47.9712,-0.000621517,-6.10138,84000,0.00134691,-0.00198089,-0.00169222,0,0.00295288,-0.00802528,-4.01958,16.25,119.008502158,0.532475
21.957372665405273,0.00134602,2.66593,112.509,-0.347817,9263,5.521405449000213,2.40957,133.20685232,-21.3494,19.8044,-9.18745,1.08808,74.0322,148.8061823339999,118.287,9.57209,0.00624513,25.5956,24.54976326699989,0.302573,385.80798197400054,2.195737361907959,0.00172142,4000,118.73501361799981,0.129953,0.498433,-70.3373,0.375227,0.065817,127.238,56.9063,-8.01696,88000,21.0012,-0.00209666,-0.411949,1,0.157191,-0.732568,1.59494,27.399,122.845361134,0.367332
66.1161880493164,0.00142739,3.88736,275.469,-2.98924,9342,4.965081929000917,3.30407,113.479532767,-52.5683,26.8567,-16.431,0.799874,163.976,148.5499267630007,288.267,17.6054,0.00743961,63.7142,22.52821061199984,0.407184,533.1795963560012,6.611618995666504,0.00194367,6000,121.05663422199996,0.246868,0.11432,-169.26,0.763515,0.0370235,439.569,141.304,-10.641,92000,50.9575,-0.00208005,-0.472232,2,0.307374,-1.37204,1.2004,86.1985,145.536554927,0.947975
85.93148040771484,0.00145746,4.52664,372.704,-3.4662,9426,4.886689379999552,3.37735,127.477850549,-57.956,21.2069,-25.3277,0.586074,225.654,148.5039718109997,392.488,22.7499,0.00695831,84.2658,21.35012027399989,0.845511,680.6574215360001,8.593148231506348,0.00179481,8000,122.26716215700026,0.291328,0.0783894,-224.591,0.843286,0.0212093,587.219,197.435,-8.36759,96000,65.636,-0.00263572,-0.471401,3,0.130167,-1.72409,0.68,82.2873,115.022115507,0.76719
116.6390609741211,0.00140512,5.17996,409.912,-3.4728,9518,4.907442275998619,3.71634,137.197027686,-39.5353,28.5662,-42.3265,0.540726,293.498,148.50360641099815,430.068,26.7645,0.00759764,102.335,20.32458884699963,1.34208,829.5832714339995,11.66390609741211,0.00193575,10000,123.2715752879999,0.279645,0.0319745,-290.328,0.879976,0.0101751,709.402,252.79,-7.93323,100000,63.7706,-0.00216226,-0.464593,4,0.158237,-2.1507,0.508169,128.34,116.302464905,0.523842
154.753662109375,0.00158541,5.0965,513.337,-3.41095,9604,4.743081682998309,3.87231,118.238014435,-74.5666,31.3446,-64.3498,0.49958,343.663,148.0466842909982,519.077,27.9634,0.00740566,133.697,20.746499158000006,0.975734,977.8103869069964,15.475366592407227,0.00208831,12000,122.55710344999989,0.332658,0.0122338,-350.482,0.909372,0.0137244,919.598,300.558,-8.7059,104000,88.2803,-0.00226754,-0.529384,5,0.109594,-2.4095,0.758176,266.34,105.654571378,0.445929
146.28317260742188,0.00144132,4.95314,576.817,-3.43608,9701,4.884067871999832,3.81477,113.949208315,-84.3966,31.1913,-31.2405,0.441627,357.297,149.69193116499991,583.656,23.9247,0.00631555,129.253,20.92730574699999,0.845377,1126.984624955996,14.628317832946777,0.0017747,14000,123.88055754600009,0.334169,0.0132604,-348.902,0.897138,0.00804406,1014.52,313.67,-15.1685,108000,91.1285,-0.00204454,-0.45947,6,0.143097,-2.66711,0.408911,397.574,105.007593496,0.890409
140.6483612060547,0.00139644,4.94085,521.864,-3.75443,9805,4.870549907001077,3.95591,101.974389027,-130.508,33.3603,-47.1744,0.453009,369.64,146.79086124300102,540.425,27.239,0.00654818,133.742,20.409807533000276,0.538166,1273.8508369299961,14.064836502075195,0.00182329,16000,121.51050380299966,0.310064,0.0124755,-368.494,0.908491,0.00414821,1151.08,326.651,-10.8241,112000,91.4743,-0.00168725,-0.488229,7,0.222606,-2.83352,0.469848,314.64,96.3244750216,0.896664
153.05264282226562,0.00147742,5.03406,589.299,-3.2812,9898,4.801249591002488,4.34533,84.5873235612,-109.766,35.7661,-34.5137,0.452874,407.884,148.3660072720022,612.9,28.5606,0.00720968,148.766,20.485704939999778,2.01701,1423.1410003539986,15.305264472961426,0.00176888,18000,123.07905274099994,0.333891,0.00660768,-405.388,0.928073,0.00485208,1418.42,354.391,-9.31651,116000,96.2235,-0.00208414,-0.51909,8,0.158064,-2.58724,0.691272,201.953,85.2431136899,0.557881
148.94715881347656,0.00151576,4.88194,583.916,-3.57212,9992,4.825706397999966,5.2715,46.3360319022,-131.606,32.428,-18.09,0.488124,417.713,148.14473828100017,568.172,24.609,0.00784103,157.392,21.41030283100008,1.20525,1570.2499183209993,14.894716262817383,0.00192188,20000,121.90872905200013,0.338006,0.00932562,-423.688,0.930716,0.00232016,902.383,375.259,-8.60826,120000,100.689,-0.00172172,-0.555778,9,0.111203,-2.74811,1.01196,349.031,67.4493878859,0.620602
