RF Loss,Q Predictions Mean,Policy mu Min,Policy log std Std,Train Time (s),V Predictions Mean,R Predictions Mean,Epoch,Z variance train,Policy log std Mean,R Predictions Max,V Predictions Max,QF Loss,Z mean eval,R Predictions Min,Policy mu Max,KL Loss,Policy mu Std,V Predictions Std,VF Loss,Z variance eval,Q Predictions Min,R Predictions Std,Policy log std Max,Total Train Time (s),Q Predictions Std,Epoch Time (s),Q Predictions Max,Policy log std Min,Number of rollouts total,V Predictions Min,AverageReturn_all_train_tasks,Policy Loss,Log Pis Mean,Z mean train,Log Pis Std,Log Pis Min,AverageReturn_all_test_tasks,Number of env steps total,Log Pis Max,(Previous) Eval Time (s),KL Divergence,Sample Time (s),Number of train steps total,Policy mu Mean
39.5723,398.142,-4.03165,0.325699,122.11608765799974,437.77,-0.00190924,10,0.00567257,-0.52223,0.00406238,607.638,1535.28,0.683741,-0.00649433,4.19855,16.58820915222168,0.899744,113.297,398.602,0.00623102,-156.528,0.00173775,0.190009,1728.8588156710007,159.93,147.73495656900104,608.204,-2.47466,10529,-48.2809,121.594792657,-437.272,0.327804,0.804603,4.75769,-8.51565,107.148126741,124000,32.3396,20.77615102100026,165.882080078125,4.84271789000104,22000,0.370418
61.7285,400.508,-4.10951,0.303669,121.8495809469996,450.151,-0.00202728,11,0.0187349,-0.498598,0.00398311,632.525,1471.66,0.825461,-0.00622277,4.11073,16.555936813354492,0.843855,104.981,306.356,0.00512973,-153.686,0.00173835,0.168638,1877.582145675004,154.901,148.11835747900204,624.913,-2.4553,10611,-85.4924,166.142197295,-445.867,0.810059,1.78001,4.6012,-9.65008,163.738083612,128000,29.3792,21.273910889000035,165.55935668945312,4.994865643002413,24000,0.629897
58.09,402.316,-5.61389,0.35473,122.07870721200015,443.745,-0.00204111,12,0.0029599,-0.582614,0.00367226,605.075,1172.82,0.767709,-0.00696358,4.69237,15.700139045715332,0.910493,110.265,298.436,0.00370383,-64.3685,0.00181438,0.222793,2025.6445363840062,167.603,148.9290326979999,609.395,-2.49011,10698,-36.1563,134.483541752,-450.531,1.21549,0.743591,4.85053,-10.3071,134.456687067,132000,43.3515,21.879302115999963,157.0013885498047,4.971023369999784,26000,0.580708
48.3033,459.36,-4.17161,0.348904,122.4629973129995,515.408,-0.0021131,13,0.00230448,-0.596466,0.00400828,742.298,1022.79,0.815168,-0.00602729,4.74903,18.81003761291504,0.980804,140.406,291.863,0.00336981,-69.3295,0.00166116,0.249382,2175.4006529300073,199.926,148.31494914800078,735.743,-2.76082,10774,-36.676,152.478795967,-514.927,1.25127,0.620388,4.98164,-9.01114,151.010913148,136000,31.9453,21.012974951000615,188.10037231445312,4.838976884000658,28000,0.458429
57.198,463.376,-4.15122,0.39912,122.48551886600035,519.603,-0.00193244,14,0.00247232,-0.678811,0.00332092,758.379,1189.31,0.825538,-0.00596549,4.41741,19.54773712158203,0.947334,144.339,333.224,0.00242912,-94.1265,0.0017456,0.305409,2324.846103532011,203.575,150.01205147900328,762.813,-2.84291,10852,-27.7848,155.715463934,-518.797,1.61074,0.748065,4.51561,-8.78761,178.346644778,140000,29.6091,22.45451336199949,195.4773712158203,5.072019251003439,30000,0.495134
63.5189,450.968,-4.15302,0.329171,122.57693235999977,494.938,-0.00179365,15,0.0019221,-0.646382,0.00411832,747.458,1699.36,0.710397,-0.00583251,5.53426,18.8580379486084,0.962481,158.292,539.181,0.00625319,-154.704,0.0017694,0.141133,2473.9373596220116,202.081,149.47612141300124,713.573,-2.55974,10929,-198.158,166.216485263,-495.51,1.60267,0.733734,4.85507,-8.458,170.002898237,144000,33.5543,21.88856020900039,188.58038330078125,5.010628844001076,32000,0.53122
70.1211,507.16,-5.5075,0.321835,121.98092701600035,551.904,-0.00210052,16,0.00986879,-0.625619,0.00424033,857.653,1296.37,0.580738,-0.0059457,4.62015,18.669065475463867,0.948608,170.444,403.681,0.00183477,-91.5585,0.0016892,0.235201,2622.680533485013,213.179,148.43706343899885,868.028,-2.96121,11008,-63.3315,171.648390372,-556.644,1.59759,1.49243,4.74052,-8.48053,165.982227381,148000,34.651,21.504361917000097,186.69065856933594,4.951774505998401,34000,0.570668
68.9012,518.296,-4.84984,0.315434,123.140413739,561.934,-0.00179823,17,0.00202447,-0.611671,0.00398122,823.247,1945.44,0.51719,-0.0065906,6.10252,17.630767822265625,0.991528,158.732,454.471,0.00104576,-131.521,0.00171332,0.46422,2771.8197704100135,213.627,149.7803702759993,849.855,-2.64386,11082,-122.123,151.773845274,-569.846,1.37145,0.933133,4.64108,-9.53258,146.082654963,152000,33.6937,21.810378352000043,176.30767822265625,4.829578184999264,36000,0.439353
81.8023,514.881,-4.3249,0.349666,122.0356368369994,564.334,-0.00199985,18,0.00710972,-0.651235,0.0035276,888.456,1107.64,0.767139,-0.00737393,6.56318,21.74907875061035,0.99907,192.466,305.471,0.00162261,-237.302,0.00170948,0.591882,2920.61605973401,232.472,148.03603197999655,902.787,-2.68657,11156,-189.148,165.674280615,-558.713,1.76103,1.47307,4.34245,-8.49886,158.420276104,156000,31.4193,21.169630762999986,217.49078369140625,4.830764379997163,38000,0.481944
66.7565,548.839,-4.16187,0.341404,122.20005374700031,609.048,-0.00175517,19,0.00643368,-0.63475,0.00410977,943.395,1912.64,0.443505,-0.00583493,5.2155,20.51808738708496,1.00429,195.212,558.104,0.00127589,-99.2151,0.00180784,0.271449,3069.423786803012,243.856,149.09629045100064,938.025,-2.69145,11227,-93.6382,175.755883118,-601.221,1.61716,1.41943,4.94404,-8.875,183.486012276,160000,33.1565,21.93016803899991,205.1808624267578,4.966068665000421,40000,0.447605
