train-AverageReturn,ItrTime,Itr,train-MinReturn,Time-Optimization,Time-Sampling,train-AverageDiscountedReturn,n_timesteps,LossAfter,Time,train-PolicyExecTime,train-NumTrajs,train-EnvExecTime,train-StdReturn,train-AveragePolicyStd,LossBefore,train-MaxReturn,Time-SampleProc
5.671999135127661,13.25408673286438,0,-3.4061556602155574,1.8969614505767822,10.204987287521362,5.434848938242072,40000,-0.029353587,13.277636766433716,0.6826257705688477,4995,9.114885330200195,5.61175965541166,1.0,0.017983159,70.49417782323519,1.132589340209961
11.875596266201253,12.839311122894287,1,-4.030955059979151,1.8327107429504395,10.154176712036133,10.894060387797891,80000,-0.020033302,26.146723985671997,0.6666693687438965,3480,9.102010726928711,12.532105564336648,0.99645585,0.027109304,89.9712182725635,0.8376739025115967
20.06367455122847,12.66442584991455,2,-4.437935455972575,1.851815938949585,10.143972635269165,17.88722686297044,120000,-0.012639368,38.830341815948486,0.6721084117889404,2594,9.100154638290405,16.980488490805087,0.99181664,0.030608077,109.16651181138583,0.6568617820739746
27.39892839812713,12.333115816116333,3,-2.850914641382471,1.8543407917022705,9.900866270065308,23.978490797935915,160000,-0.00979993,51.18298673629761,0.6778552532196045,2142,8.860201358795166,18.518569634040784,0.98712695,0.031721056,105.17850617552513,0.5679349899291992
30.083440871866905,12.427058458328247,4,-2.668100252416446,1.8473029136657715,9.965508222579956,26.42775042309033,200000,-0.009032311,63.62985181808472,0.6740610599517822,2097,8.931658267974854,16.82220210920435,0.98249096,0.02844196,121.03001715376907,0.604320764541626
32.888953531386214,12.376810550689697,5,-2.2581488741638513,1.8604042530059814,9.971327781677246,28.698155015379086,240000,-0.0075248056,76.02636861801147,0.6795997619628906,1969,8.932800531387329,17.344238010400495,0.97862303,0.027827192,124.6770677190363,0.5357043743133545
37.284461032046586,12.285994291305542,6,-1.1747853276054672,1.858557939529419,9.910009145736694,32.276172103600416,280000,-0.0073773526,88.3321099281311,0.6773133277893066,1825,8.879377841949463,18.461501655155185,0.97556937,0.01810043,121.72281693106923,0.5084736347198486
44.413640770867026,12.244696378707886,7,0.1226934820338117,1.8555355072021484,9.881524324417114,37.49007315760413,320000,-0.007296122,100.59643220901489,0.6818361282348633,1605,8.854534387588501,24.116464710433544,0.97318727,0.029003063,133.7139780745395,0.4995095729827881
53.56443970166475,12.302157878875732,8,1.077122946209152,1.8757836818695068,9.945863246917725,43.91455514970122,360000,-0.0062207775,112.9177987575531,0.6871013641357422,1365,8.918448448181152,29.430591762807072,0.9707398,0.030662572,133.1742031901858,0.4733583927154541
61.75857840675151,12.059526681900024,9,0.8745885289448877,1.8808808326721191,9.775623083114624,49.640131060491306,400000,-0.0054101935,124.99705982208252,0.6860971450805664,1210,8.75143313407898,31.4040878844105,0.96790123,0.03261494,132.97111018724857,0.39635658264160156
71.57298892886097,12.095343589782715,10,1.7969201109545432,1.8816416263580322,9.829704999923706,56.74446887219279,440000,-0.0052875965,137.11263585090637,0.6906287670135498,1101,8.80158019065857,31.859976540737343,0.9648961,0.026486063,139.13138060655828,0.37751221656799316
76.89596833333894,12.1253821849823,11,0.21428476846352817,1.8631234169006348,9.895236730575562,60.602282459167924,480000,-0.004834473,149.25730848312378,0.6895692348480225,1052,8.868343114852905,31.31139886546039,0.9617173,0.017455753,146.78217514938535,0.3608667850494385
84.03417109460521,12.133707046508789,12,-1.2107234675077403,1.8811910152435303,9.772930383682251,65.6428100163913,520000,-0.0046223146,161.4106526374817,0.693181037902832,983,8.745922088623047,28.961778964010872,0.9580739,0.03023997,142.15480431189835,0.4736521244049072
90.83876136927223,12.044343948364258,13,2.322066793224547,1.872304916381836,9.830475807189941,70.40489227283358,560000,-0.0030015379,173.4758038520813,0.6956799030303955,925,8.801525831222534,24.640651887607415,0.95397645,0.01874482,132.87705586946603,0.335925817489624
94.79818951792438,12.146291017532349,14,2.3704491510641934,1.8718681335449219,9.922895669937134,73.16721680563744,600000,-0.0025404037,185.64208912849426,0.6921989917755127,892,8.897853374481201,20.312049757824028,0.9498201,0.011752536,166.76973011582052,0.34596967697143555
94.28934701902804,12.125052213668823,15,1.676030364701999,1.8889126777648926,9.898132085800171,73.02957019265749,640000,-0.004051503,197.78673195838928,0.6961319446563721,904,8.872383832931519,20.53835553544281,0.9460198,0.009739621,179.20110526172488,0.33241772651672363
99.38878306854555,12.091342210769653,16,3.449832853105595,1.9067721366882324,9.856576204299927,75.95963264679315,680000,-0.0017151735,209.89704775810242,0.6988511085510254,854,8.828353881835938,17.049749681688777,0.9421605,0.00040590233,146.16713752474345,0.32246828079223633
100.0020763748918,12.011965990066528,17,4.120238005601527,1.8658709526062012,9.82691764831543,76.76761374821885,720000,-0.0022704669,221.9293918609619,0.6974077224731445,861,8.79800033569336,14.738029050515097,0.9385047,0.01314508,155.70413473476802,0.3136599063873291
100.16739694914445,12.041915655136108,18,-0.05233879780649536,1.8901126384735107,9.816431283950806,76.41266136413606,760000,-0.002137323,233.99087572097778,0.6931705474853516,846,8.792189121246338,17.168307916136055,0.93563086,0.005356375,147.47249162100863,0.3299572467803955
100.49569238634291,12.093084573745728,19,1.372791443070822,1.8983502388000488,9.864324808120728,76.66487592118591,800000,-0.0041465997,246.10367727279663,0.6957242488861084,842,8.837185859680176,16.441314626874895,0.93287605,-0.009927605,156.6441625035624,0.3251018524169922
