V Predictions Mean,QF Loss,R Predictions Max,Number of train steps total,KL Loss,Policy Loss,V Predictions Max,RF Loss,Q Predictions Std,Policy mu Mean,Z mean eval,Z mean train,Log Pis Max,Q Predictions Max,Policy mu Std,Sample Time (s),Total Train Time (s),Q Predictions Mean,Epoch,KL Divergence,Q Predictions Min,Policy log std Max,Log Pis Mean,Policy mu Min,Train Time (s),Epoch Time (s),Policy log std Min,Policy log std Mean,AverageReturn_all_test_tasks,R Predictions Min,Number of env steps total,Policy mu Max,Z variance eval,Policy log std Std,V Predictions Min,VF Loss,Log Pis Std,AverageReturn_all_train_tasks,V Predictions Std,Log Pis Min,R Predictions Std,(Previous) Eval Time (s),R Predictions Mean,Z variance train,Number of rollouts total
445.333,1327.39,-0.0010811,22000,16.627946853637695,-446.711,597.986,46.1024,140.752,0.480905,0.521264,1.10041,26.1905,593.327,0.906727,4.8375812559988844,1733.343178358995,411.119,10,166.2794647216797,-65.2143,0.0683005,0.678535,-5.29396,122.92783321299976,149.53787745499903,-2.11715,-0.531995,84.5474230673,-0.0136837,124000,4.79836,0.00228745,0.305533,-39.1993,382.793,4.54401,92.4356451611,97.3585,-10.3147,0.00244244,21.77246298600039,-0.00745279,0.00312086,10057
444.35,1125.03,-0.000541409,24000,18.775114059448242,-441.039,581.178,67.7913,158.932,0.461498,0.813106,1.12048,31.1343,580.061,0.969529,4.81675919999725,1881.640041547993,398.113,11,187.75112915039062,-67.4481,0.154614,1.20533,-6.57938,121.95331851299943,147.32746168899666,-2.1771,-0.561483,131.927957386,-0.0139849,128000,4.64563,0.00424874,0.351179,-23.8254,240.869,4.94332,122.971753212,105.033,-8.56276,0.00245835,20.557383975999983,-0.00755442,0.00717309,10144
498.182,1187.94,-0.00076165,26000,15.962760925292969,-505.907,680.072,43.3729,190.979,0.531187,0.554966,0.513974,36.2613,675.724,0.982194,4.910886277997633,2030.0256996839908,452.851,12,159.6276092529297,-103.45,0.191094,1.44779,-4.56031,122.01562849099992,148.4535742329972,-2.3388,-0.555439,154.78803656,-0.0126497,132000,5.84233,0.00450546,0.312777,-26.8697,537.939,5.25209,143.324140246,144.016,-9.7276,0.00252476,21.52705946399965,-0.00724093,0.00449955,10223
509.239,1299.19,9.3417e-05,28000,19.065370559692383,-512.053,661.958,54.0472,179.425,0.537754,0.787371,1.53041,38.8034,662.257,0.944781,5.0341977180023605,2178.729450172993,466.267,13,190.65370178222656,-88.126,0.303195,1.20062,-4.91797,122.35579738700017,148.84965656600252,-2.43974,-0.56566,129.28496368,-0.0131778,136000,5.57291,0.00450917,0.316283,-16.0416,289.435,5.13996,138.047123253,118.425,-9.95523,0.00243507,21.459661460999996,-0.00756874,0.00170165,10312
491.173,1576.21,-0.000832089,30000,20.121366500854492,-500.889,652.566,69.4146,176.872,0.523232,0.734998,0.854415,50.8724,658.261,0.924608,4.989755219000472,2327.9800991529946,453.938,14,201.2136688232422,-99.6515,0.272732,0.982104,-4.8,122.5346986960003,148.8387195710011,-2.36464,-0.54661,136.610890133,-0.0130266,140000,5.53253,0.00379451,0.304368,-41.9205,419.481,4.56203,135.142258736,129.631,-8.39301,0.00241234,21.314265656000316,-0.00743751,0.00323041,10396
523.683,1830.45,-0.000338381,32000,15.969388008117676,-515.267,739.811,52.2677,194.835,0.556415,0.788717,0.471321,40.8675,691.889,0.947802,5.096598135999557,2477.4157645029927,463.255,15,159.69387817382812,-238.737,0.39343,1.07271,-5.72082,122.61929717399926,149.44227137799862,-2.30068,-0.528538,154.485509087,-0.0131094,144000,7.09877,0.00191158,0.274181,-31.3023,544.78,5.16675,134.196374896,137.183,-8.55573,0.0022938,21.72637606799981,-0.00740822,0.00395947,10473
495.64,2041.09,-0.000920819,34000,22.211837768554688,-496.909,721.457,63.2625,193.491,0.653584,0.384864,1.35994,30.4565,710.841,0.90037,4.873024787000759,2625.8613486359955,451.054,16,222.11837768554688,-155.663,0.223583,1.39815,-5.01031,122.20112592799978,148.79421228000047,-2.52166,-0.555552,216.771031153,-0.0124464,148000,4.64967,0.00203035,0.302653,-82.5494,361.982,4.54169,164.023493965,147.433,-8.83998,0.0024084,21.720061564999924,-0.00753024,0.00371628,10548
512.383,990.927,-0.000368983,36000,19.471269607543945,-512.688,715.905,55.4822,202.06,0.590029,0.954356,0.61535,31.4015,721.725,0.923244,4.965021084999535,2775.401168696996,465.135,17,194.7126922607422,-145.174,0.134739,1.38625,-4.07346,123.13340333900032,149.47049804000017,-2.42185,-0.574271,208.387808336,-0.0133021,152000,4.52086,0.00170765,0.292141,-122.928,340.579,4.926,162.749248508,152.534,-8.57936,0.00216641,21.372073616000307,-0.00754074,0.00198272,10622
515.191,1101.83,-0.00058487,38000,17.325162887573242,-523.535,688.649,53.9381,202.687,0.494191,0.85777,0.385448,35.9947,711.651,0.944752,4.754987075001736,2924.479466521998,476.453,18,173.25161743164062,-149.796,0.244949,0.903119,-7.21537,122.60698295300062,148.80383390800307,-2.40814,-0.51991,160.972869722,-0.0134399,156000,5.73941,0.00185775,0.295206,-163.436,399.887,5.30859,148.970235053,153.125,-10.0455,0.00232658,21.44186388000071,-0.00752049,0.00175721,10694
538.447,1022.38,5.92472e-05,40000,17.57041358947754,-546.166,753.32,78.4673,211.012,0.44239,0.85736,1.04561,36.1581,732.325,0.935187,4.800496929999099,3072.918588483997,494.178,19,175.70413208007812,-211.786,0.216695,0.730745,-5.01119,122.62242167400018,149.1396292549989,-2.48346,-0.543065,162.720409862,-0.012569,160000,4.69389,0.000975522,0.313719,-99.7966,467.893,5.46545,143.716465131,159.885,-8.65465,0.002343,21.71671065099963,-0.0074487,0.00140367,10764
