V Predictions Mean,Epoch,Q Predictions Mean,KL Divergence,R Predictions Max,Policy mu Std,AverageReturn_all_test_tasks,KL Loss,Policy log std Min,V Predictions Min,R Predictions Std,QF Loss,VF Loss,Policy Loss,R Predictions Min,V Predictions Max,Epoch Time (s),Policy mu Min,Z variance train,Log Pis Std,Z variance eval,Z mean train,Q Predictions Max,Z mean eval,Policy mu Max,Q Predictions Std,Policy log std Max,Log Pis Min,Q Predictions Min,Number of env steps total,(Previous) Eval Time (s),RF Loss,Total Train Time (s),Log Pis Mean,Policy log std Mean,Policy log std Std,Log Pis Max,Number of rollouts total,R Predictions Mean,Train Time (s),Policy mu Mean,V Predictions Std,AverageReturn_all_train_tasks,Number of train steps total,Sample Time (s)
405.477,10,370.555,149.89088439941406,0.00457661,0.900823,129.142865625,14.989089012145996,-2.26824,-98.8595,0.00256173,1314.78,298.419,-404.935,-0.00665109,639.889,148.5257825610015,-3.25878,0.0100205,4.519,0.0061711,1.17532,632.339,1.06997,4.52557,150.735,0.119178,-8.65092,-133.57,124000,21.18288960999962,36.846,1718.096434284992,1.15547,-0.531583,0.302073,26.789,9994,-0.000393929,122.33906062599999,0.602616,119.105,118.697118801,22000,5.003832325001895
455.24,11,413.557,146.40504455566406,0.00462928,0.894412,150.231172951,14.640504837036133,-2.3011,-18.71,0.00225882,1239.24,353.266,-455.056,-0.00656155,637.15,147.25259701499908,-4.99593,0.00441193,4.6949,0.00519732,0.837334,610.48,1.15638,4.28374,159.495,0.278457,-8.90238,-93.8215,128000,20.954515313999764,52.7298,1865.4589187669908,0.698519,-0.514563,0.300825,32.2211,10081,0.000189073,121.49948551000034,0.530093,107.779,151.648569814,24000,4.798596190998978
456.525,12,404.077,139.81378173828125,0.00452695,0.89177,156.199514979,13.981378555297852,-2.46159,-32.045,0.00256339,1130.53,239.551,-457.663,-0.00693789,617.894,146.97131225499925,-4.26993,0.00413445,4.47199,0.00445121,1.28895,609.592,0.948643,3.75664,174.275,0.227436,-8.59352,-61.1116,132000,21.064906785999483,36.1747,2012.1813946759912,1.18733,-0.569716,0.32917,28.0985,10161,-0.000310992,121.20369700099945,0.573228,121.018,152.711517473,26000,4.70270846800031
516.164,13,459.068,166.8829803466797,0.00441489,0.980463,150.579494974,16.68829917907715,-2.38438,-14.2961,0.00243935,1064.97,297.154,-517.415,-0.00680609,702.162,147.1012210980025,-4.69824,0.0048262,4.86021,0.00449246,1.37974,683.436,0.638273,6.02308,193.395,0.165981,-10.7857,-87.5435,136000,20.816303369000707,28.5096,2159.027863802995,1.33192,-0.550446,0.341214,30.7365,10247,0.000247364,121.45726376700077,0.509001,141.011,173.522709629,28000,4.827653962001023
463.826,14,430.262,152.06085205078125,0.00455234,0.946224,150.716774611,15.206085205078125,-2.4925,-27.7312,0.00248631,1445.58,561.394,-464.329,-0.00667514,636.013,146.80132410799797,-5.54225,0.00182007,4.729,0.00425627,1.15818,632.49,0.976518,4.83476,177.468,0.250826,-8.83687,-47.3382,140000,20.561865196000326,48.2961,2305.9424485219934,0.920336,-0.515752,0.312478,34.5028,10325,-0.000240833,121.55151747899981,0.492309,143.075,117.493868548,30000,4.687941432997832
498.741,15,457.987,185.35842895507812,0.00443496,0.935993,126.981830081,18.535842895507812,-2.98481,-42.6267,0.00251403,1343.52,332.697,-500.534,-0.00649701,730.003,146.4568653289989,-5.67723,0.00369062,4.7698,0.00316408,0.593823,701.171,0.964522,7.51058,185.334,0.381352,-10.6564,-77.5562,144000,20.675602741999683,50.5155,2452.645565354992,1.21122,-0.574267,0.361666,41.2507,10410,-0.000368149,121.08366436100005,0.545447,145.5,117.587733308,32000,4.697598225999172
549.497,16,480.585,164.48968505859375,0.00414996,0.957253,190.403573836,16.4489688873291,-2.71787,-114.371,0.0024209,2215.5,1497.41,-526.233,-0.00687418,801.388,147.06446655800028,-6.44703,0.00592813,5.08854,0.00236556,0.59121,769.604,0.761377,4.18046,226.795,0.443949,-8.53052,-212.313,148000,20.922353101000226,35.1976,2599.0055572359915,1.17233,-0.547454,0.32622,29.4708,10482,8.48444e-05,121.46041761400011,0.527001,179.886,166.562652311,34000,4.681695842999943
533.058,17,489.148,178.8953399658203,0.00467928,0.960985,205.755350505,17.88953399658203,-3.15516,-204.87,0.00240346,1488.71,459.556,-541.851,-0.00604176,743.729,146.25712977399962,-6.19371,0.0058755,4.95869,0.00176162,0.851648,761.285,0.616503,6.81514,210.841,0.366023,-8.47277,-208.93,152000,20.218214261999492,63.9791,2746.1778750149915,1.21393,-0.531911,0.342386,45.3107,10557,-6.62811e-05,121.21227909000027,0.53106,161.416,162.885739248,36000,4.826636421999865
519.516,18,487.869,168.52491760253906,0.00452501,0.912585,173.78250939,16.85249137878418,-3.25266,-220.59,0.00214683,2014.16,330.542,-522.513,-0.00696228,704.589,146.53315362500052,-4.50183,0.00375941,4.43952,0.0022648,0.509018,711.221,0.536166,6.05428,196.368,0.541828,-12.2832,-268.279,156000,21.133748756000386,61.2795,2892.7998907689944,0.680254,-0.514339,0.314822,32.9166,10619,0.000218864,120.53695389800032,0.484008,157.985,138.703964774,38000,4.8624509709998165
538.417,19,493.353,165.8881072998047,0.00468507,0.862619,194.945456859,16.58881187438965,-2.70539,-120.289,0.00224623,1325.02,474.254,-535.754,-0.00693795,732.29,148.2909480169992,-4.07949,0.00219535,4.35906,0.0025876,0.119552,711.775,0.653349,5.39555,207.77,0.233655,-8.66506,-143.006,160000,21.22301400500055,55.918,3041.736895950993,0.859265,-0.564045,0.305328,34.1261,10679,0.000299847,122.01163732899931,0.565199,165.913,170.758470417,40000,5.056296682999346
535.032,20,492.685,177.90443420410156,0.00483072,0.878976,161.383671042,17.790443420410156,-2.72478,-42.5386,0.00227568,1073.61,280.968,-537.917,-0.00658607,735.89,147.2590037329992,-4.04933,0.00163589,4.42826,0.00238117,1.2048,704.488,0.114432,6.57034,198.869,0.44026,-8.64474,-62.6719,164000,21.869367944999794,54.8772,3188.333562571993,0.639914,-0.497244,0.293032,29.8518,10743,0.000127079,120.72327201299959,0.554574,158.073,120.330582574,42000,4.666363774999809
559.189,21,512.057,179.9157257080078,0.00457335,0.904575,164.254479833,17.991573333740234,-2.49657,-35.9677,0.00232158,879.17,389.75,-552.438,-0.00674673,764.836,147.13674984200134,-4.74542,0.00314552,4.58093,0.00154953,0.450465,754.75,0.620328,4.56544,210.02,0.321036,-8.34424,-55.324,168000,21.20752536100008,36.4413,3334.2387172129966,0.499735,-0.542295,0.305234,29.7871,10812,5.90818e-05,121.22446926700013,0.436962,165.37,152.217279024,44000,4.704755214001125
536.1,22,495.414,190.17247009277344,0.00452613,0.902058,162.021104115,19.017248153686523,-2.72233,-38.3322,0.00218251,1448.18,266.71,-533.802,-0.00702396,816.648,146.96330826399844,-4.5537,0.00383361,4.37295,0.00201502,0.711103,811.579,0.47741,5.0181,211.4,0.254,-10.3246,-79.3687,172000,19.97636275900004,46.4947,3481.896610836993,0.50876,-0.533359,0.330782,32.124,10876,0.000238345,121.89816479599995,0.43655,175.207,160.574865254,46000,5.088780708998456
508.594,23,471.947,172.679443359375,0.00462966,0.897895,159.092426607,17.2679443359375,-2.95995,-39.293,0.00237892,940.792,229.446,-509.632,-0.00700241,704.863,147.1936608069973,-3.81148,0.00116557,4.76066,0.00309881,0.60618,706.254,0.66499,4.16446,198.151,0.315297,-10.126,-63.0819,176000,20.67138679599975,45.1176,3630.1810855389904,0.921266,-0.554814,0.31536,30.2067,10934,-0.000193858,121.52961572799995,0.538587,165.304,146.622982337,48000,4.992658282997581
500.215,24,463.663,201.78273010253906,0.00497249,0.949355,165.425562899,20.178274154663086,-2.77834,-83.9665,0.00203366,912.329,384.011,-508.208,-0.00685385,744.05,147.858431656,-5.12927,0.00203053,5.12721,0.00149653,0.826127,744.322,0.743129,5.46328,206.06,0.24658,-9.43915,-85.496,180000,21.762630325999453,67.4867,3777.607551349989,1.35274,-0.522962,0.331069,34.1848,10991,0.000333086,121.1665507079997,0.606302,163.017,169.676352732,50000,4.929250622000836
472.425,25,452.456,179.39666748046875,0.00436931,0.897034,166.552274134,17.939666748046875,-2.90088,-28.9056,0.00219621,832.652,327.314,-480.738,-0.00641543,643.038,146.85507209599837,-5.2889,0.00153322,4.62691,0.00235804,0.770977,643.19,0.456518,4.13103,184.516,0.141103,-9.58265,-59.4907,184000,21.33165150700006,47.5782,3924.498460716989,1.11884,-0.564035,0.335373,34.812,11047,0.000194435,120.60300578599981,0.560268,155.464,159.805033144,52000,4.9204148029984935
