Step_0-StdReturn,Step_0-AvgForwardVel,LossAfter,Step_1-AvgCtrlCost,LossBefore,Step_1-AveragePolicyStd,Time-Sampling,Step_1-AverageReturn,Step_0-AvgCtrlCost,Itr,Step_0-AverageDiscountedReturn,Step_1-MinReturn,Time-SampleProc,Step_0-AveragePolicyStd,Step_0-EnvExecTime,Step_0-MaxReturn,Step_0-MinReturn,MeanKLBefore,Time-TotalInner,Time,Step_1-PolicyExecTime,Time-OuterStep,Time-InnerStep,Step_1-MaxReturn,dLoss,Step_0-NumTrajs,Step_1-NumTrajs,Step_1-AverageDiscountedReturn,n_timesteps,MeanKL,Time-MAMLSteps,ItrTime,Step_1-AvgFinalForwardVel,Step_0-AverageReturn,Step_0-PolicyExecTime,Step_0-AvgFinalForwardVel,Step_1-AvgForwardVel,Step_1-StdReturn,Step_1-EnvExecTime
142.52644039642843,-0.02132584854257773,-0.008017546,0.04968325378364658,-6.218626e-09,1.0000819,24.0631422996521,-466.4755249530345,0.04970115933984372,0,-202.94795909693107,-775.5985737345786,0.786160945892334,1.0,7.954966306686401,-150.41666109333187,-739.8400366940558,0.0,26.463825464248657,52.64972257614136,3.554701566696167,25.592559576034546,1.5693726539611816,-150.3721927634109,0.008017539,800,800,-203.36592785270972,320000,0.0071764975,25.592779397964478,52.64971566200256,0.008096705203729652,-467.71927901247943,1.5381522178649902,0.009419255482558097,-0.013401763307509586,144.4875326868191,8.213686466217041
160.07415688884922,0.010143439388533624,-0.008132914,0.049864436112195924,-2.073869e-09,0.99121463,23.047449350357056,-360.07749430434006,0.04975136715220316,1,-155.9935777195694,-764.357545236401,0.816734790802002,0.9912749,8.165934324264526,-139.8003566882863,-746.4073607226742,0.0,24.08211064338684,90.53141069412231,2.8738276958465576,13.773833274841309,0.16743206977844238,-137.67061582986193,0.008132912,800,800,-156.12236757549888,640000,0.007891344,13.774017333984375,37.87732148170471,-0.012737900956775098,-359.9226347442238,0.905043363571167,-0.013409397497693782,0.014810795444002324,161.4637731510946,8.205927848815918
140.14128024564224,0.004978270162592855,-0.008220696,0.049938049989617594,-7.145104e-10,0.9870429,23.14223885536194,-360.6181882407213,0.04963011500903958,2,-158.00506628203746,-759.334187033993,0.8467035293579102,0.9871495,8.25040316581726,-142.25558288224997,-715.6824213633428,0.0,24.20403480529785,128.5595371723175,2.8663833141326904,13.800620317459106,0.1650536060333252,-141.6193378058517,0.008220695,800,800,-155.95514734068846,960000,0.006874154,13.800801992416382,38.027580976486206,0.07068740958817962,-364.3089208826011,0.9002370834350586,0.01722103819187134,0.029245292348216816,138.79963604437603,8.210443496704102
152.68032865018435,0.050719858285755724,-0.00820153,0.04977473712453052,-3.4883616e-09,0.98880506,23.171231031417847,-334.29844833205925,0.04975648210653442,3,-145.10742565021565,-742.4381829589454,0.8164944648742676,0.9890437,8.227014780044556,-133.79673126887548,-719.3394995798561,0.0,24.205158233642578,166.54929423332214,2.85841965675354,13.761473178863525,0.16704654693603516,-142.58905419481945,0.0082015265,800,800,-144.44155317568826,1280000,0.00859301,13.761656999588013,37.98920917510986,0.00538175629952824,-334.29608830388565,0.9061055183410645,0.04489354225797079,0.036895099373549116,155.17374190922357,8.25112247467041
132.9081404346382,0.05842165034544579,-0.007897345,0.049739577393345204,5.478412e-09,0.9800499,23.11043119430542,-360.18412716918436,0.04972537442159761,4,-156.3022845639388,-725.5081449401274,0.8145966529846191,0.98000824,8.203767538070679,-139.50534990323237,-681.1302294929001,-1.5832484e-09,24.14093780517578,204.49015378952026,2.8818793296813965,13.77629542350769,0.16556096076965332,-133.67054025095175,0.007897351,800,800,-155.78385390253018,1600000,0.0066048815,13.776479005813599,37.94011306762695,0.030072302832859794,-360.6970415891517,0.8971953392028809,0.024030197556561425,0.06318978711141211,135.53447118416432,8.223915576934814
127.09960741485253,0.06581277771333077,-0.008294186,0.04964753406610298,3.0770905e-10,0.9789003,22.941482067108154,-384.26929675867285,0.04969619096083159,5,-166.19465468217885,-721.9780503737218,0.7926332950592041,0.979069,8.095638990402222,-149.73707771995495,-692.596180074356,-1.5832484e-09,23.949437856674194,242.24523997306824,2.8686466217041016,13.782184839248657,0.16561007499694824,-145.20315077523125,0.008294186,800,800,-165.7540259462832,1920000,0.0068000173,13.782365322113037,37.75446009635925,-0.013947550701820743,-384.3856309599269,0.894934892654419,0.024023324572697246,0.06799052709976433,129.91735600336492,8.223804712295532
128.99317263430447,0.059449230668833994,-0.007673991,0.049738446780360566,5.6408345e-09,0.98137754,23.056851148605347,-339.49007979159944,0.04978522749446517,6,-148.55986998765854,-688.7501929759279,0.7957143783569336,0.98147774,8.199321746826172,-136.98855178348936,-727.9326028937577,4.4703485e-09,24.06819748878479,280.03975343704224,2.878412961959839,13.703470945358276,0.16601037979125977,-139.2578047017489,0.0076739965,800,800,-146.903046990134,2240000,0.0072447443,13.703653812408447,37.7939133644104,0.1134738282728347,-343.9328598393097,0.8958101272583008,0.025478457143755424,0.08761273707049097,123.99499747565045,8.230892896652222
162.33903269179334,0.08643635907772866,-0.010044244,0.04967382778392109,4.67152e-10,0.98033947,23.521206378936768,-340.52311863639335,0.049616054675025036,7,-147.42325873314232,-718.0501730076111,0.7861437797546387,0.9805198,8.212957859039307,-139.27350908036075,-717.4174334390573,0.0,24.52325677871704,317.95119976997375,3.3083033561706543,13.3655366897583,0.16671061515808105,-133.59261855494816,0.010044245,800,800,-147.53211226963793,2560000,0.0099689765,13.365717649459839,37.91089344024658,0.06741577184208991,-339.7748168134934,0.8956201076507568,0.08130309441818201,0.07659942426912553,161.00553579226673,8.304958820343018
134.3189806019047,0.07231293332535409,-0.008401312,0.04967192470269923,2.9910356e-09,0.98136,23.00055766105652,-318.17060275926383,0.04973688922755191,8,-138.20945651252308,-694.8520476530293,0.8165676593780518,0.98128706,8.158015727996826,-137.98694900341323,-715.2192205031931,-1.5366822e-09,24.034756898880005,355.77386593818665,2.8792521953582764,13.765645980834961,0.16818571090698242,-136.68391634710255,0.008401315,800,800,-137.37011738168144,2880000,0.0086547565,13.76590609550476,37.82208847999573,0.06986981242075395,-320.39092222663913,0.8896303176879883,0.042805580479182835,0.09199166925103851,133.85468772108413,8.302607774734497
146.9268247157588,0.10798674832360039,-0.007988115,0.04963970642813231,1.1472029e-09,0.98472345,22.975690603256226,-348.90746613578403,0.0496703817169833,9,-150.78179073894134,-695.3717812048536,0.7810964584350586,0.98486,8.22464895248413,-139.71599028639082,-718.9520285715932,-6.0070304e-09,23.97499704360962,393.5023157596588,2.849417209625244,13.730692863464355,0.16901874542236328,-134.54990645837952,0.007988116,800,800,-150.8231241527921,3200000,0.0071245236,13.730869054794312,37.72784113883972,0.11405462932169903,-349.56097985147903,0.8886682987213135,0.05252565561598482,0.11399947889243392,145.19808581301686,8.335050821304321
