R Predictions Mean,(Previous) Eval Time (s),Q Predictions Mean,Log Pis Mean,KL Divergence,Total Train Time (s),V Predictions Max,Z mean train,Policy log std Max,Number of env steps total,Number of train steps total,Policy mu Std,R Predictions Std,AverageReturn_all_train_tasks,Policy mu Mean,Log Pis Max,Z mean eval,Policy mu Min,R Predictions Min,Q Predictions Min,Number of rollouts total,Sample Time (s),Policy log std Min,AverageReturn_all_test_tasks,Z variance eval,V Predictions Mean,QF Loss,KL Loss,Policy Loss,R Predictions Max,RF Loss,V Predictions Std,Epoch,Z variance train,Train Time (s),Q Predictions Max,Epoch Time (s),Policy log std Std,VF Loss,Q Predictions Std,Log Pis Min,Policy mu Max,V Predictions Min,Log Pis Std,Policy log std Mean
0.000277078,0,-0.00242875,-4.01083,49.15386962890625,91.72751010600001,0.0141524,0.00328873,0.00523625,14000,2000,0.00170441,0.00210433,-0.477491638836,-0.00132976,-2.17529,0.0685318,-0.00790389,-0.00693514,-0.0100699,80,14.671738650000037,-0.00334995,-0.555484338452,0.66463,0.00786227,27.6759,4.915387153625488,-3.98843,0.00722225,13.3929,0.00225034,0,0.002705,72.899120058,0.00350162,87.57085870800003,0.00151603,16.1461,0.0020012,-5.37677,0.0041254,0.00144711,0.548547,0.000706758
0.00020827,4.158656151000002,26.2617,-3.78687,0.5516203045845032,178.87916340599986,37.5335,0.0724953,-0.0271576,24000,4000,0.274689,0.00202158,-15.4730756501,-0.0741248,-0.252507,0.686786,-1.01177,-0.00891724,19.2544,140,10.57673498399987,-0.267241,-13.2799788207,0.110017,31.0575,25.5673,0.05516203120350838,-29.9502,0.00817651,13.1623,1.49566,1,0.710157,72.50409089899995,35.0018,87.23948203399982,0.0291727,4.15346,2.39029,-6.1982,1.13774,26.9847,0.881815,-0.101016
0.000342207,4.070809260000033,55.2558,-3.64394,20.921491622924805,268.2680570749998,81.2857,0.156445,-0.0639659,34000,6000,0.328755,0.00199551,62.1279357919,-0.0522439,0.0644693,0.99018,-1.202,-0.00819639,22.6217,200,10.680299200000036,-0.407317,-0.934273755325,0.043608,55.718,28.7436,2.092149257659912,-57.3665,0.00630776,12.4698,8.61798,2,0.149959,74.520624683,82.1947,89.27173314300006,0.043455,7.31281,9.20112,-7.13077,1.23033,33.3363,0.993372,-0.151025
0.000202792,4.188453792000018,84.4733,-2.98248,23.829912185668945,357.24705917699976,125.749,0.747603,-0.0203831,44000,8000,0.513326,0.00205253,61.3731658099,-0.0539491,2.45432,0.586301,-1.45967,-0.00573282,27.6396,260,10.557283304999942,-0.604367,42.4097195507,0.0701947,86.7283,48.5371,2.382991313934326,-88.58,0.0072695,14.1424,16.2464,3,0.06545,74.23504794099995,130.751,88.98078503799991,0.0860976,12.8531,16.7609,-6.93414,1.44692,39.1909,1.44609,-0.203596
0.00051926,4.187102161999974,117.739,-2.38907,29.037311553955078,447.2320058309998,188.126,1.28026,0.0540174,54000,10000,0.626461,0.00196641,163.932740382,-0.0596104,5.71938,1.12192,-1.96497,-0.00534111,33.2201,320,10.712049050000246,-0.729236,189.324669755,0.0240713,121.731,63.4098,2.903731107711792,-121.181,0.00688678,15.2801,22.715,4,0.178562,75.14275112400003,191.479,90.04190233600025,0.115283,10.2824,23.747,-7.74354,1.85749,43.3496,1.83124,-0.26271
0.000565586,4.130501938999942,131.874,-2.71799,23.687246322631836,536.219577188,203.599,0.520537,-0.0250256,64000,12000,0.555097,0.00180294,249.89952693,-0.0564818,3.63182,1.13743,-1.65907,-0.00466619,86.5542,380,10.632389958000317,-0.702729,91.8523081192,0.0311058,134.485,80.3047,2.3687245845794678,-136.087,0.00569153,10.1182,20.3601,5,0.0570562,74.22073222799997,210.385,88.98362412500023,0.110466,22.7467,21.1517,-10.7972,1.63895,88.8278,1.71009,-0.255509
0.0004334,4.134882592999929,208.452,-0.922285,32.8354377746582,625.7784792560001,355.439,1.32919,0.0332071,74000,14000,0.853178,0.00226373,405.997232449,-0.077853,6.05558,1.30344,-1.97199,-0.00538509,111.552,440,10.631803696000247,-0.725627,428.264857321,0.0129459,215.41,86.4987,3.283543825149536,-214.04,0.00865251,29.9667,43.4136,6,0.119394,74.84478400400008,366.239,89.61147029300025,0.142934,19.8082,43.2797,-8.71914,2.11596,116.618,2.35399,-0.335239
-0.000162963,4.082816139999977,263.395,-0.650018,43.966156005859375,714.404935966,469.145,1.63311,0.0711379,84000,16000,0.899034,0.00221585,549.673348039,-0.0583966,6.77523,1.32727,-2.25395,-0.00758021,29.8362,500,10.559310532999802,-1.08208,560.407364536,0.0151061,270.105,101.02,4.396615505218506,-270.621,0.00631678,40.4721,74.8657,7,0.121619,73.87081511300005,469.231,88.51294178599983,0.163401,21.2412,75.7943,-9.8745,2.15584,57.1049,2.67747,-0.369307
-0.000261662,4.196785681000051,283.69,-1.12053,30.3416805267334,802.6715336440001,519.477,0.270891,0.0525554,94000,18000,0.819136,0.00251294,547.078471878,-0.0752664,7.35496,1.49324,-1.96747,-0.00796315,96.2498,560,10.482323866999991,-1.08126,549.747674208,0.0174898,288.633,199.207,3.034168004989624,-290.39,0.00864952,65.9531,78.543,8,0.0744573,73.68979355400006,520.396,88.3689031020001,0.148942,51.186,78.0987,-8.92499,2.26135,107.858,2.51771,-0.378528
5.09673e-05,4.0946977379999225,397.505,0.182118,55.338497161865234,891.3436372360007,692.816,1.68967,0.0560835,104000,20000,0.966018,0.00239141,549.729316949,-0.128728,11.0194,1.50808,-2.27902,-0.00818211,72.1932,620,10.443017159001101,-1.35325,606.742400264,0.0130375,406.703,117.387,5.533849716186523,-403.053,0.00903236,61.7444,118.005,9,0.0118202,74.15178608399992,684.939,88.68950098100095,0.201409,40.8995,119.844,-8.36778,2.53454,102.907,2.88818,-0.434516
