Step_0-NumTrajs,Step_1-NumTrajs,ItrTime,Step_1-MinReturn,LossAfter,Itr,MeanKLBefore,Step_0-AverageDiscountedReturn,MeanKL,Step_1-MaxReturn,Step_1-AverageDiscountedReturn,Time-MAMLSteps,Step_0-MinReturn,Step_0-PolicyExecTime,Step_1-AverageReturn,Time-SampleProc,Step_1-EnvExecTime,Step_0-EnvExecTime,n_timesteps,Time-InnerStep,dLoss,Time-OuterStep,Step_1-PolicyExecTime,Step_0-AverageReturn,LossBefore,Time-Sampling,Time-TotalInner,Step_0-AveragePolicyStd,Time,Step_0-StdReturn,Step_1-AveragePolicyStd,Step_0-MaxReturn,Step_1-StdReturn
20921,18337,79.50068283081055,-15.476014541061573,-0.029458333,0,-1.5013836e-09,-1.078076712633594,0.0073749833,50.04773472305392,0.03485135404612902,23.186370611190796,-16.114866332205604,1.5907433032989502,0.004526020468263769,7.483072996139526,19.169631004333496,19.205195426940918,320000,1.1725447177886963,0.029458333,23.18616223335266,3.5529541969299316,-1.1651223229236298,2.8590702e-10,46.964999198913574,55.72644662857056,1.0,79.50068998336792,3.6565607425358952,0.99873775,43.194606144813235,4.101547502955491
21097,18878,67.69115972518921,-16.456125912432263,-0.02914608,1,0.0,-1.5547352362155369,0.00727198,32.5947269497821,-0.549739215505899,13.700355052947998,-18.28010843352028,1.0070579051971436,-0.6086630006309068,7.8707780838012695,18.87835454940796,19.080371379852295,640000,0.15201830863952637,0.02914608,13.700194120407104,3.106370687484741,-1.6656973704798557,-8.0428675e-10,45.688273429870605,53.8327431678772,0.99014217,147.19607067108154,4.052983775806746,0.9888608,20.21387899008822,4.403754142953999
19785,17023,66.51053166389465,-17.343396032121767,-0.026888993,2,-3.9204195e-13,-1.2992838189322988,0.0069356537,41.423197049738036,-0.05063516181150505,13.659279346466064,-14.072731065454963,0.9953620433807373,-0.09790769876122263,7.226738691329956,18.423717260360718,18.932815074920654,960000,0.15275263786315918,0.02688899,13.659126281738281,3.362321138381958,-1.4104883777452903,-1.08087e-09,45.20763444900513,52.6930992603302,0.9822293,213.70707869529724,3.8288831599081243,0.9808485,30.73839046193207,4.369949433730889
18582,15250,65.16678738594055,-18.22492623604167,-0.024643077,3,1.6759596e-09,-0.019182316091269226,0.00737796,57.0966058847496,1.3781470569729162,13.620746612548828,-18.194070941546467,1.0295424461364746,1.4254478061183877,6.735641717910767,18.255645990371704,18.71479606628418,1280000,0.15247726440429688,0.024643078,13.620590209960938,2.9688735008239746,-0.07203041041440532,1.8515198e-09,44.41786289215088,51.402729749679565,0.9738699,278.8743369579315,4.141758672743591,0.9724825,36.25977312484919,5.247683133744401
17813,14266,64.32147669792175,-14.389154844846365,-0.023602631,4,1.8156637e-09,0.2835179121947542,0.0073573217,63.686492756573706,1.9113343666815055,13.652613162994385,-15.231015533603856,0.9855375289916992,2.001804116818802,6.301713466644287,18.091408014297485,18.585712671279907,1600000,0.15286588668823242,0.023602633,13.652458190917969,2.9577620029449463,0.24828128564798468,2.2621225e-09,43.99430537223816,50.54000949859619,0.9642685,343.19634437561035,4.587724794883399,0.96245456,50.78010255894446,5.871411773724815
15806,11953,63.25131177902222,-15.791160200915517,-0.020799497,5,6.145848e-09,1.9938754837127748,0.0072080395,82.64646053602804,4.22465878984971,13.583132266998291,-18.01911335046802,1.407503604888916,4.51901781593619,5.472475528717041,17.755083799362183,18.415619134902954,1920000,0.15157675743103027,0.020799497,13.582966089248657,2.968609094619751,2.0512269306643898,-5.4830174e-10,43.839919328689575,49.546703815460205,0.95482606,406.4481542110443,4.805056984874291,0.95331544,72.50244759756231,6.846336625599989
15426,11973,62.71500086784363,-27.927604221582943,-0.019044928,6,-1.6755048e-09,1.3360774329071563,0.0074014515,113.09252314318894,3.3587589870363703,13.587587594985962,-23.549462433136693,1.00960111618042,3.597738543983684,5.450429677963257,17.83405613899231,18.21083950996399,2240000,0.15240740776062012,0.019044928,13.587440729141235,2.9933881759643555,1.3607412387910691,-3.4747716e-10,43.329654693603516,49.01268458366394,0.9451719,469.16369438171387,5.314191012461153,0.9436383,55.62085201544229,7.606977545735013
13725,10646,61.72011709213257,-28.131890863518144,-0.017772203,7,-4.283026e-09,1.9248761491636002,0.0080961995,87.98295241669328,4.364547721829432,13.585619449615479,-25.100253772935606,1.016392707824707,4.788315475479543,4.892192840576172,17.645034551620483,17.945810556411743,2560000,0.1559128761291504,0.017772205,13.585462808609009,3.0369441509246826,2.017911621621536,1.9167818e-09,42.89266109466553,48.01353359222412,0.9360401,530.8843598365784,6.454567552905233,0.93472654,72.1768998547514,9.410418679038186
12220,9598,61.220308780670166,-39.76785270454631,-0.016744139,8,4.561684e-13,3.240468745008392,0.007890506,149.0482311605429,5.773796293065581,13.610159158706665,-27.203817392653264,0.9956774711608887,6.403200506889857,4.423426151275635,17.42190194129944,18.23728609085083,2880000,0.153794527053833,0.016744135,13.610005140304565,3.0487167835235596,3.466625969388688,-2.8614804e-09,42.85402274131775,47.49623346328735,0.92052984,592.1052024364471,7.103687507018677,0.9189956,83.11091669754448,10.318671488617758
11582,9024,60.337668895721436,-26.43363400256126,-0.015500884,9,1.3026079e-09,3.3968346786277532,0.00828741,144.88507477955898,5.991183786341771,13.570294380187988,-16.27873634882404,1.003246545791626,6.721134018724131,4.199212312698364,17.41686487197876,17.647263050079346,3200000,0.15539884567260742,0.015500887,13.5701425075531,3.0581717491149902,3.674813700832454,3.8045203e-09,42.24838662147522,46.66644239425659,0.90778524,652.4433484077454,8.464661460533497,0.90648764,96.51900005008486,12.088527501315763
