Total Train Time (s),Q Predictions Max,Log Pis Min,Policy log std Mean,VF Loss,Policy log std Max,Number of train steps total,Q Predictions Std,Number of env steps total,R Predictions Mean,Log Pis Mean,Policy Loss,Sample Time (s),Z variance eval,(Previous) Eval Time (s),Q Predictions Min,Log Pis Std,Epoch Time (s),R Predictions Min,R Predictions Std,RF Loss,Number of rollouts total,V Predictions Max,R Predictions Max,KL Loss,Epoch,Policy mu Min,AverageReturn_all_train_tasks,Policy mu Std,Log Pis Max,Policy log std Std,Z mean train,Z mean eval,Policy mu Mean,Policy log std Min,V Predictions Min,KL Divergence,Q Predictions Mean,Policy mu Max,Train Time (s),V Predictions Std,AverageReturn_all_test_tasks,V Predictions Mean,Z variance train,QF Loss
1737.5204114469975,288.443,-9.04616,-0.79231,46.2182,-0.307114,44000,20.486,48000,-0.00268989,-1.99599,-219.949,6.088332644000275,0.118873,4.281358934000309,48.9249,2.06965,157.3178076420004,-0.0072449,0.00121668,12.7226,448,288.91,0.00144638,1.760733962059021,10,-1.91994,138.326738974,0.487712,5.74197,0.150625,0.678138,0.447306,-0.0294229,-1.60616,109.45,17.60733985900879,218.15,2.13998,146.9481160639998,17.3111,129.463393472,220.157,0.127475,290.037
1896.070392869999,383.381,-9.52172,-0.809536,68.9498,-0.289123,48000,40.2921,52000,-0.00267976,-1.81268,-256.592,6.104274573002385,0.109236,4.236686247999842,1.74505,2.30047,158.36093243600226,-0.00701937,0.00131619,14.491,480,384.698,0.000982739,2.802293539047241,11,-2.15647,121.290217433,0.502033,11.7069,0.154937,1.27011,1.17902,0.0345673,-1.84703,155.368,28.02293586730957,254.936,2.15358,148.01997161500003,36.8298,118.854614431,260.382,0.115343,178.329
2054.6665844009995,312.113,-11.1175,-0.830066,46.4329,-0.344918,52000,27.3912,56000,-0.0026605,-1.95855,-237.35,6.109866336999858,0.0915025,4.425789729999906,-45.1499,2.19642,158.72023593999984,-0.00604781,0.00107189,14.8718,510,305.444,0.000779707,1.9275267124176025,12,-2.1764,102.407373914,0.461899,14.6006,0.151656,0.683199,0.25743,-0.0220941,-1.89509,124.609,19.275266647338867,236.091,2.31722,148.18457987300008,21.5838,123.652234062,235.425,0.111399,192.504
2212.5538999069986,349.541,-9.86571,-0.834459,47.8302,-0.293275,56000,35.5709,60000,-0.00277608,-1.93214,-242.827,6.0039177650000966,0.0873648,4.302212831999896,-3.14452,2.23997,157.99168605499972,-0.00615744,0.00112039,14.1746,537,356.31,0.002167,1.8637603521347046,13,-2.56808,142.626578545,0.443938,14.5983,0.157435,0.791375,0.31066,-0.0203132,-1.96737,69.8819,18.637603759765625,240.221,2.01451,147.68555545799973,30.5379,160.84716219,244.902,0.0919159,180.326
2370.2976372739986,350.246,-9.354,-0.83577,43.0485,-0.352213,60000,34.1588,64000,-0.00276146,-1.92668,-262.656,6.133170301000973,0.0824184,4.198356289999538,-29.3697,2.19948,157.7865803170007,-0.00645933,0.00116799,13.2374,564,348.454,0.000840753,2.4142446517944336,14,-2.58457,112.583756308,0.452486,19.7536,0.147816,0.525024,0.721404,0.0170607,-2.11907,33.55,24.142446517944336,258.22,2.3294,147.4550537260002,28.5126,126.239322076,263.687,0.0885733,109.575
2528.960294878998,333.765,-9.90719,-0.845795,39.9434,-0.374536,64000,34.6991,68000,-0.00255018,-2.03949,-253.544,6.150042966000001,0.0755805,4.155854913999974,-38.2903,2.20403,158.52284212099948,-0.00569296,0.00110974,14.831,593,336.036,0.000911779,2.393803119659424,15,-2.57838,126.983293131,0.436449,13.1978,0.149313,0.670095,0.568087,-0.000873599,-1.88263,64.867,23.938030242919922,249.938,2.08392,148.2169442409995,27.3241,145.782274068,255.305,0.0905404,156.619
2687.485955787999,374.879,-9.31032,-0.82789,43.9523,-0.336688,68000,31.7055,72000,-0.00282614,-2.15359,-266.32,6.250109041000542,0.0738094,4.296023472000343,-3.17931,2.01035,158.58160547300122,-0.00710119,0.00125395,13.3442,620,359.748,0.00204773,2.623713493347168,16,-2.4195,129.439367499,0.421884,11.0501,0.138417,0.514378,0.730724,-0.0150753,-1.9575,12.0726,26.23713493347168,262.647,2.33841,148.03547296000033,29.5408,138.759502496,264.602,0.0736618,119.096
2845.9568753890017,360.87,-9.59073,-0.850761,42.2987,-0.386827,72000,34.1054,76000,-0.00281581,-1.95168,-274.221,6.141486942002302,0.0759043,4.240927639999427,-23.8698,2.13735,158.31209148400194,-0.00641834,0.00124962,12.2842,647,359.173,0.00114005,2.863103151321411,17,-2.06207,139.768489258,0.428779,14.5596,0.152556,0.937355,0.515055,0.00084106,-2.00344,122.048,28.631031036376953,269.523,2.72077,147.9296769020002,27.9154,150.156965776,272.763,0.0797362,104.097
3004.9476532810013,383.58,-9.35724,-0.845277,38.5212,-0.458377,76000,32.9803,80000,-0.00287407,-1.9889,-265.956,6.2548606079999445,0.0720802,4.400113447999502,-46.2841,2.08153,159.17089086099986,-0.00677128,0.00128337,10.3188,676,370.456,0.00196218,2.307156562805176,18,-2.116,172.867713141,0.422413,14.0502,0.140752,0.588092,0.883465,0.00675605,-1.67244,173.124,23.071565628051758,262.677,1.95654,148.51591680500042,27.3668,160.47884365,267.88,0.0941807,102.226
3163.9326376340014,439.523,-10.4986,-0.871515,47.3852,-0.389432,80000,36.0628,84000,-0.00257894,-1.99163,-294.803,6.092798371000754,0.0702521,4.220460071000161,-7.69933,2.14038,158.97839994800051,-0.00619421,0.00111997,14.6683,705,447.275,0.00184215,3.4740078449249268,19,-2.13585,183.002070389,0.424454,10.1134,0.142266,0.959932,0.648525,-0.0284596,-1.7165,168.198,34.74007797241211,291.554,2.08643,148.6651415059996,31.514,155.814176435,296.626,0.0700161,119.174
3322.2268949920017,367.604,-9.54046,-0.862174,53.7853,-0.307635,84000,31.0999,88000,-0.00273689,-2.02489,-277.285,6.09042745899842,0.0877562,4.227594349000356,-27.7109,2.05043,158.38422749899928,-0.00678232,0.00116769,14.2788,731,378.152,0.00124043,2.7225289344787598,20,-2.15463,185.816057362,0.411851,10.1849,0.136971,0.639861,0.5858,-0.032978,-1.54489,179.616,27.22528839111328,270.99,2.14662,148.0662056910005,28.1476,192.152298415,280.874,0.0716805,180.268
3481.1341030760022,388.099,-9.85203,-0.861509,42.5327,-0.324911,88000,34.6841,92000,-0.00255052,-2.01524,-291.288,6.073200677000386,0.0868765,4.137952807999682,-3.44646,1.98224,158.75032473900046,-0.00604641,0.00111674,16.3841,759,387.342,0.00147747,3.1036930084228516,21,-2.27628,183.901681516,0.415202,10.2108,0.140127,0.632321,0.886127,-0.00759214,-1.99079,174.741,31.036930084228516,286.018,1.80174,148.5391712540004,32.7335,170.125324956,290.04,0.100539,137.925
3639.457265670003,372.557,-10.0374,-0.88111,37.8755,-0.461115,92000,35.5411,96000,-0.00246203,-1.99775,-288.355,6.168666805000612,0.0776834,4.295249781000166,-16.6326,2.11746,158.40740362600081,-0.00561055,0.00115057,19.2488,789,365.521,0.000974856,3.2236530780792236,22,-2.0916,205.194369514,0.396609,14.1563,0.143211,0.674235,0.675515,-0.0414101,-1.91525,102.979,32.23653030395508,282.839,2.1244,147.94348704000004,30.1258,196.250032867,287.141,0.0844057,106.326
3798.8667475400016,392.634,-9.37178,-0.89165,37.0804,-0.441429,96000,39.5106,100000,-0.00247926,-1.97301,-301.794,5.942130132999409,0.0807577,4.212017181000192,-24.8101,2.12991,159.38543036599913,-0.00626679,0.00115296,12.164,817,386.295,0.000915153,3.1723926067352295,23,-2.19714,210.027676205,0.402109,13.556,0.151163,0.728481,0.773247,-0.0286347,-2.00806,127.811,31.72392463684082,296.68,1.89555,149.23128305199953,30.4617,194.415076221,302.135,0.0872134,116.612
3956.5673196019998,371.004,-9.41632,-0.864202,37.1386,-0.388343,100000,34.0882,104000,-0.0027313,-2.13544,-285.58,6.175596653998582,0.0785042,4.236294287999954,34.9501,1.94992,157.7554040499981,-0.00668605,0.00121416,12.2894,847,369.514,0.000903798,2.5519397258758545,24,-2.38757,184.713339247,0.386516,11.2921,0.139466,0.723702,0.730568,0.00725117,-1.83667,89.7817,25.519397735595703,281.305,2.11966,147.34351310799957,32.5015,199.182040085,285.136,0.088617,124.28
4113.888447520999,369.377,-10.3774,-0.884788,38.3474,-0.36562,104000,33.1004,108000,-0.00270985,-1.92972,-289.07,6.074110468000072,0.080644,4.181915879999906,-21.5514,2.05151,157.2306949140002,-0.00690862,0.0010992,8.73026,877,362.157,0.000740638,2.8918895721435547,25,-1.93786,227.938471542,0.385636,8.96207,0.140104,0.549992,0.634121,-0.0125722,-1.69808,183.536,28.918895721435547,286.029,2.19193,146.97466856600022,29.7961,186.49769287,289.501,0.082598,143.677
4272.521225650999,414.838,-8.87323,-0.880643,40.3426,-0.336018,108000,44.2595,112000,-0.00280593,-1.90984,-290.614,6.001227141000527,0.0881578,4.2729321280003205,-90.7931,2.09395,158.57143240400092,-0.00636833,0.00112772,16.8669,904,409.245,0.000249687,2.4880995750427246,26,-2.00515,185.129207332,0.407056,10.6555,0.149185,0.816687,0.710879,-0.018598,-1.83726,46.428,24.88099479675293,289.315,2.01602,148.29727313500007,40.9188,192.39948359,291.742,0.0866811,149.788
4431.177771609997,420.799,-7.88342,-0.865779,31.6731,-0.206067,112000,41.1128,116000,-0.00291689,-2.03123,-305.132,6.009256343999368,0.0818883,4.334738287999244,-30.2327,1.91781,158.79470430199854,-0.0060847,0.00117417,19.7987,930,425.352,0.00146882,2.8498854637145996,27,-2.05109,187.326660032,0.400873,6.23104,0.142012,0.706549,0.90249,4.71793e-05,-1.77993,130.357,28.49885368347168,300.727,2.23314,148.45070966999992,38.6157,199.652465127,305.398,0.123459,128.255
4589.408768394995,409.312,-8.80602,-0.86563,38.269,-0.244879,116000,44.4109,120000,-0.00278314,-2.0857,-314.127,6.111746053999923,0.0983552,4.197034203999465,4.67325,2.04884,157.9589900919991,-0.00623591,0.00112971,13.475,957,402.973,0.000699726,3.217881917953491,28,-1.60786,204.61892686,0.395495,12.6142,0.140554,0.874725,0.931888,0.00160637,-1.72693,111.21,32.17881774902344,312.229,2.10089,147.65020983399972,41.8963,207.902914077,313.626,0.0781498,119.955
4747.923434412993,403.875,-9.50529,-0.876385,45.0868,-0.300296,120000,42.3031,124000,-0.00270344,-2.18701,-319.117,6.10712063200026,0.087854,4.469720014999439,-9.63916,2.07915,158.5631793249995,-0.00660643,0.00104122,14.7465,983,395.299,0.000744334,3.08760142326355,29,-2.2002,162.202992653,0.385398,13.3124,0.140477,0.732515,0.576723,-0.0123252,-2.00381,16.9284,30.876012802124023,318.412,1.984,147.9863386779998,40.614,196.078549051,316.091,0.0978178,129.329
4906.277828394994,421.265,-9.66945,-0.88932,53.4675,-0.343648,124000,48.3312,128000,-0.00281234,-1.83844,-305.827,6.105883541000367,0.102131,4.421729355000025,-80.1061,2.1144,158.50239238800077,-0.00717687,0.00124917,13.5351,1008,429.892,0.000675232,2.591826915740967,30,-2.02045,171.032018706,0.40489,14.173,0.147994,0.61056,0.766592,-0.0267772,-2.1021,82.3438,25.91826820373535,297.7,2.07025,147.97477949200038,42.6607,204.765820966,309.245,0.142743,213.022
5064.334072714995,417.336,-9.45429,-0.880424,66.3899,-0.263308,128000,41.9391,132000,-0.00303047,-2.06448,-300.933,6.031002467001599,0.0946362,4.274308646000463,-4.24235,2.16321,158.10979393900288,-0.00856137,0.00128243,14.2912,1036,402.28,0.000904568,2.252899646759033,31,-2.13993,209.267410604,0.393638,12.726,0.155285,0.615895,0.615452,-0.0256688,-1.97776,134.059,22.528995513916016,295.748,1.95106,147.80448282600082,39.8397,209.841314184,295.606,0.135375,125.874
5223.311219456996,390.945,-11.4798,-0.886554,39.6171,-0.2852,132000,42.2206,136000,-0.00276787,-1.99894,-298.759,5.990437558999474,0.105201,4.221416195000529,-56.8868,2.0305,159.17907441400075,-0.0067887,0.00104519,11.5368,1063,386.586,0.000376814,2.679314374923706,32,-1.95631,204.128960249,0.365999,9.87401,0.146056,0.462939,0.934691,-0.0451123,-1.88699,109.531,26.79314422607422,295.356,1.82078,148.96722066000075,39.4062,225.681817895,299.232,0.0929836,147.262
5380.989110555998,402.102,-8.71902,-0.904256,42.3023,-0.412229,136000,43.8997,140000,-0.00260984,-1.8711,-312.651,5.864097430002403,0.0969705,4.019840275000206,-47.9929,1.98355,157.49807116000284,-0.00736849,0.00106204,13.2712,1090,396.344,0.000744311,2.887939453125,33,-2.24011,254.376620332,0.380214,10.7691,0.145815,0.570931,0.979958,-0.00370592,-1.98969,149.784,28.87939453125,310.549,2.24738,147.61413345500023,39.8911,184.654906667,313.559,0.10501,123.845
5539.6927181209985,429.568,-13.7201,-0.893888,36.2709,-0.387473,140000,46.4709,144000,-0.00277546,-1.92644,-329.166,6.059908218000601,0.111216,4.200491771000088,4.37655,2.29135,158.94487966400084,-0.00705258,0.00111631,11.1809,1118,424.535,0.001379,2.974289655685425,34,-2.58248,320.699394106,0.39369,15.2728,0.145023,0.671586,0.538258,-0.022115,-1.83402,-21.1923,29.742897033691406,326.273,2.71414,148.68447967500015,43.6988,232.596137904,329.256,0.0958105,131.56
5697.198841127,457.995,-10.8837,-0.871892,30.8343,-0.380956,144000,50.0666,148000,-0.00290261,-2.0285,-331.871,6.117456083000434,0.107077,3.959496831999786,10.2608,1.97814,157.3541482340006,-0.00662427,0.00125168,17.9042,1144,454.78,0.000534913,2.802239418029785,35,-1.81928,277.748908361,0.389141,9.17259,0.14132,0.845264,0.785419,-0.00989112,-1.63831,154.853,28.02239418029785,328.041,1.91494,147.27719531900038,47.5454,257.009075782,332.415,0.0963806,145.657
5855.756588806,426.313,-9.40314,-0.887813,43.618,-0.389809,148000,46.6821,152000,-0.00296787,-1.93482,-309.363,5.977028915999654,0.105552,4.112310995999906,-8.27085,2.16677,158.6005677309995,-0.00708145,0.0011293,14.7574,1171,417.253,0.00141015,2.405181407928467,36,-2.01818,234.296379649,0.381567,13.7795,0.152441,0.624033,0.768872,-0.00430907,-1.91741,165.856,24.05181312561035,306.128,2.80979,148.51122781899994,42.1734,220.449187232,307.854,0.138996,162.651
6013.645938000997,439.999,-9.90588,-0.882653,38.3456,-0.425826,152000,50.1883,156000,-0.00273862,-2.03252,-334.877,6.159852470997976,0.105477,4.070129038000232,-7.47448,2.009,157.81428473499818,-0.00676587,0.00114447,18.4498,1198,446.7,0.000841431,2.723839521408081,37,-2.40481,189.488969704,0.37144,13.0687,0.138576,0.802553,0.735689,-0.00903763,-1.78285,174.393,27.238393783569336,331.171,1.963,147.58430322599997,46.628,222.693309798,337.191,0.107421,142.837
6171.905519189996,421.822,-8.87527,-0.89368,47.896,-0.449966,156000,52.5032,160000,-0.00268316,-2.00101,-325.8,6.1106590229992435,0.102741,4.145784287000424,-24.0435,2.1181,158.06942334199994,-0.00634041,0.00105174,10.7692,1224,418.388,0.000240325,2.6893718242645264,38,-1.94804,179.482362163,0.368296,12.6739,0.152748,0.486429,0.995494,-0.0184118,-1.98162,-12.311,26.893718719482422,321.024,2.75306,147.81298003200027,49.0468,224.586961243,323.798,0.119686,159.287
6329.556821777996,474.928,-11.3063,-0.883708,45.665,-0.4201,160000,58.4028,164000,-0.00286938,-1.94042,-333.778,6.2358685770013835,0.110086,4.336985399999321,-4.2698,2.2728,157.5018761070005,-0.00695907,0.00119043,11.2905,1249,477.464,0.000342794,2.8661201000213623,39,-2.89508,215.235836448,0.387862,21.2299,0.155334,0.571346,0.539539,-0.0372438,-1.89199,55.7651,28.66119956970215,331.366,2.93265,146.9290221299998,55.3661,251.492555444,335.804,0.143853,171.738
6488.461045661001,437.209,-9.2923,-0.907469,36.3379,-0.449683,164000,51.438,168000,-0.00257444,-1.9525,-331.217,6.198060414999418,0.103661,4.487418852000701,-56.8328,2.08536,159.1740719570007,-0.00525666,0.00102123,10.1843,1276,424.097,0.000961736,2.767735242843628,40,-2.324,238.136802201,0.350804,16.8604,0.146721,0.570117,0.878838,-0.0178788,-2.13539,73.5518,27.677350997924805,328.789,1.95626,148.4885926900006,48.3471,201.806952812,331.561,0.122062,139.008
6646.277648553998,481.743,-8.47544,-0.900131,80.1824,-0.377634,168000,72.1006,172000,-0.00263435,-1.82904,-350.535,6.210465079999267,0.0997812,4.217729766000048,-75.0389,2.27673,157.7882115350003,-0.00717014,0.000993037,19.9869,1302,495.877,9.57195e-05,3.2348430156707764,41,-2.25129,258.336255361,0.384742,17.8103,0.159783,0.929147,0.635578,-0.0245467,-1.92486,122.343,32.34843063354492,345.664,2.76179,147.360016689001,69.0855,231.187742449,355.62,0.101394,229.451
