Step_1-AverageReturn,LossAfter,Step_0-StdReturn,Time-InnerStep,Time-MAMLSteps,Step_0-MinReturn,Step_1-AverageDiscountedReturn,Time,Step_1-PolicyExecTime,Step_0-AverageDiscountedReturn,Time-OuterStep,KLInner,Step_1-AverageAbsPolicyMean,Step_0-NumTrajs,Step_1-MaxReturn,Step_1-MinReturn,Time-Sampling,Step_0-AverageAbsPolicyMean,Step_1-NumTrajs,Step_0-EnvExecTime,Step_0-AverageReturn,Step_1-EnvExecTime,Step_0-MaxReturn,Step_1-StdReturn,Step_0-PolicyExecTime,Step_0-AveragePolicyStd,Time-TotalInner,Time-SampleProc,LossBefore,ItrTime,KLCoeffInner,Step_1-AveragePolicyStd,Itr,n_timesteps
121.8247428771881,0.07873352,34.62667874950389,2.00393009185791,26.355459928512573,67.43909688688613,106.40772762516013,116.89560127258301,4.522892236709595,100.37371842527696,26.355314254760742,0.14625697,0.6578406,6551,339.4686305663365,67.66085959640031,71.79254841804504,0.6477762,6113,30.526585578918457,113.75401723705627,30.650800228118896,344.2658630764881,38.90312356616884,2.236499547958374,1.0,90.04115056991577,16.12308168411255,1.1064343e-09,116.89559412002563,0.0,0.9997578,0,320000
129.63280671029224,0.03346113,41.774698287157086,0.7676692008972168,16.87486481666565,67.31227365259323,111.99695786363114,223.56253623962402,3.9057247638702393,105.93069538661113,16.87471914291382,0.03412397,0.6626749,6173,465.6520511670293,69.08892174826408,72.0297269821167,0.651892,5813,31.078194856643677,121.37561131583915,31.448216199874878,367.88787613864565,46.18127661622909,1.5886759757995605,0.9996637,89.70913791656494,16.778003215789795,4.1637955e-09,106.65147757530212,0.0,0.99932164,1,640000
135.2375123984096,0.0114891315,42.70230319481362,0.7594296932220459,16.954217672348022,67.64235174213997,116.06566458124246,331.0990471839905,3.8794257640838623,109.76803004779698,16.954084634780884,0.020156423,0.6649848,5889,418.6732552030224,66.41523029798005,72.49128484725952,0.65031785,5517,31.40810775756836,126.5515579222875,31.582943439483643,354.3302169828699,47.143383959932564,1.5895116329193115,0.99963653,90.51752185821533,17.133312225341797,-7.493802e-10,107.53596019744873,0.0,0.9993251,2,960000
141.28733072965716,0.0072830627,45.93301404430107,0.7593135833740234,17.005107164382935,69.89006743104106,120.34291758394573,438.31545424461365,3.8541412353515625,114.28445476709528,17.004964590072632,0.015253916,0.6623532,5562,399.83731731934876,70.18289316905134,73.15360641479492,0.6507512,5238,31.940552473068237,132.85711168990602,31.819690465927124,397.86224903454,49.104393647668324,1.5790276527404785,0.9992547,90.14549255371094,16.100342273712158,-5.1796445e-10,107.21514558792114,0.0,0.99901456,3,1280000
151.35149526417302,0.004204399,49.984240765007875,0.7564089298248291,16.92819833755493,67.54548395250839,127.5773738397221,545.2559628486633,3.8668696880340576,121.69045573990157,16.928056716918945,0.013939853,0.6647089,5223,406.1628794008458,72.12744622843394,73.39808988571167,0.6547678,4946,31.95950222015381,142.9897221827404,32.028916358947754,383.90617849276066,53.722020939268646,1.5815179347991943,0.99878126,89.95186257362366,15.66640853881836,-4.6243342e-09,106.94001293182373,0.0,0.9985956,4,1600000
159.19222586913057,0.01153723,50.38159995489465,0.7569272518157959,16.86391806602478,72.64660008596228,132.76201540967674,653.1002099514008,3.9144203662872314,124.9614962768373,16.863776206970215,0.014093278,0.6702134,4956,445.227192230988,71.699593293308,74.62730669975281,0.65691376,4638,32.31439018249512,147.8049332605543,32.87126088142395,459.7628131463454,56.803750724125365,1.5799880027770996,0.9977878,90.92215657234192,15.410821199417114,2.0516693e-09,107.84372305870056,0.0,0.9974749,5,1920000
167.31921065321922,0.007759832,52.72713991683659,0.7606375217437744,16.85741400718689,71.05934963022219,138.61148223303837,761.4507348537445,3.909360647201538,131.2621815391728,16.857274293899536,0.01307199,0.6669546,4763,428.5201471597496,72.33535359123749,74.95198726654053,0.6597853,4466,32.59277558326721,156.49697174010996,32.908310890197754,443.07747714421106,57.40418230970729,1.583808183670044,0.9964962,91.43782567977905,15.597161769866943,-2.8525249e-09,108.34995436668396,0.0,0.9962496,6,2240000
178.72586678508918,0.013804862,54.316726452166115,0.7639415264129639,16.739481925964355,71.51049959900803,146.23894873991108,869.7596483230591,3.897761344909668,136.90920731266974,16.73933982849121,0.013577431,0.6726536,4516,453.1862642749967,75.42086773165538,75.29119515419006,0.6623326,4185,32.807392597198486,164.577308389399,33.021615982055664,429.89159350757126,61.75645369775606,1.6071281433105469,0.9954849,91.51165628433228,15.329842567443848,2.952855e-10,108.30840229988098,0.0,0.99500245,7,2560000
182.69232946730574,0.012965704,53.77572634515998,0.7581882476806641,16.748941898345947,72.29176428441536,148.72769037000248,978.7062494754791,3.9210734367370605,140.56876747660638,16.748801708221436,0.0127848955,0.67609745,4317,614.4356019373137,70.43437607821802,76.27917909622192,0.6657796,4042,33.40980625152588,170.00422431952896,33.41572427749634,481.35684208792617,61.21715134711479,1.5999743938446045,0.9948314,92.1387951374054,14.975939750671387,1.4252077e-09,108.94607496261597,0.0,0.9944807,8,2880000
191.37037078626392,0.010087897,57.85086950411433,0.7574708461761475,16.95435357093811,70.39393695410769,154.2724620679488,1089.269103527069,3.9820919036865234,144.6554583870591,16.95421028137207,0.012035117,0.6778384,4157,582.2344390584894,74.62876892679698,77.3119068145752,0.66744864,3854,33.45648002624512,176.39095534532046,33.90652656555176,562.5174419897281,64.43840498900421,1.9997529983520508,0.9944905,93.54945659637451,15.35465145111084,-2.7400222e-09,110.56236720085144,0.0,0.9942218,9,3200000
