Q Predictions Min,V Predictions Max,Log Pis Max,Policy log std Std,Log Pis Mean,Log Pis Min,V Predictions Min,Z mean train,V Predictions Std,Q Predictions Max,Log Pis Std,Number of rollouts total,R Predictions Std,VF Loss,KL Divergence,Q Predictions Std,QF Loss,Number of train steps total,Policy Loss,Policy mu Mean,(Previous) Eval Time (s),Z variance eval,Sample Time (s),Total Train Time (s),Train Time (s),R Predictions Max,Epoch,R Predictions Mean,R Predictions Min,Policy mu Std,Q Predictions Mean,Z variance train,AverageReturn_all_test_tasks,RF Loss,V Predictions Mean,Policy mu Min,Policy log std Mean,Policy mu Max,Policy log std Max,KL Loss,AverageReturn_all_train_tasks,Epoch Time (s),Policy log std Min,Z mean eval,Number of env steps total
-1972.1,-152.465,6.79475,0.134924,-2.95369,-12.0779,-1981.01,0.264739,282.734,-166.276,2.13694,3400,0.0017462,63.7241,48.00959777832031,282.807,829.005,12000,569.401,0.0162203,34.493324460461736,0.162943,7.396942167542875,910.7387546543032,23.01703082304448,0.00426403,11,-0.00166723,-0.00707179,0.610996,-575.763,0.671887,-605.137783353,428.679,-570.89,-1.90675,-0.400939,1.86031,-0.0426467,240.04798889160156,-556.300339942,64.90729745104909,-0.866429,0.552223,320000
-2427.79,-143.775,6.078,0.158463,-2.74405,-12.2741,-2397.5,0.294868,332.431,-138.852,2.15714,3600,0.00175361,86.1461,50.2176628112793,334.105,984.844,13000,590.754,-0.0323828,33.967455823905766,0.171555,7.278672783635557,974.9945144755766,23.1784884929657,0.00341227,12,-0.00140792,-0.00609349,0.621226,-597.592,0.538156,-590.540687787,435.55,-587.863,-2.12726,-0.430946,2.16539,-0.0358705,251.08831787109375,-528.338501961,64.42461710050702,-0.96294,0.633706,330000
-1914.78,-132.186,12.0495,0.150331,-2.40892,-9.50227,-1891.04,0.307494,329.727,-135.45,2.45762,3800,0.00197216,114.799,58.9882698059082,329.341,1062.04,14000,657.553,0.0174686,33.79857213422656,0.160195,7.249024254269898,1039.4323332030326,23.045975668355823,0.00551556,13,-0.00172191,-0.00730821,0.666827,-666.616,0.600337,-606.790680994,456.318,-663.417,-2.2329,-0.443028,2.37261,-0.0744004,294.94134521484375,-541.865086495,64.09357205685228,-1.09585,0.50612,340000
-2698.08,-140.122,8.06948,0.154489,-2.39232,-9.5157,-2685.21,0.598275,348.695,-151.974,2.22064,4000,0.00194887,94.7143,60.0169563293457,348.222,1226.03,15000,717.492,-0.00769764,34.14291435666382,0.146179,7.331897238269448,1103.7261269344017,23.262257817201316,0.00489865,14,-0.00175224,-0.00748395,0.665744,-725.845,0.704345,-579.163109531,477.595,-718.572,-2.21595,-0.454237,2.17089,-0.0745186,300.08477783203125,-540.864624791,64.73706941213459,-1.0408,0.584344,350000
-2790.95,-117.012,8.17761,0.149408,-2.0114,-9.10532,-2790.02,0.35721,355.279,-124.244,2.4195,4200,0.00188783,124.78,59.45501708984375,356.08,1277.66,16000,728.722,-0.000816768,33.69961114600301,0.152113,7.175020553171635,1168.907230278477,23.269769473932683,0.00565213,15,-0.00185206,-0.00773152,0.695854,-738.583,0.685504,-565.806449637,441.132,-732.833,-2.12155,-0.483291,2.22146,-0.131194,297.27508544921875,-503.241237752,64.14440117310733,-1.05742,0.529074,360000
-2243.8,-95.8171,9.18428,0.162711,-1.8881,-9.99317,-2231.44,0.21959,360.834,-103.714,2.4235,4400,0.00173778,162.176,57.809539794921875,361.09,1414.62,17000,654.503,-0.0049908,34.736451984383166,0.152741,7.549975968897343,1233.6579974936321,23.046160203404725,0.00383661,16,-0.00170189,-0.00600446,0.701555,-667.944,0.65172,-546.909583533,357.823,-660.458,-2.478,-0.507379,2.26939,-0.115056,289.0476989746094,-498.108494306,65.33258815668523,-1.13001,0.593586,370000
-2761.37,-135.938,7.68366,0.168763,-1.97876,-10.6432,-2732.04,0.573935,387.294,-148.188,2.36975,4600,0.00199113,143.152,59.424537658691406,389.909,1385.68,18000,707.739,-0.017764,34.15465888287872,0.149679,7.3131675543263555,1298.2510548662394,23.205524684861302,0.00531223,17,-0.0015059,-0.00609124,0.676124,-716.061,0.693349,-563.312008868,460.446,-703.726,-2.39956,-0.530145,2.23545,-0.102419,297.1226806640625,-493.522183373,64.67335112206638,-1.19904,0.599334,380000
-3075.36,-129.767,9.63539,0.164626,-1.49686,-8.91943,-3045.05,0.297158,460.626,-131.411,2.52832,4800,0.00167414,163.025,56.96043395996094,463.472,1669.41,19000,781.172,0.00432604,34.074210233055055,0.141018,7.288068909198046,1362.2147782007232,23.145933867432177,0.00343321,18,-0.00169861,-0.00720284,0.732971,-792.89,0.627172,-556.144305105,485.912,-782.396,-2.53888,-0.539639,2.2071,-0.0760237,284.80218505859375,-481.528261708,64.50821300968528,-1.14756,0.295256,390000
-3497.08,-96.3081,9.92113,0.158918,-1.56145,-10.9131,-3457.89,0.24106,419.333,-108.058,2.44409,5000,0.00166833,202.209,55.94926071166992,423.518,1689.45,20000,748.493,0.00157525,33.52978673018515,0.139624,7.163796511478722,1426.766749182716,23.176638177596033,0.00384368,19,-0.00144424,-0.00629711,0.713262,-758.781,0.574603,-557.723329616,433.896,-749.051,-2.31576,-0.565175,2.27618,-0.118872,279.7463073730469,-507.462242109,63.870221419259906,-1.23075,0.541744,400000
-3640.91,-158.98,8.37503,0.146657,-1.47162,-10.7803,-3645.93,0.292397,399.168,-171.139,2.5003,5200,0.00187928,206.32,64.83939361572266,400.655,1920.13,21000,858.759,-0.0730768,34.211702136322856,0.146847,7.509544960223138,1490.9612621795386,23.09237126260996,0.00536768,20,-0.00154412,-0.00596729,0.748056,-867.506,0.611185,-559.725424645,444.394,-854.391,-2.56798,-0.528847,2.50177,-0.0702441,324.19696044921875,-497.70682541,64.81361835915595,-1.17521,0.293942,410000
-4312.13,-58.0778,10.5852,0.175716,-1.65887,-10.543,-4283.89,0.246104,457.023,-57.6011,2.30102,5400,0.00166695,158.105,61.42975616455078,459.33,1769.26,22000,679.806,0.00510074,33.5926081193611,0.141683,7.13649835716933,1555.8799457298592,23.035047344863415,0.00564557,21,-0.00164993,-0.00578482,0.676211,-689.426,0.577677,-553.708513627,330.474,-682.518,-2.4725,-0.612391,2.16604,-0.127401,307.1487731933594,-481.720727681,63.76415382139385,-1.22018,0.544315,420000
-2453.08,-11.365,9.79674,0.164115,-1.3787,-10.1468,-2413.48,0.224383,417.505,-26.2337,2.48734,5600,0.00182703,201.794,71.0157241821289,418.458,1833.45,23000,677.524,-0.0068788,34.74720763042569,0.159042,7.3781339302659035,1620.200356548652,23.278810357674956,0.00475264,22,-0.00145279,-0.00635863,0.731915,-688.721,0.663749,-545.201114988,348.003,-681.616,-2.69719,-0.579724,2.7129,-0.1315,355.07861328125,-453.114567886,65.40415191836655,-1.13712,0.527726,430000
-3093.81,-17.7243,12.0615,0.175965,-1.35101,-9.67276,-3087.81,0.558007,523.884,-29.3959,2.60604,5800,0.00173505,186.596,69.69970703125,525.436,2133.72,24000,745.322,-0.0249574,33.66418971400708,0.157372,7.290274222381413,1684.5694724889472,23.0204392420128,0.00317778,23,-0.00149526,-0.00639097,0.723733,-756.826,0.708785,-549.253711108,389.335,-748.934,-2.51495,-0.608606,2.63348,-0.0861759,348.49853515625,-464.259530605,63.97490317840129,-1.25405,0.567044,440000
-4835.85,-68.1162,10.5244,0.15321,-1.30038,-11.2635,-4840.39,0.474329,459.968,-66.0007,2.49138,6000,0.00167266,312.149,63.92815017700195,459.474,2194.73,25000,869.013,0.0235827,34.05789488367736,0.152282,7.262268675491214,1748.3410099046305,22.984597538597882,0.00284065,24,-0.00163384,-0.00639613,0.736713,-876.992,0.651726,-536.665390564,471.15,-879.253,-2.6745,-0.595577,2.69974,-0.109983,319.6407470703125,-463.410270767,64.30476109776646,-1.16475,0.487139,450000
-3683.54,-0.561747,10.0088,0.157346,-1.44132,-11.7725,-3725.4,0.346012,467.333,-0.0898869,2.42476,6200,0.00164137,232.22,65.46685028076172,468.289,2237.67,26000,828.065,-0.028184,33.52470183931291,0.151346,7.163390546105802,1812.0320887370035,23.163342444226146,0.00339747,25,-0.00150833,-0.00599603,0.708915,-836.799,0.658107,-539.971679151,403.088,-830.172,-2.72301,-0.59318,2.84936,-0.148651,327.3342590332031,-434.684050879,63.85143482964486,-1.15852,0.476034,460000
