Itr,train-MinReturn,LossAfter,train-MaxReturn,Time-SampleProc,ItrTime,LossBefore,Time-Optimization,train-EnvExecTime,train-StdReturn,Time-Sampling,train-AverageDiscountedReturn,Time,train-NumTrajs,train-AveragePolicyStd,train-PolicyExecTime,train-AverageReturn,n_timesteps
0,72.54260428786108,-0.029329972,359.12270706750553,13.229358911514282,31.85883092880249,0.00040384955,4.233189582824707,12.99248480796814,38.833402371523015,14.388262748718262,102.3038626971408,31.868396997451782,1623,1.0,0.9122347831726074,116.37006001682495,40000
1,72.16530277536546,-0.025794512,303.6765613951633,12.77487063407898,31.138062477111816,0.00021749627,4.166404962539673,12.855800151824951,39.628759374200634,14.184879302978516,102.11568877676241,63.04016304016113,1614,1.0007981,0.8524172306060791,116.23037920739895,80000
2,72.11627834632922,-0.024315115,341.4020285440181,12.482515335083008,30.84097409248352,0.0003160956,4.148486375808716,12.855942010879517,41.94250230185247,14.198140144348145,103.43333085622294,93.8879714012146,1593,1.000544,0.8591673374176025,118.05459197919527,120000
3,72.1874828137415,-0.022610957,402.7267537250465,12.731358766555786,31.192468881607056,2.6736657e-06,4.158014297485352,12.942135095596313,44.12008013356952,14.29127836227417,104.19888240025637,125.08959889411926,1573,1.0006477,0.8607957363128662,119.24800673564698,160000
4,75.08641884292267,-0.02162287,343.51141241495077,12.552899360656738,31.03464412689209,0.00016554032,4.158453941345215,12.969238996505737,44.17783408696618,14.311609745025635,106.5222464666877,156.13139247894287,1535,1.0003866,0.861924409866333,122.27945334567629,200000
5,72.2890498405654,-0.022106394,367.5870355514713,12.345348119735718,30.846938133239746,-3.6027839e-06,4.150622129440308,13.001022577285767,43.43554720800354,14.339247226715088,105.08426405438317,186.98534321784973,1563,1.0000097,0.8605523109436035,120.31842856728389,240000
6,72.45629788654597,-0.021995043,356.40083516142136,12.948874711990356,31.399857997894287,9.851906e-05,4.173740863800049,12.933830976486206,42.04878671770642,14.26561975479126,105.87019519042182,218.3919894695282,1549,0.999175,0.8568911552429199,121.22692345634259,280000
7,72.54250428798937,-0.022310177,395.33990896694195,12.649060487747192,31.088258028030396,-7.832852e-05,4.146489858627319,12.953669309616089,42.919803461311965,14.280812501907349,105.12208978842988,249.48706197738647,1566,0.9978321,0.8552944660186768,120.33781901062427,320000
8,70.85447351043209,-0.021370808,361.7430378367796,12.279248476028442,30.73066759109497,0.0003059666,4.165633916854858,12.957961082458496,42.171620042221704,14.27424144744873,106.46988616727847,280.22452902793884,1537,0.99687684,0.8499956130981445,122.0187650799542,360000
9,73.07698714610488,-0.021340828,439.4084103397923,12.592265605926514,31.063531637191772,2.9619634e-05,4.1999311447143555,12.939363718032837,44.91747901214741,14.259719133377075,106.92758308966819,311.294677734375,1527,0.9962681,0.8555443286895752,122.85482877703892,400000
10,72.51364769780173,-0.021268208,343.8497200700367,11.49698781967163,29.88922882080078,0.0003302027,4.177973985671997,12.881275415420532,46.129407432089316,14.202762365341187,108.06670393131868,341.19074177742004,1511,0.9955644,0.8529837131500244,124.41735142721544,440000
11,72.4221728900751,-0.021117026,329.70026272475695,12.568187713623047,31.060514211654663,0.0003392424,4.1596386432647705,12.996511220932007,44.18830609683641,14.321184635162354,107.25758051723159,372.2578339576721,1520,0.9949645,0.8568651676177979,123.22452779058877,480000
12,72.83139643148473,-0.020990431,369.66723045850256,11.49774980545044,29.898558378219604,-0.00010931218,4.147274732589722,12.922630310058594,45.44771463034861,14.241805791854858,107.84422511991791,402.1630208492279,1516,0.9944711,0.8523528575897217,124.05645292665378,520000
13,72.70278067753081,-0.021527708,475.3963644478615,11.386484861373901,29.813602924346924,-0.000119549906,4.158188343048096,12.939727783203125,47.636619701434434,14.257473230361938,109.10312622437363,431.98330211639404,1488,0.9942189,0.8526220321655273,125.91908111466786,560000
14,74.0587246636184,-0.021951132,378.2757017030444,11.079151391983032,29.71871542930603,0.0005222002,4.2032790184021,13.10319709777832,45.38206932547673,14.424728870391846,107.91200281626382,461.70880031585693,1513,0.99409515,0.8548729419708252,124.15987977346572,600000
15,73.8888519264327,-0.021750914,323.1653485661387,11.273968935012817,29.77621626853943,0.00085657276,4.17026424407959,12.997635841369629,44.8047080879922,14.32053017616272,109.30018030282788,491.4913868904114,1490,0.99373275,0.857292890548706,125.91089910419613,640000
16,73.75983051235835,-0.022978416,350.5030767610504,11.475810766220093,30.000033617019653,1.9096386e-05,4.188222646713257,13.002584457397461,47.56787139499779,14.324455261230469,111.41172069015585,521.4981422424316,1451,0.9926779,0.8534810543060303,128.99022551388467,680000
17,71.42160558534682,-0.02139181,377.0014209274019,11.422690868377686,29.86697554588318,-5.5501137e-06,4.114550352096558,13.004929304122925,46.99840843739283,14.318177938461304,111.58169576741868,551.3716328144073,1450,0.9910007,0.8475775718688965,129.1335604403289,720000
18,73.23090207796392,-0.021904033,371.54263859302426,11.2772057056427,29.85141634941101,-0.00027669,4.168957233428955,13.071213960647583,48.22867820860488,14.393880844116211,111.83087974697798,581.2298622131348,1443,0.9899914,0.8551023006439209,129.61768318470143,760000
