Total Train Time (s),Q Predictions Min,Q Predictions Mean,Number of rollouts total,VF Loss,Z mean eval,KL Divergence,R Predictions Std,QF Loss,V Predictions Max,Policy mu Max,Policy mu Mean,Train Time (s),Log Pis Mean,Number of env steps total,KL Loss,Epoch Time (s),Policy log std Mean,Log Pis Min,Policy Loss,Z mean train,V Predictions Std,Policy log std Std,V Predictions Min,RF Loss,Sample Time (s),Z variance train,Policy mu Min,Q Predictions Std,Log Pis Std,R Predictions Min,R Predictions Mean,(Previous) Eval Time (s),R Predictions Max,V Predictions Mean,Z variance eval,Epoch,Policy log std Min,Policy log std Max,Policy mu Std,Q Predictions Max,Number of train steps total,AverageReturn_all_test_tasks,AverageReturn_all_train_tasks,Log Pis Max
856.0914780655876,-2218.93,-564.239,3200,51.416,0.353277,41.0413818359375,0.0017618,656.551,-163.07,1.85692,-0.0408913,22.723713979125023,-3.63562,310000,205.2069091796875,63.61126731801778,-0.36739,-11.0707,557.423,0.577374,243.477,0.131243,-2187.38,453.437,7.234823537990451,0.732197,-1.91418,244.511,1.82353,-0.0109269,-0.00399753,33.65272980090231,0.00207632,-555.684,0.106231,10,-0.845402,0.0103242,0.500548,-180.907,11000,-450.716398189,-551.89200603,4.85069
919.5817609773949,-2139.18,-602.476,3400,60.109,0.277695,51.36122512817383,0.00155526,872.01,-165.522,2.00716,-0.00732881,22.723194184713066,-3.30238,320000,256.8061218261719,63.28916626982391,-0.383124,-11.6123,598.439,0.818199,253.359,0.123942,-2117.26,489.818,7.150491761043668,0.615502,-2.13236,253.198,1.99995,-0.00921443,-0.00385632,33.415480324067175,0.00194189,-600.067,0.116199,11,-0.914223,0.0665883,0.564753,-169.102,12000,-468.084975535,-572.998336117,6.01379
983.4802465364337,-2251.8,-621.316,3600,80.5245,0.382418,50.139835357666016,0.00165959,917.414,-143.116,1.97305,-0.0486918,22.942200792953372,-2.89814,330000,250.6991729736328,63.73015714623034,-0.398778,-10.6368,617.833,0.338629,274.316,0.148731,-2243.58,429.025,7.171344900503755,0.572734,-2.01116,274.314,2.08672,-0.00985339,-0.00376716,33.61661145277321,0.000387729,-613.425,0.136103,12,-1.02566,0.123152,0.61121,-149.905,13000,-448.040970503,-534.278273852,4.91204
1047.543362041004,-2600.21,-668.178,3800,154.258,0.197464,54.85402297973633,0.00175619,1145.23,-145.243,2.34037,0.0173777,22.999202908948064,-2.22821,340000,274.2701110839844,63.99302932340652,-0.435934,-10.9839,657.988,0.73349,337.212,0.169543,-2589.96,437.88,7.20878785662353,0.622547,-2.16217,336.821,2.55492,-0.0094414,-0.00359609,33.78503855783492,0.00122076,-665.235,0.12378,13,-1.07742,0.0535638,0.691706,-148.643,14000,-482.814292073,-559.812403072,10.5354
1112.6987784029916,-2857.72,-738.834,4000,159.607,0.225856,67.27852630615234,0.00172643,1207.79,-167.701,2.6725,0.00813606,23.037294659763575,-2.22298,350000,336.39263916015625,64.15343164280057,-0.437391,-10.8868,733.198,0.500672,361.27,0.167299,-2829.55,497.961,7.260995484888554,0.509818,-2.47783,362.807,2.43919,-0.00953013,-0.0039691,33.85514149814844,0.000656633,-726.826,0.11871,14,-1.16136,0.111381,0.694052,-164.316,15000,-465.402961164,-565.61881443,10.8034
1177.2861954122782,-2487.16,-694.237,4200,99.7097,0.189686,66.03134155273438,0.00184355,1203.88,-105.384,2.19083,0.000708975,22.98809944279492,-2.05739,360000,330.1567077636719,65.39530375506729,-0.467598,-11.1333,688.233,0.434201,365.584,0.17966,-2446.9,389.625,7.549996752291918,0.417104,-2.43772,366.065,2.42169,-0.0101563,-0.00363704,34.85720755998045,0.000606095,-690.978,0.121745,15,-1.24023,0.11049,0.703708,-103.387,16000,-455.469084902,-543.451768707,8.69618
1240.9422778189182,-2484.42,-628.036,4400,118.974,0.218217,64.10455322265625,0.00181343,1372.97,-115.151,2.51771,0.00351032,23.060828007757664,-1.96904,370000,320.52276611328125,64.430839384906,-0.530037,-10.5869,621.387,0.495555,364.204,0.185594,-2457.73,389.622,7.320615688338876,0.590097,-2.27822,365.065,2.44034,-0.0103639,-0.00374255,34.049395688809454,0.000626112,-621.862,0.126303,16,-1.19826,0.0798064,0.684173,-127.393,17000,-440.665878645,-538.153035056,9.01311
1304.841268346645,-2815.8,-869.585,4600,265.092,0.239643,62.48250198364258,0.001684,1634.88,-153.107,2.51197,0.0748841,23.078430145047605,-1.51186,380000,312.4125061035156,63.64201639499515,-0.471692,-10.1044,864.962,0.68218,386.847,0.164455,-2752.41,554.691,7.2890535574406385,0.583167,-2.30972,389.8,2.72974,-0.00928442,-0.00396493,33.27453269250691,0.000807563,-854.68,0.121739,17,-1.16422,-0.00435306,0.781382,-154.86,18000,-457.097869672,-520.481651929,10.3093
1369.248186711222,-3120.74,-817.636,4800,167.587,0.343622,67.78153228759766,0.00173402,1535.26,-169.131,2.36189,0.0435661,23.09399817790836,-1.47017,390000,338.90765380859375,63.82418830972165,-0.51559,-14.7794,805.462,0.647816,443.964,0.176026,-3106.72,486.734,7.19855036213994,0.5124,-2.36475,445.19,2.56976,-0.00861617,-0.0035956,33.53163976967335,0.00187666,-808.575,0.134526,18,-1.19504,0.0415618,0.748823,-190.281,19000,-464.114261142,-553.224781028,11.8172
1433.7507498785853,-3609.81,-732.411,5000,305.228,0.352648,67.33760070800781,0.00157095,1703.48,-99.1276,2.31531,0.0348475,22.965673511847854,-1.40283,400000,336.68798828125,64.43682672735304,-0.544355,-9.30941,722.016,0.32706,415.21,0.183023,-3534.49,412.421,7.3565978510305285,0.59048,-2.23642,418.078,2.47713,-0.00812987,-0.00364912,34.114555364474654,0.00080928,-729.797,0.146343,19,-1.22949,-0.0150273,0.742851,-102.791,20000,-444.895556869,-512.684168226,9.34316
