AverageTrainReturn_all_train_tasks,(Previous) Eval Time (s),Policy mu Mean,Policy log std Max,V Predictions Max,Policy mu Std,Z variance train,Log Pis Std,Total Train Time (s),AverageReturn_all_train_tasks,Policy log std Mean,Sample Time (s),Policy mu Min,Log Pis Min,Z variance eval,Q Predictions Max,Epoch Time (s),Number of env steps total,QF Loss,Q Predictions Std,Number of train steps total,Log Pis Max,Policy log std Std,Epoch,AverageReturn_all_test_tasks,Z mean eval,KL Divergence,Z mean train,V Predictions Mean,Train Time (s),Number of rollouts total,Policy log std Min,V Predictions Min,Policy mu Max,Policy Loss,VF Loss,Q Predictions Min,V Predictions Std,Q Predictions Mean,Log Pis Mean,KL Loss
-0.6720833255807168,0,-0.00049042905,0.0044,0.006262452,0.0016759897,0.00271488,0.5294174,502.07078390661627,-0.7444871733101003,0.00045234116,57.627747053746134,-0.0044610403,-5.9654503,0.12749298,0.00465761,376.84053834574297,14000,28.245478,0.0023248577,2000,-2.2521324,0.001752255,0,-1.5398193740542938,0.036400698,49.117493,0.0029345464,-0.00042610988,319.21279129199684,0,-0.0046916865,-0.007034272,0.0039310358,-3.9726453,16.065536,-0.00814566,0.0020090197,-0.0024506506,-3.9963088,4.9117494
-5.84942444914875,125.23340497305617,0.03598198,-0.048651926,36.667328,0.25728384,0.77951014,0.7910542,984.0245951381512,-3.552805775518068,-0.118644245,40.9943492943421,-1.1161928,-8.18714,0.13191202,35.416916,484.8231664877385,24000,24.366022,2.6061978,4000,-0.6911305,0.027680777,1,-2.244984666129824,0.014519314,0.42731446,0.09719314,29.391891,318.5954122203402,0,-0.31099787,25.71595,1.1300893,-28.152132,4.1188173,16.820507,1.7635956,25.4873,-3.867178,0.042731445
16.749511487183558,122.36378441983834,-0.04080559,-0.021269174,64.68787,0.28281307,0.7244399,0.8713021,1455.5988543108106,-3.3762624788292235,-0.1153679,40.02461718581617,-1.2343907,-8.457129,0.04551326,61.603016,471.7737982189283,34000,24.795967,3.3504388,6000,0.3162738,0.03740981,2,-4.792392302756481,0.07879846,0.6219722,0.073448084,54.05352,309.38539661327377,0,-0.36938,48.008926,1.0435637,-53.638844,3.4649484,37.653946,2.460785,50.164963,-3.8052192,0.06219722
16.749471961911752,122.1644237418659,0.05709399,-0.057498235,123.34754,0.4242911,0.39099532,1.5165267,1940.0862050266005,7.314733321316613,-0.18213634,41.06446732254699,-0.9960447,-9.003644,0.05443884,119.86859,481.80405715759844,44000,54.447598,11.344955,8000,7.0514755,0.060886692,3,-8.344831609069862,1.2917433,62.780834,2.5522676,86.099724,318.57516609318554,0,-0.6532922,58.867237,2.308865,-88.149864,11.418341,48.65807,10.9119425,82.68405,-3.3658588,6.2780833
44.5947402354261,124.84811807796359,0.21790002,-0.010728588,183.46077,0.60928077,0.20981257,1.9098439,2419.547307835892,-48.44181959951999,-0.2508951,41.070211162324995,-1.850781,-7.563424,0.07916516,168.49123,483.60163147654384,54000,82.216896,20.225605,10000,5.555753,0.09930936,4,-3.394239499549734,1.0976999,23.911861,1.4623063,106.573456,317.68330223625526,0,-0.6965349,36.723534,2.0810435,-105.90152,9.329681,30.156342,19.560051,98.764725,-2.351242,2.3911862
210.18928905069205,120.70786196924746,-0.07062917,0.06595701,225.04794,0.54010886,0.29957956,1.6700723,2893.801988892723,163.24283384834138,-0.24205875,40.69016280444339,-1.8791656,-8.081951,0.06184106,225.86154,472.6714635267854,64000,78.46156,23.950153,12000,4.597042,0.0992874,5,68.88917975945064,2.1155038,23.955578,1.1887481,136.25015,311.2734387530945,0,-0.6517968,77.98826,1.8349177,-136.60526,30.933369,71.16886,23.824057,131.9338,-2.735295,2.3955579
437.13704207204717,122.29134333087131,-0.08209031,0.03212959,362.22043,0.642838,0.18127485,1.914974,3377.423050296027,379.33072106332696,-0.29243597,41.00433403626084,-2.3154967,-7.986247,0.030611584,337.2415,481.00652196630836,74000,136.03792,36.593292,14000,9.091913,0.1303785,6,221.51006518461583,0.123819314,31.4958,0.6232208,173.37701,317.7108445991762,0,-0.86072457,63.38462,2.0297399,-171.55681,29.098112,54.40397,36.30668,167.97595,-2.2282677,3.14958
128.57623095984567,124.90623157005757,0.020900303,0.07212548,334.74988,0.7271537,0.13035135,2.1702256,3861.3797331661917,25.84867939541049,-0.34175566,41.08522803336382,-2.0690117,-8.434108,0.082812816,336.15042,486.8841806096025,84000,93.3951,49.652504,16000,6.795085,0.14623912,7,249.88164026722364,0.34465086,25.398212,0.9536748,202.05025,320.8927210061811,0,-0.7707511,62.895073,1.8886526,-203.8714,47.578743,63.48449,46.211746,201.27698,-1.6841056,2.5398214
372.7456703225579,121.97898020129651,0.030832157,0.021414012,533.5979,0.7839349,0.14278412,2.7228148,4339.7521577687,361.2870203516294,-0.341012,39.954749825876206,-2.2745714,-8.602684,0.098405376,532.4749,475.50204126210883,94000,151.36096,91.05823,18000,8.642074,0.15610832,8,162.0532400457384,1.4602102,38.148453,2.0081244,259.9898,313.5683112349361,0,-0.9130313,82.78167,2.075756,-259.11993,61.020233,77.9856,90.382164,256.53616,-1.3978912,3.8148453
454.7136711653484,124.84958340600133,-0.07249158,0.12527046,575.24976,0.81863075,0.1502363,2.5462763,4822.885258513503,324.3676811870765,-0.3351725,41.26760653266683,-2.4582539,-7.927683,0.041675664,538.4567,483.32830592337996,104000,458.53845,68.961075,20000,9.285919,0.22243011,9,282.6851166217658,0.48655993,94.347786,2.8578942,315.3304,317.2111159847118,0,-1.3200601,53.997684,3.1157415,-321.4367,119.02127,46.257816,71.55198,316.09106,-1.0953664,9.434779
520.1034126449292,124.65479807090014,-0.02758204,0.04324542,787.0414,0.9328111,0.15135604,3.0293615,5304.504863862414,307.7160709640448,-0.4044477,40.947934091091156,-2.2450116,-11.119035,0.08310079,799.2529,485.0769174899906,114000,249.7378,175.63545,22000,10.41111,0.20243222,10,467.90263033017135,1.8460861,68.55124,1.4907568,406.62704,319.4741853279993,0,-1.1574142,10.602069,2.6066585,-404.7758,57.58355,20.154362,174.98776,399.7102,-0.14700595,6.855124
577.777223644211,121.19778049411252,-0.090690315,0.0014881641,653.83655,0.8719724,0.0984108,2.7660153,5777.74890273856,511.71687559618374,-0.43764862,40.51923441234976,-2.3653898,-9.273716,0.09204501,658.84015,472.2475869753398,124000,132.7857,120.87079,24000,9.259844,0.18014736,11,484.2470433650635,2.8362417,34.60972,1.2910055,418.85876,310.5305720688775,0,-1.2671982,77.905266,2.0786486,-417.3466,48.715195,57.123558,121.02204,410.84555,-0.5764256,3.4609718
620.6524708695988,122.19444813393056,-0.10363718,0.0846996,766.2727,0.9330061,0.09968467,2.9333687,6262.610367896967,407.604960247692,-0.42932877,40.96756181260571,-2.410381,-9.870142,0.03519184,765.61884,482.31666758842766,134000,177.00703,149.22794,26000,9.566354,0.22272201,12,539.3302205578619,0.32008988,53.867867,1.6245925,443.14722,319.1546576418914,0,-1.5235314,6.9701586,2.2716448,-442.37158,53.50718,14.524321,147.8717,436.90894,-0.09708656,5.386787
534.7456576176168,124.73969716532156,-0.0021890688,0.09851332,1042.43,1.0455984,0.14741586,3.204944,6741.936001394875,-14.681473511990603,-0.46783146,41.29318437539041,-2.6072412,-9.640592,0.08003877,1047.1311,483.4627836649306,144000,242.259,239.54456,28000,10.195458,0.19886793,13,120.27261579446969,0.6798452,71.02135,0.94725627,634.6621,317.42990212421864,0,-1.3128822,62.047974,2.775383,-633.598,70.01831,72.03729,238.7034,624.52527,0.6791808,7.1021347
703.3365571565039,120.60275377798826,-0.12666011,0.071407065,946.14,0.8798003,0.07927638,2.8905783,7210.3890993441455,325.69815538057776,-0.43878198,40.047537074424326,-2.515329,-6.4933786,0.09301912,959.04663,467.680516182445,154000,220.4787,206.43571,30000,9.793922,0.20232815,14,438.2953789631183,2.1571553,35.22793,1.7348518,502.93323,307.0302253300324,0,-1.5032752,88.055954,2.310541,-496.1009,126.98339,90.02425,206.2917,493.30103,-0.25531018,3.5227928
855.5658485463549,121.37557765981182,-0.08473796,0.09409776,1107.3853,1.051924,0.08912281,3.0697832,7677.070020903833,812.1539177651632,-0.4832799,40.981187699362636,-2.9143844,-9.886028,0.06807913,1105.5715,469.6550122098997,164000,196.14534,224.35983,32000,10.528061,0.20488809,15,487.6326871642551,1.3897607,67.28932,2.1267676,696.1703,307.29824685072526,0,-1.6745609,46.96297,2.6137443,-693.6744,63.429214,31.665863,222.32704,687.3049,1.051081,6.7289324
705.2706969856803,118.40197860216722,-0.13936202,0.06920248,933.93866,0.96359855,0.124988176,2.9004464,8285.964866585564,471.4119376042521,-0.4626083,39.466930989176035,-2.7319212,-8.793285,0.043730322,920.62384,533.5444745691493,174000,410.78735,146.96603,34000,10.001176,0.20041692,16,446.9416423368378,0.24271074,46.283115,2.4216213,617.5885,375.67556497780606,0,-1.5795128,149.66182,2.4618945,-592.8457,764.09174,141.6394,147.88266,599.26807,0.15370363,4.6283116
567.4245652554894,193.75264164200053,-0.060925722,0.01293543,661.702,0.65460277,0.12641485,2.0251024,9032.003638085444,101.08716516450099,-0.44148186,58.174672078341246,-2.7996187,-8.093045,0.028433895,654.2302,743.2792469956912,184000,777.0174,82.56868,36000,5.5005,0.1889006,17,202.60050336821547,0.256635,14.211655,0.1548789,470.8608,491.35193327534944,0,-1.5463686,159.43861,2.205136,-463.95117,279.25665,149.69287,82.656075,459.9273,-1.8523023,1.4211655
