V Predictions Std,R Predictions Std,Policy mu Std,R Predictions Mean,Policy Loss,VF Loss,V Predictions Mean,Q Predictions Std,Number of train steps total,Policy log std Mean,AverageReturn_all_test_tasks,Policy log std Min,AverageReturn_all_train_tasks,Z variance train,Epoch,Epoch Time (s),Policy log std Max,Q Predictions Mean,Q Predictions Min,Q Predictions Max,Policy log std Std,Log Pis Std,Z mean train,Log Pis Mean,Train Time (s),Log Pis Max,Total Train Time (s),KL Divergence,Z mean eval,RF Loss,Policy mu Max,V Predictions Max,Log Pis Min,V Predictions Min,Number of env steps total,Number of rollouts total,Policy mu Min,R Predictions Max,Z variance eval,Sample Time (s),KL Loss,R Predictions Min,QF Loss,(Previous) Eval Time (s),Policy mu Mean
26.7698,0.00153329,0.53225,-0.00472478,-263.1,56.6888,263.725,31.5555,44000,-0.83338,104.848383443,-2.01109,138.673228076,0.0989759,10,160.32899242499934,-0.281321,261.537,-31.8279,361.496,0.169826,2.39263,0.634885,-1.58986,149.9682305639999,13.4338,1776.7940535199982,20.068315505981445,0.370285,17.085,2.69253,354.405,-9.93467,46.1877,48000,472,-2.61057,0.00076047,0.112807,6.214604226999654,2.006831645965576,-0.00925245,237.2,4.146157633999792,-0.0101207
20.5178,0.00143185,0.493795,-0.00470889,-253.397,63.0435,252.36,26.0405,48000,-0.849529,127.228589801,-1.94187,110.985334653,0.103328,11,162.095812045,-0.343279,250.38,-22.5804,357.692,0.168733,2.23562,0.0660441,-1.62816,151.4317278829999,12.7169,1938.708653700999,16.112293243408203,0.607068,14.349,2.33161,344.945,-8.4277,139.443,52000,506,-2.70922,0.000385952,0.0802724,6.2045888110001215,1.6112293004989624,-0.00847803,228.209,4.459495350999987,-0.00395403
29.9199,0.0014438,0.517693,-0.00483807,-290.173,54.6457,290.337,35.2827,52000,-0.855611,122.968548467,-2.11016,112.703533107,0.0675656,12,161.07625751499836,-0.326247,284.666,7.36114,417.352,0.150704,2.30064,0.872673,-1.39562,150.60985885599985,15.2683,2099.8481354439973,33.23124694824219,0.568689,13.8648,2.1911,395.699,-9.64956,121.088,56000,538,-3.0877,0.000304593,0.0784243,6.187688504998732,3.323124647140503,-0.00932785,169.717,4.278710153999782,-0.0793881
31.4463,0.00143312,0.509651,-0.00472295,-290.665,63.9762,291.275,37.5838,56000,-0.894324,137.943882026,-2.11481,135.532277559,0.102617,13,161.38900571400018,-0.337695,286.941,-9.51267,423.686,0.168712,2.36565,0.775204,-1.26158,150.79276175299947,15.7497,2261.203993523998,29.684080123901367,0.708011,14.5967,2.21694,426.334,-8.80642,112.628,60000,564,-2.7132,0.000228862,0.0634576,6.25384928000085,2.9684081077575684,-0.00954299,156.468,4.34239468099986,-0.022123
27.437,0.00151587,0.496185,-0.00450977,-283.525,53.1977,282.851,36.4545,60000,-0.853379,157.877352344,-2.02949,124.746014333,0.0917222,14,162.62030564899942,-0.24358,279.524,-70.6923,381.882,0.162855,2.28457,0.504873,-1.51958,152.14062741699945,13.0808,2423.5004610279993,25.137672424316406,0.431267,14.7382,2.12174,380.252,-9.23312,113.698,64000,596,-2.77776,-0.000144248,0.0677682,6.169849601000351,2.5137672424316406,-0.00975202,152.845,4.309828630999618,1.61026e-06
30.2534,0.00156077,0.49284,-0.00467715,-283.917,60.0054,285.131,38.3406,64000,-0.872885,131.055652245,-1.99552,152.352670458,0.0880693,15,161.5324177629991,-0.345944,279.432,-30.9449,370.324,0.163646,2.35856,0.517843,-1.46526,151.64156797000032,18.8752,2585.321365281996,24.622005462646484,0.61846,11.032,1.99433,365.563,-8.48182,53.7014,68000,627,-2.57872,7.20844e-05,0.0930222,5.904626298998664,2.46220064163208,-0.00968689,129.832,3.9862234940001144,0.00727993
36.9299,0.00146723,0.485974,-0.00483977,-313.045,64.728,314.901,43.5022,68000,-0.897584,159.317218516,-1.73742,127.490079254,0.0777062,16,163.33828785200149,-0.419206,309.285,-80.168,437.177,0.157656,2.31228,0.743673,-1.37207,152.91709047299992,15.7773,2748.678918485998,38.32597351074219,0.581228,17.3171,2.71253,444.207,-12.7422,157.5,72000,657,-2.22012,0.000163833,0.0848506,6.146018280001954,3.832597494125366,-0.00852342,157.955,4.275179098999615,-0.0223025
36.6784,0.0013932,0.439503,-0.00463232,-291.172,48.7437,292.148,43.3616,72000,-0.880673,148.743016156,-2.05446,128.842140752,0.0877743,17,162.24117203199876,-0.36934,286.024,-103.135,408.027,0.158104,2.09126,0.640952,-1.74807,151.79603765399952,9.43332,2911.119524630998,26.246156692504883,0.473792,14.7532,1.92211,405.918,-10.3341,87.7977,76000,685,-1.98238,0.000183035,0.0975062,6.150266643999203,2.6246156692504883,-0.0100984,167.354,4.294867734000036,-0.00337845
36.2604,0.00144016,0.462326,-0.00463366,-293.96,47.7694,292.395,42.781,76000,-0.887649,166.187723211,-2.21751,174.557933674,0.0894968,18,162.5582789480004,-0.387015,289.169,7.32274,398.919,0.162179,2.33008,0.67053,-1.58963,151.914704711,15.7424,3073.2906502649976,28.84839630126953,0.34001,19.6628,2.34882,391.007,-10.8684,10.0975,80000,712,-2.17568,-0.000767678,0.108125,6.148667256000408,2.8848397731781006,-0.00840778,134.698,4.4949069809999855,-0.00958582
33.1412,0.00141724,0.460147,-0.00458007,-295.967,55.3255,295.37,41.7622,80000,-0.846521,170.689558228,-1.62486,188.019764269,0.123685,19,162.63029907200053,-0.203581,289.54,-109.267,418.734,0.145592,2.11147,0.563178,-1.78012,152.49741174599967,13.19,3236.0375483619955,25.57053565979004,0.539815,21.1887,2.24387,427.394,-8.89379,150.434,84000,742,-2.19362,-0.00063925,0.102479,6.024617546000627,2.557053565979004,-0.00902395,155.89,4.108269780000228,0.00991188
