Log Pis Mean,Policy log std Min,VF Loss,Z variance eval,KL Loss,RF Loss,Q Predictions Mean,R Predictions Mean,Number of train steps total,Policy mu Min,Z mean eval,V Predictions Min,AverageReturn_all_train_tasks,Policy mu Std,Number of rollouts total,Train Time (s),Q Predictions Max,Total Train Time (s),Policy log std Std,Q Predictions Std,R Predictions Std,V Predictions Max,Sample Time (s),Q Predictions Min,Z variance train,Policy log std Mean,Policy mu Max,Policy Loss,Log Pis Std,R Predictions Min,Epoch,Z mean train,Log Pis Max,Log Pis Min,Policy log std Max,V Predictions Std,Number of env steps total,AverageReturn_all_test_tasks,KL Divergence,Policy mu Mean,QF Loss,(Previous) Eval Time (s),Epoch Time (s),R Predictions Max,V Predictions Mean
-1.94151,-2.17963,52.3526,0.0613765,2.4162216186523438,11.3382,242.678,0.00138942,48000,-2.58666,0.880603,93.9554,123.916723541,0.462359,469,147.49516970900004,345.687,1892.1506985649987,0.177493,30.5665,0.00187107,345.639,6.086792642000546,-113.28,0.0618895,-0.82715,1.77086,-244.704,2.14844,-0.00440371,11,0.491021,15.068,-13.9901,-0.221774,23.3553,52000,133.518542081,24.162216186523438,0.0117814,145.003,4.354040093000094,157.93600244400068,0.00610499,245.852
-1.82968,-1.96369,52.0972,0.0709984,2.906562566757202,13.1434,255.217,0.00098464,52000,-1.83142,0.59153,92.9778,162.518777829,0.479267,498,147.56336897000028,344.465,2049.950352221,0.17563,30.9119,0.00186937,342.903,6.112356619000366,-17.7391,0.0648727,-0.828038,2.44841,-257.496,2.29284,-0.00467701,12,0.927198,16.4526,-13.0993,-0.252175,25.7728,56000,120.544850708,29.065624237060547,0.0102377,290.662,4.268285624999862,157.9440112140005,0.00711436,258.697
-1.69857,-1.95067,50.0494,0.0704042,2.6692147254943848,16.812,261.012,0.00183457,56000,-1.90302,0.770679,138.214,152.159910169,0.459558,527,145.92900560099952,363.518,2206.1035924339985,0.178962,33.9717,0.00163184,362.462,6.078150314999675,-8.83941,0.065794,-0.891903,2.23306,-262.536,2.25485,-0.00423465,13,0.46065,10.292,-11.4942,-0.315778,27.7259,60000,158.317928315,26.69214630126953,-0.0149197,115.144,4.124198501999672,156.13135441799886,0.00600391,265.007
-1.60462,-2.37717,40.5294,0.0737206,3.044203758239746,18.1899,267.055,0.00157141,60000,-2.33779,0.622465,36.4218,89.9305960305,0.474789,554,146.87249376099953,363.126,2363.2988023219987,0.193778,38.4564,0.00173651,374.401,6.120538682002007,-34.0391,0.0674557,-0.868131,2.33479,-275.978,2.47073,-0.00393164,14,0.950552,13.7094,-11.8263,-0.279501,30.8676,64000,159.734922428,30.44203758239746,-0.0302685,128.64,4.146800073000122,157.13983251600166,0.00589006,276.331
-1.99553,-2.37838,50.3761,0.0702432,2.862673759460449,11.5903,271.461,0.000988559,64000,-2.66766,0.724284,-0.97405,170.419938689,0.443721,584,147.82945931700033,359.418,2521.2418102149986,0.166152,33.5053,0.00186685,351.914,5.985725554000055,1.6988,0.0701343,-0.818672,2.42799,-270.502,2.19619,-0.00425928,15,0.637729,17.1798,-9.12777,-0.367028,27.9177,68000,172.664502799,28.626737594604492,0.0160103,234.55,4.2026311379995605,158.01781600899994,0.00621629,273.745
-2.16439,-2.25901,50.9472,0.0802485,3.459643602371216,14.5594,283.138,0.000667424,68000,-2.01537,0.630576,6.2191,178.485957716,0.43404,615,146.41535991099954,372.69,2677.8762376489994,0.162948,34.4874,0.00187686,368.28,5.986703374001081,-34.6291,0.0800627,-0.821501,1.94642,-287.765,2.13637,-0.00402112,16,0.640138,12.381,-8.90892,-0.335948,28.1681,72000,181.343518293,34.596435546875,-0.0100031,144.896,4.128057202000491,156.5301204870011,0.00646767,287.069
-2.17131,-1.76979,41.8115,0.0817237,3.257572889328003,16.8325,280.767,0.000876206,72000,-2.18478,0.444347,198.505,182.159761377,0.420009,645,147.49088884100001,369.796,2835.836819047002,0.15051,35.4842,0.0019615,361.777,6.10417118100213,-52.2142,0.0773954,-0.818187,2.00357,-287.083,2.00789,-0.00475624,17,0.772912,13.7471,-9.7103,-0.323761,26.6953,76000,168.841640186,32.57572937011719,-0.00557487,127.726,4.233219790000476,157.82827981200262,0.00648517,285.273
-1.90074,-1.81315,48.7548,0.0955805,2.8134827613830566,18.4205,283.182,0.0015316,76000,-1.99264,0.807468,75.3757,199.742880206,0.408967,674,147.34624477000034,382.868,2993.4575030100023,0.156986,35.7938,0.00189583,393.027,6.061426735000168,-60.7575,0.0820167,-0.884763,2.17957,-285.934,2.13743,-0.00385289,18,0.647376,12.0015,-12.6601,-0.353747,31.0444,80000,201.64652885,28.13482666015625,-0.000220979,131.682,4.36567161199946,157.77334311699997,0.00695466,288.073
-1.8159,-1.85413,54.4632,0.0950153,2.640864610671997,11.2913,283.134,0.00163814,80000,-2.22712,0.685087,94.9135,196.835671832,0.412979,701,147.08563814100035,379.007,3150.766296714999,0.161722,36.8955,0.00190678,376.505,6.0197573759978695,-31.3266,0.0856365,-0.882087,2.29228,-288.898,2.12246,-0.00365577,19,0.564227,11.2518,-8.22037,-0.384175,29.3229,84000,198.583874514,26.408645629882812,-0.00924874,164.812,4.213554117999593,157.3189496349978,0.00688831,291.249
-2.08249,-1.75048,37.9357,0.0901314,2.937072515487671,12.5691,288.975,0.00120378,84000,-1.91419,0.788024,68.6336,200.88650588,0.403117,729,148.47375009999996,369.48,3309.6398328829973,0.147031,35.8071,0.00186408,365.397,6.134071641000446,-54.5572,0.0923482,-0.850684,1.9545,-294.391,2.07829,-0.00491198,20,0.643203,12.7978,-9.98477,-0.342363,30.6395,88000,167.405606372,29.370723724365234,-0.00259551,159.169,4.204179333999491,158.8120010749999,0.00680305,293.541
-1.93511,-1.8671,37.1041,0.096756,3.0805137157440186,19.4878,297.158,0.00172935,88000,-2.01898,0.927554,182.303,147.157638987,0.397945,757,148.0330852850002,391.489,3467.919831701998,0.151201,34.8101,0.00179855,385.614,6.115300458998718,-23.1272,0.0928207,-0.887127,2.42916,-300.919,2.19273,-0.00482073,21,0.746766,10.6289,-8.82643,-0.394878,31.0257,92000,176.446879758,30.80513572692871,0.00335105,127.891,4.2663820740008305,158.41476781799975,0.00774325,300.651
-1.97208,-1.79427,39.6447,0.0978123,2.9988481998443604,13.1472,297.826,0.00107959,92000,-2.2814,0.722492,170.305,170.982277811,0.415478,786,146.86700316600036,385.161,3625.038555820998,0.150492,40.971,0.00183919,384.73,6.068184821999239,-65.1239,0.101004,-0.864351,2.41291,-303.076,2.256,-0.00519409,22,0.81802,14.1258,-8.74935,-0.223027,32.871,96000,202.220866031,29.988481521606445,-0.00891365,151.696,4.131916000999809,157.0671039889994,0.0095666,301.471
-2.02766,-1.71424,38.5423,0.105192,3.001469850540161,15.5415,299.516,0.00130481,96000,-3.14563,0.692655,111.635,177.443900293,0.400716,812,148.0823889129997,388.57,3783.640069011997,0.150362,38.1183,0.00190512,390.779,6.055232216999684,5.26314,0.0882547,-0.870402,2.19953,-304.582,2.12679,-0.00453226,23,0.613844,15.2613,-9.23633,-0.355549,34.203,100000,186.21586713,30.014698028564453,0.00102858,147.82,4.184005785000409,158.3216269149998,0.00684548,302.084
-2.25762,-1.68498,47.3682,0.103789,3.3474652767181396,16.2503,322.177,0.000306398,100000,-2.08988,0.693612,190.725,213.197621684,0.406162,840,147.3516179520002,406.829,3941.522050690999,0.131883,32.5539,0.00169571,410.306,6.315463889001876,13.9617,0.100113,-0.816405,1.86242,-326.716,1.94654,-0.00437795,24,0.791261,9.87861,-10.4459,-0.329168,28.4761,104000,185.382138303,33.47465133666992,-0.020321,132.693,4.464528600999984,158.13161044200206,0.00569006,329.538
-2.07035,-2.12278,37.7627,0.112711,3.000483274459839,14.6608,304.362,0.000830107,104000,-1.98265,0.66247,73.7743,179.669175824,0.398584,865,147.036117183,402.002,4099.176559200998,0.146075,37.4061,0.00180721,401.803,6.181844963999538,4.2359,0.0855373,-0.866885,1.77235,-308.102,2.03425,-0.00432919,25,0.658705,14.3874,-8.6158,-0.354971,34.1491,108000,181.996967218,30.004831314086914,-0.00776272,136.583,4.215154896000058,157.43311704299958,0.00698205,309.235
-2.09674,-1.85212,66.9267,0.12437,2.951439142227173,11.7437,306.623,0.000940879,108000,-2.21449,0.561752,124.188,213.533834955,0.396864,897,146.96983593300047,415.691,4256.598968573996,0.149028,40.3661,0.00179852,421.518,6.16381402099978,-22.5622,0.0933899,-0.852524,1.93743,-313.571,2.09182,-0.00421024,26,0.589234,10.0463,-10.1874,-0.291437,34.75,112000,216.337633445,29.51439094543457,-0.0110223,170.527,4.437189784000111,157.57083973800036,0.00630171,314.686
-2.1622,-1.79634,46.7858,0.109658,3.118323564529419,12.0089,324.068,0.00097402,112000,-2.25926,0.851651,66.3486,134.782274785,0.409976,924,148.53403795800023,426.89,4415.393266732995,0.14335,40.679,0.0017768,427.453,5.891454350998174,-17.4115,0.0988191,-0.838448,2.47428,-330.181,2.10334,-0.00410531,27,0.718699,16.9978,-12.6077,-0.445609,37.3905,116000,218.247543869,31.18323516845703,-0.00142275,145.629,4.289562994999869,158.71505530399827,0.00720074,328.047
-2.06231,-1.94728,40.0687,0.115398,2.5906131267547607,12.4489,308.939,0.00121145,116000,-2.89995,0.91617,116.358,226.674025665,0.386553,952,146.0490971119998,422.654,4571.959010509993,0.155162,44.2294,0.00181378,419.263,6.167681286000516,-42.4009,0.0985879,-0.873457,2.61548,-311.448,2.07517,-0.00336987,28,0.643958,12.0084,-9.02298,-0.337776,38.544,120000,229.776518457,25.906129837036133,0.0129717,162.909,4.368931715999679,156.585710114,0.00652626,312.531
-1.93546,-1.94785,36.6123,0.114367,3.1360056400299072,16.019,327.097,0.00153152,120000,-1.75738,0.679372,72.5323,198.735732455,0.403094,980,147.8941310149994,432.33,4730.466345501993,0.159654,44.8751,0.0018584,420.638,6.153040159998454,-27.5685,0.0976189,-0.881609,1.93146,-330.288,2.15643,-0.00395369,29,0.595823,10.8175,-9.61028,-0.354463,43.2938,124000,226.572002528,31.360055923461914,-0.00112014,154.5,4.34989535800014,158.397066532998,0.00670304,331.103
-2.20866,-2.09594,43.602,0.164573,2.941253900527954,13.5682,321.411,0.00047316,124000,-2.36311,0.807417,118.252,290.175646244,0.396239,1010,147.88354232599977,406.445,4888.930866924991,0.152403,39.7238,0.0017575,406.785,6.045718282996859,-34.2265,0.103312,-0.840784,2.10734,-329.042,2.16112,-0.00410907,30,0.604308,17.0564,-10.5591,-0.374223,34.3059,128000,207.396513857,29.412538528442383,-0.0233249,158.637,4.460509401000309,158.38977000999694,0.00627498,327.178
-2.12069,-2.49872,32.5658,0.12193,3.123441696166992,13.7337,342.857,0.00098945,128000,-2.10888,0.560955,-42.5404,254.277050661,0.404267,1037,147.1667548180003,449.37,5046.555744569991,0.158533,44.3937,0.00191723,459.838,6.173565176999546,-9.34515,0.134074,-0.839096,2.28189,-350.087,2.06729,-0.00352432,31,0.807908,23.4565,-10.9397,-0.349192,41.8295,132000,235.003537638,31.234416961669922,-0.0174861,175.413,4.535935658000199,157.87625565300004,0.00699335,350.731
