KLInner,LossBefore,Step_1-StdReturn,Time-SampleProc,Step_1-AveragePolicyStd,Time-Sampling,n_timesteps,Step_0-AveragePolicyStd,Step_0-NumTrajs,Step_1-MinReturn,Time-TotalInner,Step_1-AverageDiscountedReturn,Step_0-EnvExecTime,Step_0-PolicyExecTime,Step_0-AverageDiscountedReturn,ItrTime,Step_1-AverageReturn,Step_0-MaxReturn,Step_1-PolicyExecTime,Itr,KLCoeffInner,LossAfter,Time-OuterStep,Time,Step_1-NumTrajs,Step_0-AverageReturn,Step_1-MaxReturn,Time-InnerStep,Step_0-StdReturn,Step_1-EnvExecTime,Step_0-MinReturn,Time-MAMLSteps
0.052764535,3.1370745e-10,4.1445238373650355,7.402213096618652,0.9989354,46.14292573928833,320000,1.0,20776,-16.312386771241403,54.82806658744812,-0.009491939144282271,18.980448246002197,1.5237994194030762,-1.089231542201563,66.68278360366821,-0.04094913680654205,25.45984955207188,3.4807112216949463,0,0.0005,-0.031832248,11.325724601745605,66.68279004096985,18333,-1.177377149144811,56.31675371717555,1.1795945167541504,3.6446920036685375,18.674204349517822,-16.163561967492132,11.325896978378296
0.05445209,8.085541e-10,4.844879911344991,7.01363205909729,0.9933915,45.25379395484924,640000,0.99509597,19541,-18.57116239469837,52.52801561355591,0.13099510845049725,18.854801654815674,1.4195775985717773,-0.949905819090434,55.89472675323486,0.10456765886255663,36.13882138203773,2.9994587898254395,1,0.0005,-0.026169682,3.209770679473877,122.5815942287445,16884,-1.0397658398347398,35.99395599367858,0.15720415115356445,4.2331310854903315,18.423446893692017,-16.785320371733395,3.2098917961120605
0.06850294,2.7443907e-09,6.2052598998616615,5.632129669189453,0.98837245,43.39338541030884,960000,0.9902116,15660,-16.946490358548868,49.295464754104614,1.9476694776346295,18.163221836090088,1.0370979309082031,0.37974206659865584,52.631195068359375,2.0527539154674597,53.64859601988533,3.0186760425567627,2,0.0005,-0.014950249,3.1976559162139893,175.21326732635498,12724,0.35141234489121803,92.47254163268755,0.180647611618042,4.738435054399258,17.75606632232666,-16.7216569053233,3.197777509689331
0.045877926,-1.2611346e-09,9.859384535990955,4.3494017124176025,0.98356205,42.24485921859741,1280000,0.98539907,11724,-29.19562523843285,46.8199417591095,5.8653050714607,17.631142377853394,1.0244505405426025,3.6446064687095374,50.122397899627686,6.5018852481091045,73.531695905378,3.057080030441284,3,0.0005,-0.010668639,3.1852755546569824,225.33615899085999,9435,3.9106345070219817,91.83088368915887,0.15897083282470703,6.998474938092058,17.275442600250244,-17.567770552375677,3.1853976249694824
0.037878923,2.606668e-09,13.687610685714139,3.5616440773010254,0.979167,41.80421781539917,1600000,0.9809133,8884,-37.56111645451871,45.57935333251953,8.854044030958187,17.47722029685974,1.0322208404541016,6.530688686707623,48.87253451347351,10.133281452681342,98.2251203045752,3.093151092529297,4,0.0005,-0.008237391,3.1949801445007324,274.2092101573944,7554,7.279434154673519,147.82076001709635,0.1558079719543457,10.742510694937888,16.973357915878296,-20.631051342748517,3.1951000690460205
0.031927332,4.2418496e-10,18.594670832427575,2.6960933208465576,0.97539586,41.46469521522522,1920000,0.97678584,6471,-36.061967405474775,44.37862491607666,15.5812614290277,17.186090230941772,1.0444769859313965,12.790680239258654,47.69452953338623,18.531813454041753,124.46274502756258,3.1414248943328857,5,0.0005,-0.006855563,3.224410057067871,321.90431332588196,5694,14.864413518708517,122.15151605445423,0.1591019630432129,15.81996105078725,16.939013481140137,-35.635166819875856,3.2245326042175293
0.024398575,9.338541e-10,24.23943156405264,2.315845489501953,0.9718063,41.44674730300903,2240000,0.9729533,5331,-69.38009401394285,43.98484420776367,18.214688302447644,16.981877326965332,1.036095142364502,16.064592960068026,47.27289342880249,22.387760332404497,143.59184650251106,3.1945881843566895,6,0.0005,-0.005655564,3.207341194152832,369.17769980430603,4884,19.485353210923265,154.03310668613835,0.1594095230102539,21.914250818501134,17.087321043014526,-37.38080371327597,3.207458019256592
0.019966532,4.179364e-09,29.822518628257317,2.0226705074310303,0.9679633,41.619364738464355,2560000,0.96925527,4331,-34.039567906760134,43.85951495170593,23.793453999482942,16.99223780632019,1.0564744472503662,21.80071050295624,47.138407468795776,30.31803153722325,206.47000348432422,3.22798490524292,7,0.0005,-0.0048986017,3.2092928886413574,416.3165850639343,4135,27.46678075848765,171.6054915453988,0.15529251098632812,28.272951629040023,17.208802461624146,-53.54245070208394,3.209430456161499
0.019398604,-4.249304e-09,33.02116008111224,1.8267078399658203,0.96462756,42.135112047195435,2880000,0.9656436,3631,-40.63234658165191,44.176265716552734,30.372488019632847,17.36838459968567,1.0722322463989258,29.422567783502096,47.42189979553223,39.81244835485356,157.59881824382225,3.265265703201294,8,0.0005,-0.0038753236,3.178502321243286,463.739004611969,3513,38.413417705999166,161.15384203319488,0.1561579704284668,32.7045304700261,17.313360691070557,-93.4533197635042,3.1786341667175293
0.017618012,-6.638999e-10,38.947179757366975,1.6220998764038086,0.96132016,42.27159309387207,3200000,0.9621961,3291,-59.35514052630771,44.10644841194153,35.416497230819765,17.394965887069702,1.0766661167144775,34.01262791929532,47.435269355773926,47.806457555063645,215.10665217463182,3.3027241230010986,9,0.0005,-0.0033464832,3.2568278312683105,511.17476177215576,3216,45.67811271070679,169.7622804567362,0.15687298774719238,37.54554154632519,17.38757085800171,-36.5923530309413,3.256964921951294
