train-AvgForwardVel,Time-SampleProc,train-MinReturn,train-AvgFinalForwardVel,train-NumTrajs,train-AveragePolicyStd,LossBefore,LossAfter,Time-Sampling,train-AvgCtrlCost,ItrTime,train-EnvExecTime,train-MaxReturn,train-PolicyExecTime,Time-Optimization,Itr,train-StdReturn,Time,n_timesteps,train-AverageReturn,train-AverageDiscountedReturn
-0.023406405688094344,0.26062893867492676,-670.3301962906061,-0.0942774178915076,200,1.0,-1.8626451e-08,-0.014162259,6.766110420227051,0.04974534188886912,8.917617559432983,5.860982894897461,-129.6144211675534,0.5984065532684326,1.8861865997314453,0,154.0848164281788,8.927048444747925,40000,-358.44909384499834,-153.7999956032063
0.012586410566791993,0.25446391105651855,-732.7581392741707,-0.11399790260608551,200,0.9971549,-3.7252903e-08,-0.008326547,6.936163663864136,0.0498442916846156,9.032549381256104,6.0433642864227295,-141.2837436436222,0.5960495471954346,1.8353734016418457,1,156.2757571624889,17.97639560699463,80000,-354.99376595226846,-153.6477657874984
0.010415387875420982,0.24950027465820312,-719.977848860002,0.09051601391629088,200,0.9937902,-0.0014251955,-0.0071815127,6.861071825027466,0.0498766037187081,8.909587860107422,5.975678205490112,-134.8798247972441,0.5887691974639893,1.7923705577850342,2,148.15764331917376,26.892715454101562,120000,-336.11206394689344,-144.80297371333356
0.061985040391871395,0.24834346771240234,-684.8001058745127,0.06884331443218121,200,0.98989636,-0.0007157158,-0.006450161,6.855456113815308,0.049781290040892524,8.91766357421875,5.977406024932861,-132.7629535693659,0.5843863487243652,1.8072688579559326,3,153.06314653319802,35.81697702407837,160000,-335.9323568581167,-144.66443413336688
0.07772279644407908,0.2487030029296875,-701.1331347940807,0.04562922770599505,200,0.98649794,1.1175871e-08,-0.005301664,6.748425245285034,0.04975390048022684,8.839280605316162,5.870790004730225,-129.71388976352463,0.579897403717041,1.8355045318603516,4,154.24985558987004,44.66317129135132,200000,-356.5232285256879,-153.80035571809321
0.05892800153125096,0.2582736015319824,-655.5537934511042,0.07320779086709017,200,0.98358774,1.8626451e-09,-0.0063600554,6.891214370727539,0.049674594282190836,8.976025104522705,6.007677316665649,-123.8876804497137,0.586467981338501,1.819960117340088,5,158.07817538632014,53.645862340927124,240000,-337.63509450198586,-146.1327747094462
0.13022340783334202,0.3327517509460449,-668.1143818110269,0.2048146710420501,200,0.9802212,-6.0535967e-09,-0.0051659336,6.782679796218872,0.049649421913347855,8.942363500595093,5.904852628707886,-124.24298272628984,0.5814001560211182,1.8204622268676758,6,141.87702047366727,62.59503698348999,280000,-368.70188123591475,-158.9371969601092
0.14223057963134264,0.24619531631469727,-676.0768865043315,0.049764630731033835,200,0.97762793,-1.1641532e-09,-0.0060115806,6.910729646682739,0.04979911122587538,8.966630458831787,6.02751350402832,-107.53044725100902,0.5866880416870117,1.8029372692108154,7,156.22500240684573,71.56816697120667,320000,-356.82409861882826,-153.8511577750014
0.1894755870662659,0.28313183784484863,-629.0781366491881,0.1630582734136413,200,0.9752304,-3.7252903e-09,-0.0057355477,6.854430198669434,0.049553114818469794,8.938591241836548,5.976962566375732,-116.28236192782755,0.5817995071411133,1.794496774673462,8,156.24392149779376,80.51334166526794,360000,-312.65753880511323,-134.05030360551774
0.19861835930486071,0.2722766399383545,-632.9761207617039,0.15079613638853806,200,0.9725941,-1.0477379e-09,-0.0049936,6.839498996734619,0.04986409858164223,8.917224407196045,5.963478088378906,-112.10900028594007,0.5811235904693604,1.798840045928955,9,150.99389121949432,89.43727779388428,400000,-311.1941830327602,-134.01768902134418
0.20909487833102566,0.27243971824645996,-653.7378121414464,0.1361455575924194,200,0.9705823,-3.7020072e-08,-0.005556868,6.829372882843018,0.049799975262680055,8.90608549118042,5.952438116073608,-113.72083588628462,0.5817129611968994,1.7977514266967773,10,147.40420570188303,98.34976100921631,440000,-317.6962480832342,-136.4559137951361
0.22524226045436221,0.25424718856811523,-608.9374571178893,0.12960629614191688,200,0.96858656,-1.9557774e-08,-0.005969523,6.8720972537994385,0.049740216924730664,8.92265796661377,5.996626853942871,-116.45970273711474,0.5820181369781494,1.7897312641143799,11,149.3224538114191,107.27873802185059,480000,-314.79576544830314,-135.63478152912128
0.20149383487786598,0.25948309898376465,-622.4216674972082,0.17390670280421894,200,0.9661561,9.778887e-09,-0.005894217,6.893942356109619,0.04954965330555068,8.970581531524658,6.011628150939941,-107.59454035500507,0.5870702266693115,1.8105437755584717,12,144.5425903297309,116.2560293674469,520000,-315.19176685670425,-136.39601533964566
0.24370318438938435,0.25351381301879883,-639.6067960811322,0.2341706065841734,200,0.9632836,-8.381903e-09,-0.005834164,6.998979806900024,0.04965709391146046,9.067484378814697,6.10080099105835,-116.11453897484617,0.5959973335266113,1.8083479404449463,13,141.84711089211652,125.32991909980774,560000,-308.1711655654999,-132.5683534002368
0.2562981929415402,0.24628734588623047,-617.4076743781894,0.21144658565681598,200,0.959602,-8.381903e-09,-0.005538473,6.9285383224487305,0.049502618988587384,8.970245599746704,6.039081811904907,-116.57282835132321,0.5907940864562988,1.7888011932373047,14,147.06780087862495,134.3066873550415,600000,-289.90879255161263,-125.1841474464516
0.27765737989623385,0.25286340713500977,-632.819728261004,0.20178688100218664,200,0.9558423,5.5879354e-09,-0.006239132,6.919889688491821,0.04947541996943505,8.982138395309448,6.038283824920654,-112.61825286432132,0.5839788913726807,1.8027863502502441,15,144.14232428021103,143.29553651809692,640000,-305.80143859977545,-131.41952824719158
