Time,train-AverageForwardReturn,train-EnvExecTime,train-AverageCtrlCost,train-PolicyExecTime,Time-SampleProc,Time-Sampling,train-AverageReturn,LossAfter,train-MinForwardReturn,train-MinReturn,train-MaxForwardReturn,train-AveragePolicyStd,train-StdReturn,n_timesteps,train-StdForwardReturn,LossBefore,train-AverageDiscountedReturn,train-MaxReturn,Itr,ItrTime,Time-Optimization,train-NumTrajs
17.56423592567444,0.002470074507292828,12.116373300552368,2.1353311804029858,0.7761435508728027,1.4664320945739746,13.352715015411377,-60.7416980353169,-0.01713165,-1.5771175193531908,-323.3653975506155,1.5971628556917754,1.0,60.38599662720671,40000,0.4262060343437805,-0.010245802,-41.06407101876794,25.087851327747913,0,17.555105924606323,2.7183539867401123,760
35.043607234954834,0.01866594326327577,12.149195909500122,2.1464345030500795,0.7632818222045898,1.4193699359893799,13.36462140083313,-58.15445415210492,-0.010667013,-1.544489346407214,-290.4205039309532,1.239367797372643,0.9982743,55.69571840542784,80000,0.4206986991271691,-0.011607637,-39.99455372324359,8.420360832968765,1,17.458207607269287,2.6545915603637695,774
52.37878370285034,0.008831346435899702,12.0658278465271,2.133662073461138,0.7586414813995361,1.4065635204315186,13.277461290359497,-58.118273497332694,-0.0088498695,-1.177935403944511,-334.9735590374133,1.186309288156013,0.99521875,55.18892657989882,120000,0.414190160795243,-0.016407628,-40.281620278612415,3.061275952325879,2,17.328682899475098,2.620607376098633,784
69.8692946434021,0.01501819621423587,12.176740646362305,2.123968750339774,0.76436448097229,1.425325870513916,13.40084433555603,-56.96981356520834,-0.008098108,-2.0619144853314277,-346.5812789536623,1.972880329060887,0.99177545,56.658166346552875,160000,0.4421651942284466,-0.016776253,-39.25366148860895,31.99637806664419,3,17.484174489974976,2.638274908065796,783
86.99143695831299,0.0021583134118458957,11.885509967803955,2.121416353306445,0.7495393753051758,1.3940131664276123,13.091631174087524,-53.591272278163316,-0.00731085,-1.5166285222071174,-277.40705407706247,1.3960865234276894,0.9877319,50.31392090789666,200000,0.4309831290783167,-0.0147046745,-38.00609654828731,8.6232222509651,4,17.11616325378418,2.6025872230529785,839
104.17426586151123,-0.004822819580898228,11.980427503585815,2.1213743812762793,0.7522251605987549,1.3971211910247803,13.182066679000854,-54.04237065924174,-0.0076241028,-2.1606085143792773,-267.69217368411694,1.768993398773579,0.9843296,50.51780540380545,240000,0.4397962183863995,-0.017026782,-38.02912226535338,20.584088813654002,5,17.17645502090454,2.5743019580841064,820
121.40682435035706,-0.009447474517539467,12.002248764038086,2.11867104590744,0.7489166259765625,1.4121267795562744,13.196559190750122,-53.80677960489248,-0.007597231,-1.757888942395226,-301.97911920076695,1.1842250433414239,0.98122525,50.52915900790811,280000,0.4217117725288252,-0.017935615,-38.2342985066089,9.733220693225705,6,17.22624659538269,2.5890586376190186,840
138.56154894828796,-0.016037785166135278,11.944317817687988,2.109880565541373,0.7467572689056396,1.4063341617584229,13.13351845741272,-53.00023477164205,-0.0076302853,-1.338692561459459,-314.040561330085,1.6215838594902672,0.97827876,48.94204086288814,320000,0.42738869717556477,-0.019574875,-37.93101576263636,13.043727922408987,7,17.148114681243896,2.5848217010498047,848
155.55061960220337,0.018134143584573086,11.849573612213135,2.106768747791226,0.7356221675872803,1.3734407424926758,13.020254135131836,-51.94940886757867,-0.0074795103,-1.7269397613435973,-284.44866129637313,1.3286412021409675,0.97548634,49.53201073139624,360000,0.435770383449951,-0.017921928,-36.96711189383766,7.162574866105807,8,16.9826238155365,2.5597753524780273,847
172.7020387649536,0.014590062411828123,11.949874639511108,2.103757554187391,0.74782395362854,1.413295030593872,13.137315273284912,-48.54630709635243,-0.007018349,-2.1236611343485308,-327.06292988981636,1.3610163213870459,0.97245646,48.60206089743262,400000,0.45362402117778855,-0.020740377,-34.803948709823146,21.965832542479223,9,17.144679307937622,2.5726277828216553,890
189.96293687820435,0.004228352041712873,12.047025918960571,2.1072745052260347,0.7465403079986572,1.3965559005737305,13.232867002487183,-51.06788530318815,-0.0077655655,-1.6124429850468016,-343.2580844762342,1.3256519857879516,0.9697251,48.33831113613551,440000,0.4400953368335701,-0.019142494,-36.58293399341841,8.530897365411967,10,17.254552841186523,2.5958096981048584,861
207.6003897190094,0.027795059420008008,12.312868118286133,2.1168160583807545,0.7632462978363037,1.430832862854004,13.521245002746582,-45.918082386829106,-0.0068890755,-1.678119647412566,-289.4531373209961,1.9094457934411726,0.9669952,44.02770586523395,480000,0.4328396295530876,-0.012271916,-33.842563644890774,21.567588921841732,11,17.63140058517456,2.656560182571411,939
224.90409135818481,0.003626817026301809,12.052496433258057,2.1040507559769437,0.7521898746490479,1.411163091659546,13.24773383140564,-47.65830720408673,-0.0074576326,-1.818045369542583,-331.3504484513496,1.6594488479753957,0.96410525,48.55355205700166,520000,0.47465870180192843,-0.02188235,-34.479991403288665,12.57498510154089,12,17.29699945449829,2.6116693019866943,928
242.11234092712402,-0.021841842025186933,11.975795269012451,2.101530572041577,0.7468960285186768,1.427903413772583,13.164984941482544,-47.91084122057298,-0.008062912,-1.2516186859110754,-278.7407748500762,1.9461520963312444,0.96152127,46.951895221675116,560000,0.4487306953326373,-0.013520671,-34.88947502303287,38.562507731029726,13,17.201902151107788,2.583402633666992,932
