Step_0-MinReturn,Step_1-PolicyExecTime,Step_0-NumTrajs,Step_1-StdReturn,Time,Time-MAMLSteps,Time-OuterStep,Step_1-MinForwardReturn,Step_1-MinReturn,Step_1-AverageDiscountedReturn,Time-Sampling,Step_1-StdForwardReturn,Step_0-MaxReturn,Step_0-StdReturn,Step_0-MaxForwardReturn,Step_0-AverageReturn,Step_1-AverageReturn,Step_1-AverageForwardReturn,Step_1-AveragePolicyStd,Time-InnerStep,Time-SampleProc,n_timesteps,Step_1-EnvExecTime,Step_1-NumTrajs,Step_0-StdForwardReturn,LossAfter,Step_0-AverageCtrlCost,Step_0-AverageDiscountedReturn,Step_0-MinForwardReturn,KLCoeffInner,ItrTime,LossBefore,Step_1-AverageCtrlCost,Step_0-PolicyExecTime,Step_1-MaxForwardReturn,Step_0-AverageForwardReturn,Time-TotalInner,Itr,Step_0-AveragePolicyStd,Step_0-EnvExecTime,KLInner,Step_1-MaxReturn
-350.0328653710124,4.151449680328369,4037,49.222799151031325,87.79344868659973,12.813196659088135,12.81306004524231,-1.6205394212011555,-348.1383108281544,-40.770863161092784,69.1940450668335,0.4662322379766998,17.958552642328748,49.26269978020788,1.9087422484271046,-54.311928720764136,-54.226297301520056,-0.0018573826238580595,0.9998816,1.3828563690185547,3.721461296081543,320000,29.59549379348755,4024,0.4675674680542391,-0.007639447,2.3598452095247984,-40.908220574530986,-1.6564085991702768,0.0005,87.7934422492981,8.845289e-11,2.35606234994377,1.7807657718658447,1.7510244357155202,-0.010687838540763312,74.49727845191956,0,1.0,29.75867223739624,0.0077047898,15.671319154806335
-410.149853374084,3.522350788116455,4052,48.71318437264363,164.37932896614075,4.29473876953125,4.294611930847168,-1.6757026173715763,-350.9201840705472,-39.96930799694886,68.11504054069519,0.48094780316459435,20.90821579403878,49.15525924547847,1.7779872354953334,-53.53548588059104,-53.06432968025049,-0.003096729950132877,0.994769,0.21140527725219727,3.703775405883789,640000,29.36566472053528,4057,0.4643369642984499,-0.005681266,2.348435927921664,-40.25480356061245,-1.5630100708894832,0.0005,76.58040452003479,4.7466886e-10,2.3497109147191955,1.2401008605957031,2.0293203484190125,0.006705547786102622,72.23341989517212,1,0.99511594,30.023290634155273,0.011266036,37.16383272129953
-331.0348122416213,3.503904342651367,4394,45.051014621975995,240.7216866016388,4.284759283065796,4.28463077545166,-1.5667012091802623,-389.9700078956632,-37.84023089139307,67.73892974853516,0.4748143823099562,14.683267017844125,44.487384664308735,1.7645278412377396,-49.16590628112809,-49.122017720509795,0.010811732342212393,0.99025196,0.20766544342041016,3.849691867828369,960000,29.43497109413147,4380,0.4759642250138775,-0.0048601665,2.3447398973138807,-38.005575879721455,-1.7236556788238775,0.0005,76.34168481826782,8.479605e-09,2.3463997913772645,1.2257189750671387,1.5236104525606602,0.0008224011177080528,72.00618529319763,2,0.99088895,29.689111709594727,0.0133942785,13.714146800426725
-370.99685850754463,3.515869617462158,4663,40.45800341716352,317.07842803001404,4.3062660694122314,4.306136846542358,-2.048712655467399,-381.19611465762796,-35.2122768138548,67.50866723060608,0.49222604421327226,23.354074897950248,42.14584885451938,2.099183381004638,-45.6281589317885,-44.57770697138884,0.023255952836920585,0.986993,0.21115970611572266,4.055394649505615,1280000,29.35454797744751,4769,0.48801584020198174,-0.0046306755,2.339989193953825,-35.724893174744146,-1.9173579187315064,0.0005,76.35606932640076,4.010763e-09,2.343736601930502,1.2143516540527344,2.0149063360662045,0.020155475300773135,71.99736404418945,3,0.9873505,29.54651951789856,0.012285821,22.442470625693836
-413.2883503001555,3.492326498031616,4892,38.27828977580802,392.9643087387085,4.306048393249512,4.305919408798218,-1.7284455379883865,-338.9918483993689,-33.417353138040234,66.95476150512695,0.49973656730197036,46.32991424193621,40.315176230979304,2.218621918677327,-43.266352998539816,-41.86470038593262,0.03665327744459803,0.9833484,0.2103581428527832,4.131433725357056,1600000,29.09702706336975,5039,0.5046551940449793,-0.004295271,2.34634203610511,-34.20029307701032,-1.910194738678928,0.0005,75.88529682159424,3.971266e-09,2.343871147951412,1.5742058753967285,2.4227723931997005,0.038106140222731504,71.52529001235962,4,0.98376954,28.91780161857605,0.013022596,60.28748401170874
-353.33296110753884,3.4811668395996094,5151,36.65422246192864,468.3289096355438,4.2866387367248535,4.286508083343506,-2.1018866240245337,-313.0648558236728,-32.73735335876095,66.31369614601135,0.504167991056643,14.80009723910785,37.51695593269226,1.7621795391521653,-40.68414976511082,-40.668432781439805,0.02592688511720361,0.979033,0.20911049842834473,4.262941122055054,1920000,28.973556518554688,5177,0.4971651137361583,-0.0044648643,2.3309518970820893,-32.64274504331986,-1.7481952660252709,0.0005,75.36391305923462,4.6155493e-09,2.336742750257848,1.186277151107788,2.169662409701667,0.027994900613464397,71.0242052078247,5,0.9795886,28.834064960479736,0.014685996,37.5623555698691
-344.3876712282323,3.420895576477051,5499,34.93433446831636,543.2974393367767,4.31348991394043,4.313364028930664,-1.9814923365045893,-351.4175483322252,-31.77714929550206,65.81104373931885,0.5112855835073651,41.804776708956496,35.90064532011531,2.1576153270675142,-39.28513450972522,-38.729564472806864,-0.006206707789850329,0.97451156,0.21227550506591797,4.325676679611206,2240000,28.634140968322754,5593,0.5153002325940322,-0.0038907425,2.3362082510952873,-32.016792863931535,-2.364362372312968,0.0005,74.96790409088135,-2.0899542e-09,2.341488561043023,1.1699018478393555,2.0434982189293533,-0.00904124869376675,70.59474420547485,6,0.97490823,28.75691056251526,0.01058984,33.19696322942558
-339.42220174013687,3.3872997760772705,5787,32.61626542369225,617.6666533946991,4.2933595180511475,4.293227195739746,-1.9200339629942462,-331.8848682321394,-30.75960439018508,65.1079330444336,0.5134445857862666,43.06044521252528,33.79425728367977,2.961254247921015,-37.42986247004046,-37.14936185931194,-0.007341475910492716,0.9695276,0.20883989334106445,4.4468114376068115,2560000,28.286857843399048,5816,0.5218199434044525,-0.0042100693,2.3333352559099283,-30.847244239241427,-2.02042727662622,0.0005,74.36863350868225,-1.16811e-09,2.338040226357041,1.173290729522705,1.8359213145156252,-0.016187310088038913,70.01848936080933,7,0.9700673,28.44954490661621,0.0125343185,16.65153318104562
-347.42212880302765,3.3262736797332764,6130,31.374854435977408,691.6238555908203,4.308037281036377,4.30790638923645,-2.681611328750906,-324.3055549553409,-29.49535213085323,64.5682761669159,0.5225217579646215,31.16124553764797,31.168021834143563,2.1885534558369386,-35.09914697909371,-35.32186773588798,0.0010918912534727148,0.96467406,0.20859789848327637,4.549975872039795,2880000,27.943814516067505,6082,0.5210834164582788,-0.0047320067,2.338177071506865,-29.31946055306397,-2.396441222012936,0.0005,73.95656251907349,-2.055911e-09,2.340201117667744,1.1603641510009766,2.0803714942304294,-0.011449928555603162,69.589102268219,8,0.9651578,28.335084199905396,0.013068428,28.898439225671602
-349.9925333518491,3.7022433280944824,6382,29.51786520715626,765.9520604610443,4.262580871582031,4.262456655502319,-2.10780438742119,-319.70230025833064,-27.735196398264762,64.81219363212585,0.5308266171238529,31.617430492745665,29.915576347277995,2.382368256207978,-33.20012667744668,-32.900414323779806,0.02385499389548464,0.95956194,0.20890188217163086,4.708084583282471,3200000,27.930317401885986,6431,0.5294617239398739,-0.004199948,2.339812610744415,-27.930455098843545,-1.83661143965701,0.0005,74.32758450508118,8.7149543e-10,2.3435801104141674,1.147608995437622,2.356445937920942,0.018436322137482697,70.00496411323547,9,0.9602418,28.27202844619751,0.013807053,36.08059428842638
