Step_0-AvgForwardVel,Step_1-AverageDiscountedReturn,Time-SampleProc,Step_0-StdReturn,Step_1-AvgCtrlCost,Time,Step_1-NumTrajs,LossAfter,ItrTime,Step_0-AveragePolicyStd,Time-OuterStep,Step_0-AvgFinalForwardVel,Step_0-NumTrajs,Step_1-AveragePolicyStd,Step_0-AverageDiscountedReturn,n_timesteps,Step_1-MinReturn,Step_0-PolicyExecTime,Step_0-MaxReturn,Step_1-MaxReturn,Step_1-AverageReturn,Step_0-EnvExecTime,KLCoeffInner,LossBefore,Step_0-AvgCtrlCost,Time-InnerStep,Step_1-StdReturn,Step_0-AverageReturn,Itr,Step_1-AvgFinalForwardVel,Step_1-AvgForwardVel,Step_1-PolicyExecTime,Step_1-EnvExecTime,Time-TotalInner,Time-Sampling,Time-MAMLSteps,KLInner,Step_0-MinReturn
0.0082255087793738,-15.760053045983598,0.8067452907562256,51.50238385267255,0.049991287165602125,39.63707256317139,800,-0.0048383437,39.637064695358276,1.0,13.177944898605347,-0.0047080854391742455,800,0.99990684,-15.981651716255165,320000,-195.9276199001748,1.498185157775879,182.4430087205853,178.58100659631864,-35.60263940947549,7.7728307247161865,0.0005,-1.3373789e-09,0.050136315161061984,1.6008169651031494,50.24347791112998,-37.41104448721691,0,0.01435154187705751,0.017149983251614032,3.4879398345947266,7.954121112823486,25.915661334991455,23.464012622833252,13.178246259689331,0.0064867525,-217.96051772115493
1.1945203973164099e-05,-18.992773621626952,0.7565367221832275,50.88081291898216,0.050008918126088736,66.23645448684692,800,-0.0033376436,26.595199823379517,0.99798506,3.1875088214874268,0.0321468953959462,800,0.997999,-17.453958387448107,640000,-228.00269292325063,0.9075405597686768,122.52089736154934,142.06202406250299,-43.07841872696002,7.870390176773071,0.0005,-3.4496192e-10,0.05004228018118728,0.16768717765808105,50.67609100162865,-39.05036701733299,1,0.006041601209989329,-0.020484709135643465,2.925895929336548,7.910742998123169,23.382335662841797,22.40822672843933,3.1876540184020996,0.007682345,-250.17292302250024
0.006708629453221034,-17.345170946045272,0.7913413047790527,51.218835000822274,0.05008931709253285,92.98361158370972,800,-0.0028862385,26.746581554412842,0.99529576,3.2495648860931396,0.04644511646146555,800,0.9953248,-16.402722722451678,960000,-366.1566160054207,0.8997387886047363,141.98252811978492,145.97625594112287,-40.54620436075261,7.918746709823608,0.0005,-2.037733e-09,0.04998315625785839,0.16853022575378418,53.02991269282894,-37.560767802949684,2,-0.0034773836482675934,-0.007926303499393444,2.881702423095703,7.9443042278289795,23.47361969947815,22.46357250213623,3.2497050762176514,0.008401053,-253.97150650035343
0.01463066141194495,-15.374773857501198,0.8012135028839111,53.605099133686224,0.050128492937137274,119.54244089126587,800,-0.0023461508,26.55827498435974,0.9923857,3.1941416263580322,0.004162714589277856,800,0.99222636,-15.44056333784989,1280000,-241.3596886998128,0.9059996604919434,214.21407117060946,138.27557326695387,-35.49142250580623,7.815912485122681,0.0005,-4.9978492e-09,0.05016081677216644,0.1688838005065918,50.75500564580371,-35.87003906817489,3,0.015571593766025713,0.015984642386014904,2.8980393409729004,7.920138597488403,23.337122201919556,22.316811084747314,3.194288492202759,0.009837196,-262.381995938853
0.007728427744141717,-15.946701044887984,0.7987864017486572,50.94460575379334,0.0502786020671028,146.25309896469116,800,-0.0024350798,26.710097789764404,0.98940265,3.175413131713867,-0.011176993323626481,800,0.98943555,-16.03640992110689,1600000,-224.2309536321158,0.9122555255889893,165.23202625559554,128.1628129307192,-35.57511344182456,7.9372406005859375,0.0005,7.0780515e-09,0.05021811550535573,0.1746203899383545,50.81732751003642,-37.12368032508587,4,0.030103370822964465,0.015301451550445652,2.8831026554107666,7.978919267654419,23.50978398323059,22.486379146575928,3.1755592823028564,0.009418619,-215.6984891091848
-0.016614542198904098,-17.469020531715998,0.7850005626678467,49.04701083167913,0.0499271181428568,172.92505598068237,800,-0.0021776166,26.671252727508545,0.9870655,3.2319183349609375,-0.02822308654910652,800,0.9869331,-17.343979103211222,1920000,-202.48794672074436,0.9083766937255859,121.17584745512325,115.98387672022542,-40.16758001686423,7.882934093475342,0.0005,6.6608175e-10,0.04995210915818407,0.1717071533203125,50.65266574905432,-41.87374866863178,5,-0.07514700017020287,-0.00804535629771182,2.917952299118042,7.940289258956909,23.412474632263184,22.40558934211731,3.232067823410034,0.009785252,-197.07556908206072
0.013995717140831877,-15.196890242438812,0.7833380699157715,50.378953206839604,0.04990515112824998,199.3861119747162,800,-0.002606211,26.46047568321228,0.9859462,3.1956915855407715,0.03422867849297547,800,0.9861357,-15.057398853854252,2240000,-200.62344196767728,0.8982982635498047,161.3899208217773,172.6141884473801,-34.925028512543804,7.810895919799805,0.0005,-3.4892935e-09,0.04996712381403308,0.16890215873718262,51.27433353213269,-35.82054911196793,6,-0.004548831543521474,0.0183074491188615,2.8797049522399902,7.925387620925903,23.24276876449585,22.240482568740845,3.1958401203155518,0.009983806,-199.58472249739967
0.015552988784815026,-15.961546465905581,0.8125097751617432,53.072761447635855,0.05026524740591942,225.99065351486206,800,-0.002410385,26.603806734085083,0.9843152,3.2171308994293213,0.01880444259642956,800,0.9844142,-15.730173557031186,2560000,-275.2433449166995,0.897329568862915,246.92562830967879,140.9176376445453,-36.54916593961702,7.927901268005371,0.0005,4.2693684e-09,0.050097663093860906,0.16959285736083984,51.37310318595458,-35.448461031919564,7,0.032972450538124524,0.010227049100661885,2.866391181945801,7.9113450050354,23.364325284957886,22.332046508789062,3.217282295227051,0.009121644,-213.10646295565084
-0.014050546169453367,-16.31727451168966,0.7714903354644775,53.076556238055105,0.050360019127292155,252.48270416259766,800,-0.0024923976,26.49146342277527,0.9821852,3.154662609100342,-0.00515700122083133,800,0.9820248,-17.67936767971649,2880000,-225.4697458842277,0.8971030712127686,134.47687969586656,164.1806423593671,-38.80496027058784,7.8944902420043945,0.0005,8.407048e-09,0.05026481460150827,0.16980981826782227,50.03253484514059,-41.397717459428144,8,-0.010319032750450421,-0.001128431171029888,2.892099380493164,7.928687572479248,23.312361240386963,22.32134461402893,3.1548097133636475,0.0076763653,-303.8648623484148
0.001738294818525114,-17.534686846628908,0.796015739440918,49.70036084888281,0.050399512016887776,279.0292558670044,800,-0.0026921749,26.54595184326172,0.9799685,3.2031614780426025,-0.004422082062651956,800,0.9798289,-16.69046090536333,3200000,-238.40412218113025,0.900158166885376,155.3935180448579,178.07274336946395,-40.34890354033067,7.8780903816223145,0.0005,-2.253806e-11,0.05030097369539819,0.16927194595336914,52.4680438796298,-37.93316730764384,9,0.014203467323898225,-0.010376476545025175,2.8726675510406494,7.9603564739227295,23.31633448600769,22.301254749298096,3.2033121585845947,0.008256362,-192.26288618119304
