Number of train steps total,Number of env steps total,Train Time (s),Q1 Predictions Std,Total Train Time (s),Log Pis Mean,AverageTrainReturn_all_train_tasks,Q2 Predictions Mean,Z variance eval,Policy mu Std,Policy mu Mean,KL Loss,Q1 Predictions Min,Policy mu Min,Q2 Loss,Z mean eval,Policy log std Max,Policy log std Mean,Q1 Predictions Mean,Number of rollouts total,Policy mu Max,Q1 Loss,Q1 Predictions Max,AverageReturn_all_train_tasks,Epoch Time (s),Q2 Predictions Max,Epoch,Q2 Predictions Min,Log Pis Max,Policy log std Std,AverageReturn_all_test_tasks,Sample Time (s),Z mean train,(Previous) Eval Time (s),Log Pis Std,Policy log std Min,Z variance train,Q2 Predictions Std,Log Pis Min,Policy Loss,KL Divergence
48000,360000,266.73613821249455,887.8747,4923.448009776883,6.6676726,-528.3313666406212,-1372.1635,0.019150164,1.3720802,-0.11640187,174.81339,-4799.5947,-5.6581597,3574.5474,0.94689906,0.113134325,-0.9312749,-1362.3005,0,4.616004,3325.2134,5.5755,-573.1407939263786,366.80196753982455,-8.208075,11,-4812.814,25.843418,0.278734,-581.9541654340132,7.903481964021921,1.722224,92.16234736330807,4.728842,-1.9072158,0.011295586,889.8232,-7.6799645,1362.8486,174.81339
52000,365000,270.56202067807317,826.2307,5291.9474722296,7.264192,-568.43157904573,-1590.7885,0.010638558,1.4728695,0.06844596,205.35873,-5267.5244,-5.3774686,4366.5,1.3220141,0.16920155,-0.8638576,-1584.2397,0,5.579148,4127.4,-189.0657,-620.8463367821554,370.5306286420673,-189.01878,12,-5235.8394,28.947998,0.26915133,-583.5562625798793,7.662298423238099,2.2827933,92.30630954075605,4.9895773,-1.8539457,0.01834523,826.88666,-10.487063,1581.1409,205.35873
56000,370000,237.40218711085618,819.53796,5627.134400627576,5.986535,-533.1178616843142,-1202.7913,0.009399928,1.3214803,-0.19817455,189.72853,-4382.482,-5.301698,3674.6445,2.0437386,0.0722934,-0.9180151,-1195.6672,0,5.048372,3373.5662,-115.848366,-527.1497714800284,335.3473910409957,-124.761185,13,-4381.0,31.87285,0.26279992,-569.2619279039952,7.670110593549907,1.8099186,90.27509333658963,4.600076,-1.8764968,0.016887102,818.885,-8.414461,1193.9471,189.72853
60000,375000,246.2726077316329,841.2631,5971.287666526623,6.970423,-563.118360037686,-1604.1077,0.011712971,1.4493518,-0.17068028,177.57825,-5941.9585,-5.5863366,4504.177,1.330013,0.09435761,-0.85741127,-1596.7432,0,5.721003,4320.151,-207.3872,-556.7588833018435,344.0180407864973,-225.01427,14,-5985.348,26.376358,0.25290257,-582.636536206742,7.63056128192693,1.6691291,90.11487177293748,5.0713162,-1.7736714,0.014194871,842.5678,-8.069286,1595.9044,177.57825
64000,380000,262.0748975472525,990.1601,6333.434973277152,6.7801695,-528.7258257771301,-1605.7483,0.0053282985,1.431736,0.053052615,202.81491,-5896.1587,-4.8800344,5184.9565,0.91874874,0.1940068,-0.8603136,-1601.2505,0,5.1521516,4922.8604,-125.703255,-581.7206858620161,359.96123846806586,-96.042534,15,-5938.256,34.940144,0.2623606,-596.0617338801031,7.636115675792098,1.5453703,90.25022524502128,4.8990536,-1.8270762,0.008219214,991.16455,-7.538644,1598.3594,202.81491
68000,385000,239.48626175150275,810.6762,6671.8604996893555,7.286888,-580.8402938495271,-1538.1892,0.010767313,1.4806293,-0.048891995,159.22185,-5968.3594,-5.182475,4872.269,1.122834,0.04614699,-0.86909044,-1565.6437,0,6.2399573,3903.3157,-236.71126,-572.3793103118179,340.3511199429631,-213.21786,16,-5891.506,27.728027,0.23443389,-595.5142862927203,8.428320649079978,1.121806,92.43653754238039,4.7629743,-1.9339283,0.009807218,812.6407,-6.7069874,1552.7192,159.22185
72000,390000,271.45610964111984,906.3786,7041.073089629412,7.347206,-555.7065439999599,-1673.0052,0.0059395414,1.5015912,-0.05002427,178.90399,-6108.266,-7.554974,4331.359,1.3203627,0.33466446,-0.8369939,-1667.991,0,7.0699863,4083.0837,-201.97595,-589.9297502865377,369.62696925364435,-195.1045,17,-6194.643,36.410786,0.24827482,-590.2769746261688,7.659751019440591,1.2984756,90.51110859308392,5.2489686,-1.7441189,0.025298249,906.91693,-7.1230564,1666.8789,178.90399
76000,395000,266.44122982304543,813.3437,7407.49534767773,7.2835517,-578.8812582733677,-1426.9623,0.009950535,1.4970258,-0.05984056,177.06387,-5955.935,-5.9787865,3924.328,0.5506407,0.00552547,-0.8590379,-1425.8374,0,5.833866,3751.5876,-155.27,-607.8191571906433,364.1703790752217,-182.50177,18,-5924.656,29.685387,0.23876347,-584.2223503171127,7.632048005238175,1.4467131,90.09710124693811,5.326194,-1.9493986,0.029079337,814.15967,-8.308781,1421.9844,177.06387
80000,400000,255.32319921720773,902.47974,7761.305115956813,7.3270864,-501.2750666019327,-1760.6985,0.012424128,1.5140401,-0.11221006,169.78923,-6618.6167,-6.0931253,4008.533,1.5926136,0.18102765,-0.83313715,-1751.5638,0,6.2041497,3729.4211,-353.64886,-524.9265946656994,355.49499167408794,-369.85123,19,-6646.087,31.596703,0.23639642,-567.6142799727488,7.822728998027742,1.2861751,92.34906345885247,5.1539226,-1.8512943,0.008107769,901.5256,-5.8524194,1753.2383,169.78923
84000,405000,236.64449622295797,906.6998,8096.637889859267,7.3137827,-573.644287155226,-1879.7932,0.007523355,1.5070448,0.03464859,182.68387,-7234.404,-7.4477763,3867.7532,1.2448496,0.8536178,-0.81422436,-1873.615,0,8.717627,3738.4578,-183.64598,-603.3654912656788,334.9475597003475,-193.10764,20,-7227.882,34.510292,0.23124114,-563.2149685495061,7.6390625620260835,1.8849537,90.66400091536343,5.206406,-1.6996732,0.006102362,906.4467,-7.4886427,1874.7157,182.68387
88000,410000,245.2379000177607,980.84576,8441.700701723807,7.9386644,-547.0338495611743,-1586.2288,0.007904267,1.5618014,-0.0074993344,194.15012,-6451.97,-5.6876807,3871.4783,1.2715095,0.13740766,-0.82103187,-1586.6653,0,5.985158,3684.071,-231.51756,-558.8638318091934,344.0281125223264,-208.99887,21,-6450.5522,29.103626,0.23800278,-574.1878441583499,7.740873706527054,1.7248242,91.04933879803866,5.6096516,-1.7973166,0.004383569,981.9924,-7.8658276,1581.8627,194.15012
92000,415000,241.50983149651438,894.8568,8781.931399830617,6.9823394,-571.1951643789154,-1512.0106,0.0035416316,1.4749432,-0.19566366,171.15533,-6906.124,-6.290198,3650.0408,1.9558926,0.17716646,-0.818923,-1519.323,0,7.1683574,3506.6743,-172.50403,-555.1840720442464,341.3725768420845,-142.65091,22,-6836.0264,34.014004,0.22205244,-596.1076370659914,7.778563067317009,1.2996004,92.08418227825314,5.384372,-1.9284536,0.0074837,892.712,-7.811474,1513.6556,171.15533
96000,420000,260.71081510558724,826.2736,9140.28735902533,8.324679,-496.4782762161858,-1832.1334,0.009369245,1.6055421,-0.2101337,186.22122,-5049.256,-6.292336,4251.937,0.73271716,0.14953649,-0.7931594,-1822.1155,0,6.412024,3920.9734,-380.96835,-563.2956740126591,359.3123167557642,-337.83273,23,-5089.531,37.398643,0.22912057,-565.4041809432803,7.6590633895248175,1.6925806,90.94243826065212,5.7830305,-1.9324186,0.018317798,825.4527,-6.3467226,1825.0651,186.22122
100000,425000,268.50956629030406,859.79205,9508.421937098727,7.4719224,-505.79244041161377,-1558.9121,0.006982363,1.566773,-0.06088854,179.96667,-6986.4116,-6.5819716,3831.9028,1.4285338,0.59268665,-0.7849798,-1555.0479,0,7.712502,3610.75,373.92825,-535.3764814892722,366.1322151366621,386.53506,24,-6919.742,40.559227,0.2347844,-604.4946126241606,7.636149267666042,1.4951468,89.98649957869202,5.6583004,-1.8243532,0.026243482,856.9021,-6.940468,1554.6487,179.96667
