Q1 Predictions Min,Z variance train,Q2 Predictions Std,Policy log std Std,Q1 Loss,Policy mu Std,Number of rollouts total,Epoch Time (s),Sample Time (s),Policy log std Min,Q2 Predictions Min,Q2 Loss,Z mean train,Q1 Predictions Max,Train Time (s),Q2 Predictions Mean,Z variance eval,Alpha,Policy Loss,Epoch,Log Pis Min,Q2 Predictions Max,Policy log std Max,Q1 Predictions Mean,Number of env steps total,Policy mu Max,AverageReturn_all_train_tasks,Alpha Loss,Z mean eval,AverageTrainReturn_all_train_tasks,Policy mu Min,(Previous) Eval Time (s),Q1 Predictions Std,Number of train steps total,AverageReturn_all_test_tasks,Log Pis Mean,Total Train Time (s),Log Pis Std,KL Loss,Policy log std Mean,Policy mu Mean,Log Pis Max,KL Divergence
-116.14995,0.00047992804,351.47336,0.49702337,526.499,1.326178,0,441.0696497550234,8.985953657422215,-3.055741,-74.087326,648.6838,2.788968,1526.2904,373.0604119072668,370.5274,0.0009171704,0.55906856,-447.19882,10,-6.235691,1526.2999,0.9434339,377.51172,139784,4.8472104,111.22070629613981,-0.13078637,1.7950726,147.38209541492338,-6.345282,59.02328419033438,353.80115,44000,147.2479944593956,5.77505,4941.440884375479,4.5638223,45.473976,-0.80551404,0.7040173,24.810501,454.73975
-39.786762,0.0007661219,253.72218,0.5296538,402.11453,1.3630565,0,441.5341473603621,9.183058581314981,-3.1490707,-37.722324,486.23557,2.9742951,1118.9718,370.4054230567999,300.3709,0.0005449216,0.45954245,-364.63248,11,-8.702287,1119.4182,1.3616043,307.9283,145353,5.010261,118.42103448094292,-0.35163814,1.8043051,114.75867466842051,-8.741835,61.94566572224721,255.95625,48000,113.50333169694245,5.547755,5382.009964668658,4.678796,39.06968,-0.8081232,0.56949866,23.732578,390.69678
-38.10441,0.0008783347,194.07513,0.53160757,394.50412,1.2960113,0,454.22044665087014,9.571993340272456,-3.2532895,-50.530674,389.17227,2.1983085,697.58105,383.66792883584276,304.81195,0.00035259855,0.44267565,-345.4441,12,-7.503164,676.5803,1.3429053,306.3985,150989,4.3362937,193.5163919133796,-0.56414896,2.7704208,165.04910785949673,-8.152074,60.98052447475493,195.18301,52000,165.34982658347687,5.3076606,5839.574186886195,4.533926,34.735985,-0.8097744,0.6733603,22.895824,347.35983
-37.72658,0.0012322884,223.27007,0.5331168,443.49356,1.4107013,0,466.20396762434393,9.364068050403148,-3.1514835,-58.76562,528.3288,1.9390904,831.23474,392.51536562433466,335.8646,0.00091988046,0.42955348,-395.81815,13,-6.6643405,813.55066,0.8962388,344.9449,156464,4.700144,187.8045032922358,0.09931087,3.0368009,144.29544771949037,-5.9999924,64.32453394960612,224.10054,56000,150.75647949598886,6.117523,6304.680522507988,5.0081725,32.503994,-0.79132044,0.67877907,29.400585,325.03995
-54.872112,0.002628523,227.885,0.5309607,467.958,1.4050647,0,465.46588135231286,9.71828649751842,-3.3705056,-39.12805,494.84805,1.8302128,737.6952,392.5204573748633,364.78613,0.00010970008,0.417772,-415.5271,14,-7.282942,765.1719,0.9625563,359.9752,162077,5.6114764,171.71482849569966,0.23641084,2.5623152,189.75318586419368,-6.08061,63.227137479931116,225.63675,60000,174.5991598647517,6.270872,6770.509893419687,5.0148396,33.00751,-0.80416644,0.65441376,26.518974,330.0751
-74.30284,0.0003614225,220.62074,0.5532012,438.03384,1.3908623,0,466.3343614838086,9.743270860984921,-3.1664329,-62.73948,530.3458,2.3657196,698.4792,392.99989762483165,347.03687,0.00023192559,0.42403972,-400.47507,15,-8.082426,714.7965,1.0510534,340.26163,167694,5.0891385,259.44411667327773,0.0074379533,2.440201,196.5964525196801,-8.334341,63.59119299799204,219.4673,64000,223.45566396458284,6.008669,7237.979869725183,4.8581867,31.947937,-0.81266296,0.76941264,23.92665,319.47937
-50.392166,0.003836507,228.5987,0.510041,511.8801,1.370517,0,458.60619737487286,9.422081290744245,-3.2224207,-60.69915,490.9959,1.347737,725.6862,384.45695897424594,373.16742,0.00028649395,0.43564054,-427.99777,16,-8.186981,725.9371,2.0,368.46274,173366,5.766956,179.87376589819286,-0.040447183,2.1833863,143.28879949980413,-8.375949,64.72715710988268,229.07802,68000,187.5002018063547,5.951322,7693.039699407294,4.774187,27.402649,-0.808643,0.6932294,25.262007,274.0265
-86.82783,0.00051536766,229.05959,0.4760362,577.09357,1.3606688,0,462.23614410171285,8.945170508231968,-3.300766,-79.091064,761.44257,1.4218963,750.40125,392.1099813422188,392.39612,0.0003652974,0.42793256,-438.92477,17,-7.9404764,773.9459,2.0,383.02277,178814,5.5971184,207.7760068467726,-0.1355807,0.8142864,178.27872080393638,-9.940183,61.18099225126207,227.8011,72000,217.44314700546587,5.8402634,8156.44836849533,5.0551105,28.347034,-0.78914726,0.7483435,32.237305,283.47034
-46.412174,0.000537009,221.14119,0.4948315,548.3603,1.3620614,0,458.2846169276163,9.705410545226187,-3.3915763,-44.04348,580.4349,0.8376721,811.0934,386.2251834110357,387.50497,0.0001231377,0.42007637,-444.54523,18,-7.9614744,806.02795,2.0,392.74774,184527,5.497072,269.8780052645617,0.26981017,0.8010839,212.97554304730383,-7.7399764,62.354022971354425,221.64041,76000,256.56048497184054,6.31104,8616.559356136248,4.7052174,25.828205,-0.85501856,0.79891014,24.450542,258.28204
-110.32883,0.0035667303,214.86078,0.47415465,490.68332,1.3239132,0,458.7829408016987,9.870649090968072,-3.0961633,-90.32446,528.2057,1.4529402,818.06274,384.73208706686273,402.9837,0.00023883658,0.39562827,-441.49365,19,-6.3303857,801.654,2.0,406.3527,190297,6.2215548,218.6056087143445,-0.4502638,2.1581988,169.92127973818134,-17.779598,64.18020464386791,215.69498,80000,242.89812367064775,5.514398,9088.934326699004,4.693635,27.371698,-0.8128185,0.68537676,25.482971,273.71698
-27.962532,0.0010940402,223.99838,0.48944366,306.17828,1.4239064,0,479.22902646427974,11.293361173942685,-3.8819888,-36.559616,284.28458,1.0176668,726.73016,390.16262798104435,406.16306,0.00012148529,0.36564288,-460.6241,20,-10.685195,755.894,2.0,405.92743,195980,7.0514197,259.1455631666006,-0.049067017,0.79732835,228.54733918137964,-14.253184,77.7730373092927,222.52518,84000,244.76773969680107,5.9512305,9556.021438625641,5.1402864,26.081715,-0.7944514,0.66135734,26.69247,260.81714
-63.755615,0.002245138,216.53456,0.48268205,299.52457,1.4763227,0,468.7291935742833,10.348738784901798,-3.2647738,-43.759933,497.36368,1.3021495,741.01025,392.74912150623277,387.34897,0.00015147055,0.35311338,-423.1043,21,-6.433049,750.53625,2.0,378.23645,202008,11.6527195,218.85171005262856,-0.17303398,0.9450291,194.55146846237292,-16.551832,65.6313332831487,217.4585,88000,253.53627296778913,5.8337693,10023.610674199183,4.7891326,29.25832,-0.7970524,0.71590835,28.408918,292.5832
-112.15315,0.0019983144,221.86833,0.47486722,312.2238,1.3230907,0,459.616213186644,9.307341636624187,-3.3154223,-86.572754,322.72858,1.6052353,854.43274,385.81709526479244,423.63885,9.658393e-05,0.33387277,-457.96915,22,-8.455814,852.72156,1.0811868,420.2796,207470,8.7818575,217.94463429427486,-0.28164572,1.2065213,183.98417829242447,-5.2382407,64.49177628522739,222.0032,92000,219.09998009223668,5.7432528,10482.68196275318,4.7715306,24.849062,-0.86188793,0.70186776,25.40852,248.49062
-49.60202,0.00025403567,195.52898,0.43896294,599.7289,1.3625169,0,467.1762560606003,9.80911358166486,-3.2177632,-46.523018,699.98724,0.71113825,681.1891,393.41997112799436,363.54633,0.00046103803,0.32468563,-395.5498,23,-6.1365733,685.4222,1.2374456,354.01556,213214,15.400597,284.6843319424171,-0.030155493,0.8674318,231.59220238659145,-14.222032,63.94717135094106,194.96674,96000,247.08962270533567,5.9731913,10951.108844907489,4.841692,24.777424,-0.83564264,0.8091737,29.2215,247.77423
-55.406563,0.0011612638,221.20227,0.47351396,212.36563,1.3263783,0,466.2994986753911,9.9094981495291,-3.3683753,-37.734753,342.78418,1.1422524,891.2714,391.19177149096504,412.66943,0.00042741577,0.32720327,-446.79562,24,-12.428641,921.4379,0.90304154,402.7155,218943,12.372799,303.20660786953465,-0.868668,1.0371954,244.86114303887135,-10.000234,65.19822903489694,219.89105,100000,245.33041468140127,5.2224684,11419.555985884741,4.8362045,23.11531,-0.8887669,0.61486334,27.573761,231.1531
-53.889977,0.0004632172,190.05391,0.44891468,830.03046,1.3116614,0,469.3733299318701,9.304248922038823,-3.5722091,-53.484207,827.5303,1.8016522,737.12616,392.7229177118279,364.9182,0.00023127324,0.32964578,-397.99045,25,-7.162343,734.98914,1.1595652,358.8645,224364,13.813302,218.39025530064146,-0.17191105,0.7871121,193.3634195704395,-12.707888,67.34616329800338,190.0254,104000,195.65351921817341,5.845085,11886.293964721262,4.2293787,24.086845,-0.8934124,0.8018714,31.900076,240.86845
-52.042023,0.0009245241,187.78099,0.45968848,324.45096,1.2559774,0,460.1414711466059,9.565899664536119,-3.2409492,-40.83843,335.48434,1.7529806,683.501,385.8643037988804,386.37738,0.00033935573,0.32120097,-420.36182,26,-6.565,687.7106,1.7090704,385.37845,230047,17.384872,239.09209749519522,-1.032079,1.0988247,175.39602687577457,-17.231724,64.71126768318936,187.8746,108000,207.215049352289,5.0911493,12344.25209432561,4.5940986,23.404654,-0.93521976,0.62946284,27.024067,234.04652
-56.933907,0.003105944,196.23799,0.468345,347.07535,1.3373822,0,460.6749873906374,9.97448471467942,-3.6587303,-29.183502,364.1729,0.97301435,693.0575,388.1724783289246,330.1157,0.00014382818,0.3179786,-371.76135,27,-6.349065,698.1036,2.0,329.53378,235838,14.439775,238.84421287869435,0.29047775,0.5091181,250.2193022813198,-9.479857,62.52802434703335,194.8608,112000,296.28361179495147,6.2535176,12808.481457474176,4.5357594,21.66377,-0.9211309,0.8445876,27.629868,216.63771
-48.664696,0.0027654455,202.50935,0.488833,263.78162,1.3437537,0,468.35815959610045,9.613677990157157,-3.1237874,-39.90088,305.385,1.797378,796.5588,392.6614838251844,370.78497,0.00050668814,0.3087464,-410.50323,28,-12.03527,810.47,1.0781953,368.75793,241427,10.430345,229.3765454912923,0.27031684,0.56969845,193.50468640800673,-6.140252,66.08299778075889,203.49057,116000,217.57637606021098,6.230014,13277.164450893179,4.6801157,24.013319,-0.9247725,0.78668964,25.524473,240.13318
-43.278,0.00036929562,196.6529,0.47535598,752.26556,1.3563395,0,464.40838638227433,9.545496975071728,-3.3753562,-44.438385,782.59393,1.2875105,771.628,388.4548085210845,362.0711,0.00016532846,0.3098563,-401.34952,29,-6.63804,773.64886,2.0,361.47296,246848,18.34499,281.0430121388014,0.28472316,0.736784,243.8366079701936,-11.26916,66.40808088611811,195.15329,120000,274.78212149704433,6.242976,13742.003701559734,4.4377537,23.702703,-0.9316285,0.79986775,25.509272,237.02704
-46.72305,0.00099476,188.22092,0.47944197,532.4073,1.2867179,0,462.28374340059236,10.399132410995662,-3.2686815,-52.05594,571.43866,0.57456803,694.1143,385.04477491322905,358.72125,0.0002661556,0.31189105,-391.00516,30,-6.129181,692.73224,1.4911608,363.54068,252821,10.613695,275.6804571127912,-0.5007538,0.67113733,225.0582671596287,-6.4102755,66.83983607636765,189.02017,124000,304.7355216757488,5.570181,14204.182252434548,4.1840534,19.06384,-0.9572315,0.7149041,25.037014,190.6384
-51.565845,0.006507856,193.05681,0.4384139,293.6072,1.2756196,0,463.2599082472734,9.265889315400273,-3.0851734,-60.196033,327.6981,1.0271326,752.7564,387.2592492788099,379.09003,0.0002519851,0.3099233,-408.02866,31,-7.181523,739.0934,1.0512986,377.09772,258303,19.38461,318.56667368542304,-0.73548514,0.61886376,254.29499460053952,-8.444235,66.73476965306327,193.11017,128000,293.6360757628326,5.3721275,14665.15812639799,4.418836,21.055922,-0.9510118,0.691415,37.21873,210.55922
-58.377884,0.0026242544,198.76279,0.4822671,664.9594,1.3676502,0,471.26417503133416,9.87600805144757,-3.831794,-68.706985,696.201,0.58262485,656.3929,396.93696297192946,356.67288,0.00035513315,0.30966318,-390.56833,32,-4.8916874,654.05054,1.5892458,355.00168,264164,13.450515,313.43779466903686,0.12890662,1.0860368,285.20888177248963,-7.4408174,64.45120400795713,200.44472,132000,280.5813086064164,6.109956,15135.111442144495,4.5550976,21.878696,-0.9363433,0.76850253,26.122843,218.78696
-43.025063,0.00188816,194.83781,0.45156878,353.18536,1.3373936,0,459.70552100846544,10.209244314115494,-3.1149964,-76.72089,376.39328,1.4709057,689.653,386.3556303163059,346.14148,0.00013629824,0.3063863,-376.74557,33,-6.5368075,692.05927,1.1232991,350.75165,270177,22.368618,299.41317731481246,-0.12076125,0.7251296,313.19108484210284,-7.5899835,63.14064637804404,195.54872,136000,300.9621308773763,5.897896,15597.03689525742,4.608135,21.289686,-0.94269025,0.76553524,27.861828,212.89685
-27.882154,0.00037802878,200.4185,0.4798893,234.10283,1.3263654,0,462.561801165808,9.085446736775339,-3.3175955,-35.636883,238.59302,1.4646689,798.0334,388.11540783708915,413.51993,0.0001990051,0.29627934,-451.399,34,-7.7961683,806.63995,0.9243196,412.48236,275627,13.319114,288.833276875064,-0.31237456,0.5484937,301.8580529320032,-9.934041,65.3609465919435,200.04265,140000,290.32648222902174,5.7432327,16061.170843695756,4.5916905,19.428915,-0.9973542,0.7160129,27.597628,194.28915
-76.47174,0.004449698,197.06413,0.453519,312.4903,1.378443,0,457.923181343358,9.485056978650391,-3.6742268,-41.450706,323.22598,1.4069903,719.8419,381.50453240564093,423.90973,0.00029652522,0.29864517,-455.56134,35,-6.8604503,708.13617,0.86314523,423.44107,281222,18.878908,330.83274487708144,-0.38251123,0.58940685,280.7697483452497,-10.021494,66.93359195906669,194.97377,144000,272.8707000690568,5.683463,16519.254677200224,4.6939454,18.237421,-0.9556182,0.7280849,25.881243,182.3742
-54.16473,0.0011467794,215.5199,0.4598798,502.4379,1.4653304,0,466.9332713917829,9.928598289843649,-3.0725293,-35.0717,546.86707,1.050565,881.9379,389.909961102996,430.22565,0.0005302167,0.3002944,-467.54068,36,-4.893367,882.19214,1.5324078,433.61386,287024,24.890795,330.62322711104906,0.75734633,0.84895647,302.83778497991955,-15.750899,67.09471199894324,218.22736,148000,277.63683524949334,6.6295004,16983.214803323615,5.1875196,20.027437,-0.94967514,0.88862026,29.866505,200.27437
-53.816742,0.0042418023,186.29947,0.4565092,315.30997,1.3096358,0,456.6903629284352,9.438433971721679,-3.044033,-36.159378,338.01608,1.3028171,676.8653,383.12991211004555,421.34683,6.666419e-05,0.29151672,-446.1666,37,-8.365933,680.371,1.4947186,415.40265,292659,22.761805,290.9381184441365,-0.1072343,0.5020541,317.0826240567306,-10.939783,64.12201684666798,184.81273,152000,282.6966480556092,5.913007,17438.937972256914,4.604086,18.409376,-0.93164504,0.8748253,30.948103,184.09375
-54.043766,0.0015611916,209.81248,0.5000639,355.7659,1.448416,0,465.13428204646334,9.738944413606077,-3.3419983,-52.460136,430.5786,0.69181764,913.12634,392.24015261698514,435.0324,0.00045693116,0.29370704,-472.10312,38,-6.925765,915.9098,2.0,430.52002,298378,24.397173,341.247059547768,0.050488364,0.7319076,354.15716839315024,-12.706303,63.15518501587212,208.94238,156000,315.3832945190148,6.0412083,17905.454149436206,5.0423384,23.135588,-0.961615,0.86236405,31.919712,231.35587
-71.97581,0.0008516504,195.14133,0.49139237,256.9313,1.4252696,0,452.7348970528692,9.295045346952975,-4.5912566,-99.390205,408.51624,0.88892573,710.1072,378.9022108609788,426.97357,0.0003041833,0.29653817,-449.67374,39,-9.107554,718.04034,2.0,415.4545,303943,23.2545,333.92726193694153,0.3407828,0.47489157,324.2437155861736,-12.055485,64.53764084493741,194.24469,160000,312.3852263109919,6.2803087,18357.157817009836,4.5647697,21.726915,-0.9375876,0.8963421,27.238453,217.26915
-42.63672,0.0007047985,194.99164,0.4887809,670.0327,1.4416413,0,461.35894575249404,9.408368327189237,-3.6729894,-55.12258,666.46185,0.85048217,738.3807,388.4437065683305,439.0753,0.0002471528,0.29739514,-466.16403,40,-5.958094,752.8454,2.0,432.26215,309617,21.024176,334.4830192533224,-0.087674074,0.304583,331.32609291438155,-16.657644,63.506870856974274,193.8416,164000,311.68538984840325,5.9277124,18818.048555111047,4.58338,18.853659,-0.9523323,0.83294785,26.666882,188.53658
-40.882336,0.0013384039,194.78026,0.4884769,616.49634,1.3401222,0,463.3287159083411,9.626857967115939,-3.1907952,-46.620914,697.7308,0.8333659,723.39886,390.6627874271944,427.48682,0.00019023857,0.29836577,-458.92096,41,-8.083078,727.67145,1.534794,422.9087,315433,17.023396,334.4338625640347,-0.13174762,0.69179714,308.299985560497,-8.286362,63.039070514030755,194.3342,168000,346.86578808859474,5.8910484,19293.93719370151,4.749994,18.738031,-0.97304267,0.78361577,29.6311,187.38031
-42.057606,0.0047385246,192.02748,0.45576277,229.75536,1.3168796,0,472.90627912199125,10.521871249191463,-4.918935,-54.12863,289.0327,0.4758915,710.84973,386.7849109158851,474.95746,0.0002815461,0.3009531,-505.2216,42,-6.4071927,707.1172,2.0,477.35028,320785,19.660898,350.87843682412097,0.099502645,0.609057,308.7603618103077,-19.252388,75.59949695691466,191.194,172000,337.32780811145983,6.0828648,19765.105546720326,4.844103,16.346333,-0.9357828,0.88107926,32.947414,163.46332
-53.6218,0.0024912483,199.8776,0.46455297,402.21362,1.3224427,0,478.24530874658376,10.62873899564147,-3.069703,-43.295387,435.3159,1.1568234,798.7982,393.75453589716926,448.26938,0.00012626177,0.29332986,-481.42245,43,-8.289463,781.9085,0.8536833,452.55292,326236,10.5195265,315.25415653128255,-0.12026737,0.35580644,302.5973228064801,-6.554786,73.86203385377303,202.81677,176000,324.0515827855507,5.901952,20229.254544441123,4.9554415,16.995169,-0.9445521,0.800656,31.707455,169.95168
-78.18322,0.00014757214,189.05229,0.46035245,267.94482,1.413376,0,454.85309291724116,8.951371205970645,-4.603572,-99.98546,315.5144,0.78128535,706.1079,386.13594957860187,434.61053,0.00040314812,0.29477546,-466.03595,44,-5.9165573,695.3815,2.0,439.00714,331634,20.540785,313.7103847596076,-0.016711105,0.5662797,321.6563802944436,-13.238138,59.765772132668644,190.38896,180000,346.0313208482569,5.986322,20687.914549495094,4.7773495,20.161737,-0.93442684,0.8270924,28.610487,201.61737
-63.33206,0.008321836,202.92162,0.46865654,228.45195,1.3447047,0,458.72867010254413,8.85559373581782,-3.177118,-118.2768,236.1896,1.2103972,716.65607,386.29981396812946,439.4549,0.00024773742,0.29711097,-466.1219,45,-6.719928,715.4763,1.3877195,440.2203,336868,11.408064,332.3649701598911,0.026790325,0.6225301,297.89475296941544,-5.9279833,63.57326239859685,201.46143,184000,338.4216460774822,6.022073,21148.074699980207,4.6956506,16.82159,-0.97055167,0.74517685,35.81572,168.2159
-50.197357,0.00082498614,198.56374,0.46653026,267.79785,1.3541367,0,473.64205992175266,9.018731886986643,-3.3796551,-48.475502,294.894,0.8442547,723.32806,399.6180663029663,468.89697,7.563038e-05,0.29978135,-494.22092,46,-7.613267,726.7483,1.8393986,466.38608,342159,10.989542,321.6378634967307,-0.013923043,0.21252346,340.01728486403994,-8.731378,65.00526173179969,198.97084,188000,342.0063166089111,5.9884424,21621.55756862834,4.809358,18.768217,-0.9711259,0.8242467,28.02779,187.68217
-35.842506,0.007646161,204.30647,0.44232962,265.32126,1.3048955,0,463.9881576085463,9.672798027750105,-3.020577,-49.3813,285.932,0.32806116,856.2388,389.46881114598364,492.55176,0.00019791878,0.30087855,-521.0014,47,-6.0116415,851.95154,1.4738371,492.57773,347855,11.498851,338.4933152807307,-0.36575007,0.48803893,299.08162123405145,-7.3848567,64.84654843481258,204.6027,192000,346.2686856238422,5.6954646,22086.600184128154,4.802399,18.319365,-0.9410406,0.8464471,28.640533,183.19363
-52.324253,0.0011659351,193.8695,0.46115944,320.83347,1.4388242,0,466.28607176430523,9.317727282177657,-3.29876,-111.438446,376.10367,0.69830644,721.2024,391.0668185381219,469.3,0.00011035525,0.29958484,-495.71432,48,-10.458694,732.0067,1.9982498,465.24316,353430,23.26322,350.5653689801312,0.090026975,0.69485533,314.5791214305309,-21.671818,65.9015259440057,194.53569,196000,354.08693402764493,6.0746946,22550.840636407025,4.932625,20.917526,-0.9413691,0.838272,31.647764,209.17526
-50.648666,0.005624789,178.11436,0.4219742,386.47287,1.3180966,0,464.16909006936476,8.726016958709806,-3.0993814,-45.05222,440.07657,0.73522854,738.2661,391.58679624274373,489.91846,0.0002795183,0.29360488,-510.9129,49,-7.53746,737.08307,1.3313184,493.98877,358563,18.14655,329.491066480041,-0.7711897,0.7704128,316.0533410359672,-13.393396,63.85627686791122,178.61731,200000,353.83737775172165,5.3707304,23026.27305314131,4.5082865,18.961323,-0.93706906,0.74817556,28.976498,189.61322
-41.489685,0.0009162508,200.12042,0.44773674,425.1634,1.3333097,0,477.4230053909123,10.170257584191859,-3.1011653,-44.49654,469.1335,0.948373,811.81165,392.1324346680194,497.03955,0.00039539617,0.30051574,-521.8084,50,-6.49278,815.59534,2.0,488.65894,363756,19.331236,342.39380587808836,-0.29670545,0.38338876,298.35675629613445,-13.8368025,75.12031313870102,199.68307,204000,351.3202003872407,5.753151,23493.10446905531,4.732374,20.99018,-0.9510082,0.82840663,31.88963,209.9018
-53.586357,0.003485397,193.53789,0.44589332,402.72037,1.2948365,0,459.3238900420256,9.18155908305198,-3.193528,-65.99597,441.07037,0.3916434,756.28827,385.61323287989944,480.58194,0.0005835177,0.29473805,-503.5256,51,-7.7870064,746.9819,2.0,485.7246,369148,9.308928,353.96508145252534,-0.41926238,0.69600797,316.44229856805066,-6.946336,64.52909807907417,194.6449,208000,335.7945472273527,5.656763,23952.941171908285,4.937554,19.204548,-0.94977,0.7649154,34.406425,192.04547
