Step_1-AverageDiscountedReturn,Itr,Step_0-EnvExecTime,Time-MAMLSteps,LossBefore,Step_1-PolicyExecTime,Step_1-StdReturn,Step_0-AvgCtrlCost,Step_1-MaxReturn,Step_1-AveragePolicyStd,Step_0-AveragePolicyStd,Step_1-EnvExecTime,Time-TotalInner,MeanKL,MeanKLBefore,Step_0-MaxReturn,Step_0-MinReturn,Step_0-AvgForwardVel,Time,n_timesteps,Step_1-AverageReturn,ItrTime,Step_0-AverageReturn,Step_1-AvgCtrlCost,Time-OuterStep,dLoss,Step_0-PolicyExecTime,LossAfter,Time-InnerStep,Time-SampleProc,Time-Sampling,Step_1-MinReturn,Step_0-NumTrajs,Step_1-NumTrajs,Step_1-AvgForwardVel,Step_0-AverageDiscountedReturn,Step_0-StdReturn,Step_0-AvgFinalForwardVel,Step_1-AvgFinalForwardVel
-154.55892515415536,0,7.92541241645813,23.31024718284607,2.6963651e-09,3.5144760608673096,149.7725056029746,0.0494237726121306,-139.00331936273946,0.9998058,1.0,8.14771056175232,25.900212287902832,0.009931115,0.0,-133.6133147943425,-769.2290441285328,-0.04309777162397829,49.75905704498291,320000,-357.8537067185153,49.75905084609985,-363.4237924535615,0.04950145441122127,23.310027837753296,0.009911497,1.4835889339447021,-0.009911494,1.2973287105560303,0.777911901473999,23.781281232833862,-716.1508403386076,800,800,-0.010711396958393373,-156.7464805240301,150.1281567566958,-0.011907053516717076,-0.01820370594158624
-154.33797535960034,1,8.155483722686768,13.540813446044922,-6.9409603e-09,2.8549983501434326,142.2802128277863,0.049574388313410475,-126.99407700801575,1.0005045,1.0005634,8.135476112365723,23.86111068725586,0.0068375664,0.0,-137.0794342658421,-729.9356871336885,-0.005060160194995271,87.1879186630249,640000,-357.812351419673,37.424383878707886,-362.9041837941666,0.04955551604993116,13.540633201599121,0.008257592,0.8925974369049072,-0.008257599,0.16460895538330078,0.776813268661499,22.87118649482727,-691.4937186448581,800,800,0.017975067992577805,-156.4969100999214,146.0890582420525,-0.04995296306071939,-0.04988470179305745
-152.52719492960742,2,8.101406574249268,13.65002989768982,9.387726e-11,2.8633930683135986,143.72785832578052,0.049607186293781184,-130.50735875268757,0.99522996,0.9955137,8.15577745437622,23.800823211669922,0.007432337,1.5832484e-09,-128.25554782518762,-694.3793784497523,-0.0013998049709896254,124.66195464134216,960000,-354.2897018842105,37.47338843345642,-354.4402309869483,0.0496771765985833,13.64985704421997,0.007899584,0.8896944522857666,-0.007899584,0.16394472122192383,0.7644045352935791,22.82384729385376,-744.9178369317455,800,800,0.006770401671975662,-152.90508693278593,145.02181763167286,-0.024343844834525678,0.022851037474714078
-163.37036914239746,3,8.159213542938232,13.985902786254883,-3.29949e-09,2.9136221408843994,160.02174766170538,0.04967477273698941,-127.66061167581255,0.98702544,0.98708785,8.267690896987915,24.177356719970703,0.007802149,0.0,-133.04344854838573,-760.8241223234592,0.0007709497948703387,162.84834003448486,1280000,-378.3335037773093,38.18581247329712,-383.2596910781751,0.049646025859245886,13.985726356506348,0.0067378883,0.9235372543334961,-0.0067378916,0.16688323020935059,0.8012495040893555,23.15981125831604,-748.7491878923822,800,800,0.027136641069991366,-165.27063278678708,162.1079320518299,-0.010661949072669792,0.021563532926574935
-156.56043692415452,4,8.154191017150879,13.548521280288696,9.203327e-10,2.859795093536377,135.41084135121667,0.04978648921933248,-128.7445402683497,0.9771147,0.9770703,8.126896858215332,23.958504915237427,0.00656022,-3.0733645e-09,-137.3865479174476,-728.4391982976229,0.013276921280559663,200.37819743156433,1600000,-363.90535592196665,37.529306411743164,-365.95494269121576,0.04975781439843306,13.548333406448364,0.007835526,0.893195390701294,-0.007835525,0.16558527946472168,0.8463134765625,22.893439292907715,-716.1650968435555,800,800,0.029732657461991142,-157.73094684014706,138.45702435318157,0.027904622102474796,0.01210013984366224
-149.31632536849682,5,8.159861087799072,13.55768609046936,6.1325736e-09,2.882519483566284,143.12665058062822,0.049725030134319156,-125.50015903359468,0.97410774,0.97439,8.16506052017212,23.89517831802368,0.007158515,1.5832484e-09,-134.39264074694162,-827.6893951279792,0.04020114951943738,237.85374927520752,1920000,-347.2663046483689,37.475003242492676,-346.6824820563776,0.049699235391639514,13.557512283325195,0.008272817,0.8991672992706299,-0.008272811,0.16318988800048828,0.7549409866333008,22.928407907485962,-717.935847986768,800,800,0.041170947201631856,-149.29747139728724,141.29669533307126,-0.015353582859573535,0.030532884429130425
-136.23847012663256,6,8.059425115585327,13.71066665649414,2.8248874e-09,2.9443204402923584,149.70795191886108,0.04963068696859067,-129.59721010832558,0.97764015,0.97788745,8.270325183868408,23.995856285095215,0.009383692,0.0,-126.54875149172457,-723.3423332747828,0.027515211266543743,275.5831518173218,2240000,-316.61244287990087,37.72879695892334,-319.2090281733903,0.04976118760967689,13.710481882095337,0.008208762,0.8863615989685059,-0.008208759,0.16423797607421875,0.802213191986084,22.98083782196045,-734.334662224298,800,800,0.049866361812663004,-137.51263510372524,150.97937796429886,-0.050417587601284224,0.01811402509506191
-146.73718352532975,7,8.099019050598145,13.680556774139404,3.2238663e-09,3.3494045734405518,151.18486071932236,0.04965085843227714,-118.51932177019224,0.9677965,0.9680612,8.20229983329773,24.388087272644043,0.007351025,-2.2351743e-09,-133.14204446056885,-734.3134815961132,0.04916128735851342,313.67483377456665,2560000,-340.94089373211636,38.09105348587036,-344.3723820830346,0.04975685419138225,13.680374145507812,0.007959337,0.8977441787719727,-0.007959334,0.16859817504882812,0.8555893898010254,23.314607620239258,-687.1804075265965,800,800,0.06304506611195809,-148.71117782266924,153.2797257164784,0.017682885825861222,0.005852292860954709
-154.36357321998358,8,8.211428880691528,13.223483800888062,4.415587e-09,2.904999017715454,141.02539681519286,0.04960268810161489,-130.3461994317352,0.9596919,0.9597801,8.221741437911987,24.028908729553223,0.00987343,1.5832484e-09,-128.48371741681822,-686.416617634273,0.0602241661744072,350.94989681243896,2880000,-359.15398689445067,37.27446889877319,-358.97653427215033,0.04974226363143883,13.223302841186523,0.00971475,0.9070446491241455,-0.009714745,0.16670513153076172,0.7962648868560791,23.016358137130737,-700.332438863284,800,800,0.05811043659304885,-154.4372902417525,138.85845516535008,0.06531204500188065,0.05819875244196735
-143.4652720344216,9,8.229797840118408,13.569295883178711,4.8134474e-09,2.8812830448150635,156.13292189037023,0.04969937668943971,-121.097038131,0.95843,0.95892507,8.235658407211304,23.8922860622406,0.007574994,-1.5366822e-09,-122.12629630068679,-707.1268358679484,0.07152391617493345,388.43319511413574,3200000,-335.06215225960636,37.48266243934631,-335.9761580047081,0.04968064238726025,13.568432092666626,0.007922002,0.895988941192627,-0.007921997,0.16523337364196777,0.7561755180358887,22.922816038131714,-698.4845476377033,800,800,0.07302771490238653,-144.2025050637862,155.29425642273299,-0.009245569331790562,0.009285004140925781
