train-NumTrajs,n_timesteps,Time,LossAfter,train-StdForwardReturn,Time-SampleProc,train-AveragePolicyStd,train-AverageDiscountedReturn,train-StdReturn,train-EnvExecTime,train-MinReturn,train-AverageReturn,ItrTime,Time-Optimization,Itr,train-AverageForwardReturn,train-PolicyExecTime,train-MaxReturn,train-MinForwardReturn,Time-Sampling,train-MaxForwardReturn,LossBefore,train-AverageCtrlCost
200,40000,16.708989143371582,-0.020832902,1.8089097711119348,1.5273189544677734,1.0,-336.4835180389172,362.47392255874405,11.42651891708374,-2288.54852094297,-848.2313275252619,16.700575351715088,2.5671842098236084,0,-3.8064689963568368,0.7662713527679443,-182.1457510436115,-10.987461846759093,12.599138259887695,-0.4869387784348089,-1.5541445e-08,0.43359380767980127
200,80000,33.128193616867065,-0.01237773,1.7381735322868386,1.413090467453003,0.99836844,-332.54019947531424,348.4345292534257,11.343269348144531,-2051.000047434673,-834.6536425623385,16.395195960998535,2.5006136894226074,1,-3.738745194188185,0.7424333095550537,-222.97558913300807,-9.802182839464287,12.47150206565857,-0.6871874500853401,-2.7939677e-09,0.4334069544529362
200,120000,49.60748767852783,-0.010843757,1.6439393625109746,1.3865435123443604,0.9959512,-331.9810868345541,329.3674319339332,11.431430339813232,-1742.7492695140047,-823.7489217602193,16.471938371658325,2.501462697982788,2,-3.6855451296598436,0.7515408992767334,-260.144517883597,-8.291194924398104,12.570748567581177,-0.8742536894297248,-2.3283064e-09,0.4320866795764662
200,160000,66.00150156021118,-0.009436399,1.5492635764780822,1.3859226703643799,0.9941532,-319.5439658364961,310.40114268086455,11.350924253463745,-1856.3924313307432,-810.6172828929624,16.386401891708374,2.4922430515289307,3,-3.6192890215222078,0.7488701343536377,-225.60384867914345,-8.822938419432955,12.494930505752563,-0.6998413609825468,-7.916242e-09,0.43271284499179985
200,200000,82.33330154418945,-0.009274892,1.6632981322833593,1.3982319831848145,0.99278516,-327.91259487395325,333.27187493964595,11.284300327301025,-1681.8344242917763,-821.5905850876402,16.324355363845825,2.4947171211242676,4,-3.673572666113031,0.7476787567138672,-216.30645140334403,-7.9779087643118825,12.421932220458984,-0.6591200035180279,-1.2572855e-08,0.4332674657663658
200,240000,98.67157196998596,-0.009333299,1.6712599858651604,1.4188554286956787,0.9911701,-317.39935830241865,335.38616997122216,11.298943996429443,-1962.4603927364928,-801.3189361775424,16.33107829093933,2.4815237522125244,5,-3.5703867272982803,0.7426571846008301,-195.76142420668643,-9.346214209825302,12.417811393737793,-0.5467230139865125,-5.9371814e-09,0.43509073735810616
200,280000,115.10180974006653,-0.008125071,1.6225429835245304,1.4510490894317627,0.9892846,-326.358292570151,325.2976871507717,11.344135522842407,-2198.1724956871863,-811.2320767225397,16.421943426132202,2.499552011489868,6,-3.621996203791958,0.7442355155944824,-221.12511748901,-10.535020364662167,12.461211442947388,-0.6661940087961317,3.7252903e-09,0.43304073775530016
200,320000,131.53947043418884,-0.009342471,1.7337595556667573,1.4385056495666504,0.98704755,-325.9958215850184,347.71491993746656,11.375808954238892,-2118.063526056792,-813.5900217848409,16.430126190185547,2.4883506298065186,7,-3.6330796907009244,0.7418160438537598,-165.73974650216348,-10.127753833274339,12.490597486495972,-0.41301521367404376,-1.193257e-09,0.43375503150633393
200,360000,147.9157199859619,-0.008476554,1.5865820798107475,1.4584007263183594,0.98540276,-315.7318404752817,317.98183262592875,11.27452039718628,-2152.5372173215196,-784.113868177832,16.368507385253906,2.509310245513916,8,-3.485436615419128,0.7442874908447266,-206.35547639622018,-10.31406353357455,12.390334606170654,-0.6055928045194676,-6.9849193e-10,0.43401460213585524
200,400000,164.36628770828247,-0.007600901,1.5463526484571648,1.423377275466919,0.9844128,-325.0125466498416,310.0644993452746,11.412184715270996,-1773.4242137859555,-820.0225581638485,16.443827390670776,2.4787793159484863,9,-3.665084962221627,0.7428560256958008,-245.38651392390173,-8.411190111424112,12.528586626052856,-0.7956805712501227,-3.7252903e-09,0.43391776339973676
200,440000,180.75490593910217,-0.008909113,1.5442051671276278,1.4480793476104736,0.98451954,-302.2392618566044,309.62890480574447,11.32374358177185,-1973.9366325561537,-765.2285044619764,16.381201028823853,2.4866647720336914,10,-3.391306438635314,0.742652416229248,-219.7222831875459,-9.431584348407812,12.436052560806274,-0.6658833141908945,-6.6429493e-09,0.43373334191320256
200,480000,197.1902756690979,-0.007766046,1.5909164341335411,1.4347434043884277,0.98471034,-321.27995765538753,318.94381811617075,11.367862462997437,-1820.797236473405,-816.1280875467721,16.427978038787842,2.4982874393463135,11,-3.6456965030099413,0.738908052444458,-163.38280794054708,-8.63402030131439,12.481987953186035,-0.39106845093532105,2.9918738e-08,0.43382131515457106
200,520000,213.57380318641663,-0.008302885,1.4210167614316769,1.4297938346862793,0.98405576,-304.3756826305225,285.0750849838864,11.326991558074951,-1738.3684302284505,-767.1280864780588,16.375998973846436,2.494816541671753,12,-3.3997771839841824,0.7430639266967773,-210.67926047053666,-8.233643452462006,12.441580295562744,-0.6164079233616664,6.2282197e-09,0.43474262608691466
200,560000,229.9262375831604,-0.008546439,1.6154783713927263,1.4110479354858398,0.98312217,-319.283717174473,323.699713017215,11.317973852157593,-2173.1078663242333,-803.4900707503356,16.345099687576294,2.4813759326934814,13,-3.5812703540441517,0.7401230335235596,-216.65156485214126,-10.399614344733173,12.439493656158447,-0.641804296412518,2.7939677e-09,0.4350471418960902
200,600000,246.28948760032654,-0.007917286,1.5264466422783627,1.4948794841766357,0.98218876,-326.9482752291826,306.07450984736056,11.263386011123657,-1795.2507609095014,-800.91224293941,16.355891704559326,2.464395523071289,14,-3.5678234922121645,0.7429521083831787,-199.66050546716144,-8.520452774454117,12.383238077163696,-0.5777992683141493,-0.0010156503,0.43558026801759636
200,640000,262.7851459980011,-0.008368715,1.5487225869881316,1.5942940711975098,0.9806629,-316.6811455485296,310.64864993079823,11.32740068435669,-2019.088930088015,-787.2739615618701,16.48861265182495,2.4385828971862793,15,-3.501295226123381,0.7439303398132324,-176.81908475988288,-9.63454998351792,12.445400953292847,-0.4397215013194337,4.656613e-10,0.4339360715489676
200,680000,279.19161200523376,-0.009213397,1.4859234685223424,1.5240423679351807,0.9790498,-312.93805920398023,298.05817821558236,11.298395156860352,-1690.424523735345,-775.6872908664878,16.39910387992859,2.444760322570801,16,-3.4418904951664193,0.7440569400787354,-214.19204985929113,-8.002216287596772,12.417471647262573,-0.6501767242885421,-5.47152e-09,0.4353943050333222
