train-MinReturn,train-StdReturn,train-MaxReturn,Itr,LossBefore,train-EnvExecTime,ItrTime,train-AverageReturn,Time-Sampling,train-AverageDiscountedReturn,LossAfter,Time,train-AveragePolicyStd,n_timesteps,train-PolicyExecTime,Time-Optimization,Time-SampleProc,train-NumTrajs
-18.153613122835793,5.266860619882993,44.809114300278175,0,0.0037776318,8.50902771949768,12.542484283447266,-1.1763937143957934,9.563296556472778,-1.1094814667697648,-0.028365884,12.561192512512207,1.0,40000,0.6587977409362793,1.9228572845458984,1.039109230041504,4382
-16.42400293907099,6.669367385684127,83.07488915716657,1,0.016579473,8.900175333023071,12.680621147155762,0.5669978307124767,9.92770266532898,0.5120162312302613,-0.02291752,25.27081274986267,0.9958247,80000,0.6433324813842773,1.8377161026000977,0.8981974124908447,3736
-16.553977493101407,9.643282450774944,123.00933208877007,2,0.018787196,8.84822416305542,12.521265745162964,2.5415975070533134,9.873237609863281,2.2424854346563374,-0.009914666,37.81093144416809,0.99172974,120000,0.6481246948242188,1.8666815757751465,0.7666175365447998,3022
-15.529935760049074,15.308945395385154,138.55449837854022,3,0.02397039,8.65440821647644,12.196024656295776,8.087405162090633,9.67622995376587,6.954991551729209,-0.008900884,50.025612354278564,0.9872554,160000,0.6579971313476562,1.8813049793243408,0.6265466213226318,2202
-15.460925757970713,25.147729355388474,162.04938191803413,4,0.012261209,8.433237314224243,11.924335718154907,16.15761108392545,9.4446120262146,13.145615925351652,-0.007928225,61.968146562576294,0.982407,200000,0.6609096527099609,1.9424984455108643,0.5267505645751953,1564
-17.26597902287382,32.02588198147809,202.55052229341624,5,0.01450561,8.777577638626099,12.226081848144531,23.413247166643156,9.820131301879883,18.28334016106784,-0.004243928,74.21347522735596,0.9777053,240000,0.6866710186004639,1.9404447078704834,0.456622838973999,1242
-17.629169266560538,40.959250722544866,196.93167114766558,6,0.012292974,8.786978244781494,12.219888925552368,37.618735616569076,9.836775064468384,27.956949984965707,-0.0059097335,86.45244717597961,0.9732381,280000,0.6998074054718018,1.9715418815612793,0.4036221504211426,934
-25.72606037600282,49.638724218209525,223.83717834060283,7,0.008133153,8.960635423660278,12.413110733032227,52.1225657853774,10.02267336845398,36.80284231547438,-0.0035910131,98.88428974151611,0.9692002,320000,0.7103917598724365,2.0145816802978516,0.36835503578186035,776
-22.04817010728282,53.41961612323642,214.35136382629838,8,0.012723917,8.921113014221191,12.360696077346802,65.27602541392152,9.981956958770752,44.626417383392514,-0.0042266846,111.26394438743591,0.9655695,360000,0.7109115123748779,2.0277388095855713,0.3439950942993164,646
-26.55573382270474,53.97694734668521,220.93454566853836,9,0.004466135,8.925665140151978,12.359204053878784,76.29478441493067,9.987932205200195,51.154142705477746,-0.0034052366,123.64170360565186,0.96224433,400000,0.7154746055603027,2.0074269771575928,0.3569521903991699,591
-15.001439855439234,58.027435229054156,265.550903835285,10,0.0042508096,9.077840089797974,12.539134740829468,82.49511002652436,10.152008533477783,54.3207982726382,-0.0039957557,136.1989381313324,0.95932645,440000,0.7255058288574219,2.0264358520507812,0.3539540767669678,562
-37.673268605476984,55.939892150428115,254.1755040936224,11,0.008314775,9.180763721466064,12.641530275344849,92.79949108143471,10.258103609085083,60.739248699394885,-0.0036320663,148.85857152938843,0.95685005,480000,0.7273788452148438,2.0565803050994873,0.3201262950897217,541
-20.069650128271007,56.90510905886854,269.30489239436946,12,0.005965255,9.186055660247803,12.666992425918579,100.20974105562547,10.261924982070923,63.96088369611541,-0.0035855328,161.54331517219543,0.9542663,520000,0.7250032424926758,2.0805952548980713,0.3180227279663086,492
-11.545220822579518,54.24579385496825,264.2018631418631,13,0.0025641392,9.301483392715454,12.730730295181274,107.44809966266426,10.378281831741333,68.66349374565975,-0.0037578112,174.29318380355835,0.95166266,560000,0.7278625965118408,2.044224500656128,0.3018217086791992,493
