Step_0-EnvExecTime,Step_0-AveragePolicyStd,Time-OuterStep,Step_1-MinReturn,Step_0-AverageReturn,Time-MAMLSteps,Step_1-AveragePolicyStd,LossBefore,Step_1-EnvExecTime,n_timesteps,Time-TotalInner,Time-SampleProc,Step_1-StdReturn,Step_1-MaxReturn,Itr,Step_1-AverageReturn,ItrTime,KLInner,Time,Step_0-MaxReturn,Step_0-StdReturn,KLCoeffInner,Step_1-AverageDiscountedReturn,Step_0-NumTrajs,Time-Sampling,Time-InnerStep,Step_0-AverageDiscountedReturn,Step_0-PolicyExecTime,LossAfter,Step_1-NumTrajs,Step_1-PolicyExecTime,Step_0-MinReturn
19.75499653816223,1.0,11.665919542312622,-14.024869661187408,-2.648651838656395,11.666100025177002,0.99988544,-5.819989e-12,19.592618942260742,320000,58.282960653305054,8.74632740020752,3.6988863400163914,39.1754262663812,0,-1.2256615748437711,70.48826932907104,0.083954394,70.48827695846558,22.534837934311632,3.9204658611121914,0.0005,-1.1699590327722869,24838,48.19998908042908,1.2072429656982422,-2.520631539694931,1.546292781829834,-0.042712126,24336,3.6172406673431396,-16.75232450730509
19.738701343536377,0.995241,3.2260565757751465,-14.48637053053389,-0.8864419751884821,3.226186990737915,0.9940305,-2.3283673e-09,18.740737915039062,640000,54.72029447555542,7.907101631164551,4.77204023098104,69.41323255353997,1,0.6953887089808507,58.10359811782837,0.06482752,128.59605407714844,38.21158574668911,3.9471391599064667,0.0005,0.6633133154855136,21887,46.536126375198364,0.1563868522644043,-0.8225474017803558,1.0575361251831055,-0.033352215,18064,3.2273061275482178,-17.067611255890228
18.83060050010681,0.9907079,3.2170541286468506,-15.820337469648221,-0.5619535827823348,3.2171874046325684,0.98906696,-1.4933373e-09,18.14749312400818,960000,51.99756622314453,6.869112730026245,6.434213064430128,126.93100304602389,2,1.578393648182098,55.37608194351196,0.07075147,183.97264051437378,71.0374758227983,4.70696250568374,0.0005,1.4748213071669702,18995,44.86874842643738,0.1573786735534668,-0.5158734004646591,1.0322809219360352,-0.017879734,14150,3.2514543533325195,-15.873916583467816
18.51145339012146,0.98606664,3.2539961338043213,-33.73813739469317,1.814214011032328,3.25412917137146,0.9842482,2.3224946e-09,17.720664024353027,1280000,49.74502158164978,5.39507532119751,9.393442612006671,139.21959906677716,3,4.7479742181662665,53.13874626159668,0.04743868,237.11185956001282,69.41440863682266,6.129285352621156,0.0005,4.314991299987842,14171,44.104848861694336,0.16154170036315918,1.7201498412453575,1.074845790863037,-0.013869205,10218,3.361541748046875,-18.802915168421638
17.508227586746216,0.9814662,3.2402734756469727,-34.782593247380085,6.429259328744669,3.2403998374938965,0.97979105,4.6526605e-11,17.496893882751465,1600000,46.920352935791016,3.7946808338165283,15.146858668088376,165.98531064456853,4,9.618818043251176,50.28413701057434,0.03452115,287.39645648002625,109.84829708998323,10.696302955388086,0.0005,8.349159375516106,9406,42.89957046508789,0.15851926803588867,5.77421907313325,1.1207714080810547,-0.009637863,7324,3.4333670139312744,-35.30917981163508
17.616812467575073,0.97694194,3.2914445400238037,-29.567223521895027,10.815854405138833,3.2915782928466797,0.97517705,-3.6681697e-10,17.79924750328064,1920000,46.77884268760681,3.1652114391326904,21.531966044808478,172.35463549453507,5,14.575309420081053,50.1660635471344,0.030465905,337.56299471855164,155.8473989518821,16.64907522386257,0.0005,12.078021974235062,7349,43.399654150009155,0.1585698127746582,9.26405626620233,1.1301517486572266,-0.008621799,6129,3.506582736968994,-27.78502910040556
17.884124040603638,0.97261816,3.2645986080169678,-32.21652222817436,21.608918922050705,3.2647287845611572,0.9711328,-4.9174337e-10,18.00426721572876,2240000,46.55948209762573,2.2995057106018066,33.03863428117047,223.44258475275396,6,25.923323263005464,49.9133083820343,0.022735689,387.4768590927124,230.25178896744444,28.82797461545107,0.0005,20.075502692553624,4767,44.012648820877075,0.18749785423278809,17.196890420208863,1.1878626346588135,-0.0056212973,4251,3.585294246673584,-27.64617349758022
18.182013273239136,0.96858335,3.2448501586914062,-60.35016212686321,32.658629619162866,3.245002269744873,0.9673149,-1.6240553e-09,18.34980058670044,2560000,46.93009161949158,1.9836387634277344,40.34965040007681,212.64123626307713,7,36.48403014467588,50.24355125427246,0.017769773,437.7209482192993,191.91959978701374,37.401687497372684,0.0005,26.963676050646757,3760,44.72042393684387,0.16460347175598145,24.486076311823645,1.207010269165039,-0.0053174538,3502,3.6614222526550293,-30.510915344807007
18.743454217910767,0.9646207,3.2147252559661865,-31.984456014959015,42.18047900959059,3.214874505996704,0.96327174,-1.8609537e-09,18.411237955093384,2880000,47.328879594802856,1.682389497756958,47.3510744315607,272.61350760827213,8,46.801394512693044,50.607261419296265,0.016323844,488.3287036418915,256.8223026851796,45.01335217344453,0.0005,33.262632014477354,3132,45.42428469657898,0.1647202968597412,30.341658825924178,1.2082693576812744,-0.004131035,2923,3.7378902435302734,-61.24974828879179
19.131035566329956,0.9609543,3.222452163696289,-25.790842683694848,58.26019569977537,3.222602128982544,0.96012414,-3.5499204e-10,19.269627571105957,3200000,48.58828520774841,1.495790719985962,52.02088338023475,243.99023569478624,9,60.574805845176165,51.86968684196472,0.014448235,540.1988670825958,232.99550827691468,51.6622008315596,0.0005,41.51044856965022,2514,46.875627756118774,0.16431522369384766,40.028549773358094,1.2525115013122559,-0.0035872818,2449,3.865981101989746,-24.04258450272062
