Z mean train,R Predictions Std,V Predictions Mean,V Predictions Std,KL Divergence,Policy Loss,Epoch,Q Predictions Std,Q Predictions Max,KL Loss,AverageReturn_all_train_tasks,Total Train Time (s),R Predictions Max,V Predictions Min,Q Predictions Min,VF Loss,Policy mu Std,Number of train steps total,(Previous) Eval Time (s),V Predictions Max,Policy log std Max,R Predictions Min,Policy mu Max,Number of env steps total,Policy mu Mean,Policy log std Min,Z mean eval,Z variance train,Epoch Time (s),R Predictions Mean,Log Pis Min,AverageReturn_all_test_tasks,Policy log std Std,Z variance eval,Policy log std Mean,Q Predictions Mean,Log Pis Mean,RF Loss,Number of rollouts total,QF Loss,Log Pis Max,Policy mu Min,Train Time (s),Log Pis Std,Sample Time (s)
0.370166,0.00250849,-527.649,253.507,46.719947814941406,530.071,11,253.801,-146.611,233.5997314453125,-593.399195688,931.9022091589868,0.00918859,-2138.11,-2162.39,64.3989,0.581131,12000,33.91201720200479,-141.044,-0.0676542,-0.00802753,2.0964,320000,0.0112491,-1.03766,0.533417,0.634116,63.83594173658639,0.00252419,-11.8542,-564.937019003,0.15654,0.151196,-0.419757,-536.403,-3.05303,365.215,3400,780.546,5.98146,-2.12011,22.662767216563225,2.02869,7.261157318018377
0.318385,0.00226704,-585.657,326.957,50.24491500854492,585.846,12,327.873,-158.855,251.22457885742188,-570.147718595,995.4875167775899,0.0092269,-2342.54,-2354.56,68.8286,0.606398,13000,33.91581844165921,-148.605,-0.0872753,-0.00612152,1.95831,330000,-0.00992893,-1.08526,0.644035,0.565742,63.85297784861177,0.00248574,-9.79754,-553.996798373,0.165373,0.155259,-0.462556,-591.112,-2.71881,412.957,3600,888.426,5.90507,-1.96593,22.644079979509115,2.10807,7.293079427443445
0.583087,0.00226279,-584.601,298.841,57.355281829833984,586.619,13,299.156,-148.151,286.7763977050781,-575.835147072,1059.2719813361764,0.009481,-2349.18,-2379.66,76.7739,0.642061,14000,33.6482590874657,-140.172,-0.0982916,-0.00390093,2.44238,340000,0.0197971,-1.10192,0.433625,0.840514,63.43353044707328,0.00273546,-9.36825,-554.880738105,0.161298,0.148415,-0.468804,-591.957,-2.45458,409.373,3800,914.648,8.23177,-1.98005,22.575113215483725,2.22842,7.210158144123852
0.54436,0.00230264,-597.15,315.102,57.59684753417969,594.019,14,315.484,-133.501,287.9842529296875,-580.659977729,1122.9744480596855,0.0080596,-1969.69,-1975.21,104.26,0.663305,15000,33.99919587280601,-118.402,-0.0959729,-0.00495233,2.02823,350000,0.00981432,-1.149,0.379056,0.698852,63.937231226824224,0.00251268,-11.4305,-567.99948562,0.160393,0.139812,-0.483369,-601.945,-2.31025,367.012,4000,1107.39,6.95062,-2.13994,22.651550766080618,2.28791,7.2864845879375935
0.190685,0.00224103,-674.849,341.011,60.426570892333984,674.502,15,342.59,-150.734,302.1328430175781,-566.740495524,1186.8126671034843,0.00827637,-2658.02,-2664.9,117.404,0.686579,16000,33.764445623382926,-147.034,-0.0517467,-0.00883681,2.16516,360000,0.000829086,-1.25015,0.685083,0.59086,63.3800143757835,0.00246469,-12.6525,-554.123928191,0.168253,0.147784,-0.494591,-685.543,-2.02783,431.293,4200,1219.8,7.53389,-2.17901,22.403493946418166,2.45056,7.212074805982411
0.302451,0.00231934,-629.976,360.945,53.14332580566406,636.026,16,363.191,-136.757,265.71661376953125,-561.526217766,1250.5867975866422,0.00949283,-3240.86,-3299.97,159.331,0.67318,17000,34.222749003209174,-123.701,-0.120761,-0.00448859,2.13877,370000,0.0105917,-1.27351,0.347856,0.613029,64.12656732462347,0.0022541,-12.9717,-535.175873143,0.185268,0.13183,-0.533564,-643.106,-2.04251,365.941,4400,1316.47,8.10078,-2.45733,22.59199494123459,2.25996,7.311823380179703
0.567693,0.00233055,-837.68,377.981,68.96764373779297,839.742,17,381.048,-128.557,344.8382263183594,-547.654246062,1315.4306902773678,0.00823453,-3015.72,-3056.14,133.864,0.767519,18000,33.87032535858452,-128.432,-0.081303,-0.00703837,2.38669,380000,0.013158,-1.13094,0.494477,0.722946,63.822142124176025,0.00263334,-12.185,-552.686350735,0.148198,0.149672,-0.481693,-853.186,-1.55348,504.457,4600,1482.86,9.61562,-2.55024,22.704935617744923,2.6474,7.2468811478465796
0.32234,0.00245614,-776.16,432.526,57.98482894897461,770.375,18,433.818,-99.1007,289.92413330078125,-547.870486165,1379.4346392787993,0.00994181,-2916.63,-2908.06,175.044,0.7493,19000,34.891887387260795,-78.8297,-0.0640797,-0.00671322,2.23795,390000,0.01013,-1.24293,0.4986,0.757044,65.20485508162528,0.00232538,-11.983,-550.993594165,0.15866,0.158534,-0.520282,-782.49,-1.5607,504.216,4800,1534.14,10.2824,-2.56418,22.747177292592824,2.66923,7.565790401771665
0.273315,0.00236453,-754.628,471.874,63.10800552368164,750.084,19,471.11,-128.928,315.5400390625,-556.16891171,1442.9573184521869,0.00868763,-3442.38,-3418.28,175.368,0.746256,20000,33.69114427547902,-127.511,-0.0608494,-0.00454622,2.50452,400000,-0.0117305,-1.2044,0.540882,0.625029,63.472664256580174,0.00238878,-10.4324,-550.130475709,0.170169,0.151436,-0.547188,-758.538,-1.46377,404.09,5000,1491.59,10.0179,-2.88728,22.554259569384158,2.6477,7.227260411716998
0.366281,0.00243513,-661.768,421.169,63.827369689941406,662.034,20,423.776,-109.193,319.1368408203125,-530.51203788,1507.3882912406698,0.0104297,-3100.86,-3112.84,138.492,0.719007,21000,33.74102297332138,-97.5645,-0.0790687,-0.00482232,2.45615,410000,0.0862678,-1.27761,0.451481,0.636376,63.65908168256283,0.00212225,-10.8095,-547.805945697,0.18729,0.137021,-0.579491,-669.509,-1.47397,377.007,5200,1608.22,10.471,-2.63668,22.681919308379292,2.59136,7.236139400862157
