train-AvgFinalForwardVel,Time,Time-SampleProc,ItrTime,Time-Optimization,Time-Sampling,train-AveragePolicyStd,train-AvgForwardVel,Itr,train-MinReturn,n_timesteps,train-AvgCtrlCost,train-NumTrajs,train-AverageDiscountedReturn,train-AverageReturn,LossBefore,train-EnvExecTime,train-PolicyExecTime,train-MaxReturn,train-StdReturn,LossAfter
0.01845722974638423,8.905757427215576,0.2729001045227051,8.897584915161133,1.8778691291809082,6.742121458053589,1.0,-0.0007624205538521877,0,-157.4439215878479,40000,0.04941401465463108,200,-14.419821141619805,-32.36462619114162,1.3038516e-08,5.849094390869141,0.5953238010406494,120.19735944504313,46.74123295138727,-0.014807477
0.04616408821538875,17.82000494003296,0.2505204677581787,8.897294998168945,1.8018481731414795,6.8384459018707275,0.9991334,-0.009523677694914487,1,-148.02165215040745,80000,0.04975953174127246,200,-14.3208674662505,-34.099726382879204,1.1641532e-08,5.948076248168945,0.5928971767425537,118.54160858477813,49.01755091764676,-0.00889261
0.01180230148715439,26.711424350738525,0.23816466331481934,8.884860277175903,1.7859547138214111,6.854148864746094,0.99764955,0.029748842747024246,2,-129.35999807910363,120000,0.04992692279113807,200,-11.652688488621502,-26.343526126593634,6.7520887e-09,5.961453437805176,0.6006314754486084,91.49644063257489,48.407116142106055,-0.0070953695
0.08743501380342461,35.52206516265869,0.24808645248413086,8.803958654403687,1.7842907905578613,6.764975070953369,0.9980327,0.003633668506704434,3,-149.23347759880568,160000,0.049542395826845324,200,-14.56482985099944,-31.511832143877683,-4.1909516e-09,5.89787483215332,0.5816347599029541,107.74124692558377,48.044106955646114,-0.0061915186
0.04087044297818842,44.26677322387695,0.25909900665283203,8.73819351196289,1.8079183101654053,6.664608716964722,0.99911344,0.0168403620108139,4,-156.98692098655087,200000,0.05003117690379964,200,-13.52797053386078,-28.910196816204163,-2.2351742e-08,5.804418087005615,0.5741825103759766,92.6253236936375,45.99267559062519,-0.006181713
0.02722154938099858,53.18806219100952,0.2568957805633545,8.914859533309937,1.7881839275360107,6.863190412521362,1.0001106,0.01555751207648876,5,-145.70342572273208,240000,0.04969084927210717,200,-12.879235872088817,-29.21120033750011,-2.7939677e-09,5.974159002304077,0.5983033180236816,117.02064220443823,45.58203456841111,-0.0059050987
0.030119457166970065,61.99333453178406,0.32600998878479004,8.798966646194458,1.8080732822418213,6.658312082290649,1.0006404,0.023538556884955725,6,-155.55734695460924,280000,0.049475080531911006,200,-11.940035130210585,-27.70653238642551,-1.8626451e-09,5.789682865142822,0.5802154541015625,74.40753155260887,40.64003935308606,-0.0053219674
-0.013100668594604521,70.72833228111267,0.24860787391662598,8.728052616119385,1.7889001369476318,6.683892250061035,0.99957633,-0.0007769856074124312,7,-160.72319672838185,320000,0.04991604447323545,200,-14.143391272632059,-32.68042172278953,-1.5832484e-08,5.823195695877075,0.5740525722503662,143.53708911427213,48.34976043678561,-0.0056878203
-0.022327703059270485,79.45545864105225,0.24811172485351562,8.72079586982727,1.7941713333129883,6.671914100646973,0.99854696,-0.014351807759446345,8,-152.03365521076512,360000,0.049941611154634316,200,-15.768647788352213,-35.23495642126607,6.519258e-09,5.811624050140381,0.5765540599822998,71.18732247898562,42.58902317990068,-0.0060320375
-0.16478954948933733,88.20754480361938,0.24570870399475098,8.745442867279053,1.8062188625335693,6.686937570571899,0.9969211,-0.004318702561558129,9,-168.7495035794041,400000,0.04967336445910318,200,-14.116975980378179,-33.21669761480591,-8.8475645e-09,5.824589967727661,0.5797903537750244,103.13225799452802,46.11866609236404,-0.005934383
