Sample Time (s),Q2 Predictions Max,Log Pis Std,AverageReturn_all_train_tasks,Q2 Predictions Mean,Q1 Predictions Min,Q1 Predictions Mean,Epoch,Z variance eval,Policy mu Min,Alpha Loss,Policy log std Std,Q1 Predictions Max,Z mean eval,Train Time (s),Number of rollouts total,Policy log std Min,Number of train steps total,Q2 Loss,Alpha,Q2 Predictions Std,Q2 Predictions Min,AverageTrainReturn_all_train_tasks,Log Pis Mean,Policy mu Mean,Number of env steps total,Q1 Predictions Std,Log Pis Min,Policy mu Max,Policy Loss,Policy log std Max,Total Train Time (s),AverageReturn_all_test_tasks,Policy log std Mean,Q1 Loss,(Previous) Eval Time (s),Log Pis Max,Policy mu Std,Epoch Time (s)
9.96582274325192,-195.8497,4.3524737,-574.8246701120714,-1544.6616,-4157.1855,-1544.551,10,0.0,-7.4104753,-0.92263263,0.31894535,-181.59131,5.28897,435.8887302968651,0,-2.4206023,44000,2338.8743,0.12385045,697.83997,-4167.1504,-579.8906546229431,7.5582514,0.17865244,355000,697.3865,-5.4727745,5.348669,1536.3689,0.47110856,7144.637886584736,-617.0890391834562,-1.2526037,2390.6704,153.7256672019139,31.12237,1.251496,599.5802202420309
11.828135927207768,-203.51746,4.0702896,-568.0284722662665,-1501.0369,-5361.558,-1500.8712,11,0.0,-5.466004,-0.48585954,0.31681406,-199.14333,5.0611525,446.41207464504987,0,-2.3511806,48000,2723.1086,0.12878285,715.95953,-5390.4897,-558.7317991911713,7.762938,0.21388683,360000,714.5715,-5.482141,5.1249003,1491.3456,0.33137143,7748.569000122137,-593.0375170615237,-1.2663672,2663.034,143.2041510231793,25.486057,1.2601056,601.4443615954369
10.228818748146296,-367.6241,4.0329213,-678.0696185298668,-1669.418,-5485.423,-1668.2633,12,0.0,-5.8320804,-0.45220932,0.3010855,-358.1592,4.2049675,428.137113773264,0,-2.3872247,52000,2831.5247,0.12668712,699.3659,-5506.252,-614.2152397118193,7.7811155,0.17765549,365000,698.08405,-5.4191675,5.466764,1665.216,0.42459822,8324.961753288284,-626.8518110137192,-1.3299427,2921.11,145.6909112399444,32.01128,1.2202578,584.0568437613547
9.635807128623128,-395.03568,3.878897,-644.1467438009633,-1584.2894,-5459.2124,-1584.8961,13,0.0,-5.005859,-0.45151877,0.30573872,-351.61148,4.28908,446.897601111792,0,-2.5119424,56000,3043.153,0.12805167,742.0458,-5473.917,-610.9967965634258,7.7803063,0.2176908,370000,742.69574,-3.7604258,5.6289673,1577.5267,0.15193665,8916.95984115079,-627.0959368075918,-1.3313419,3022.4492,138.02719690371305,24.6847,1.2041734,594.5606051441282
9.377934282645583,-375.093,4.1800795,-605.823136557351,-1543.9913,-4448.0073,-1541.4493,14,0.0,-4.498127,-0.10970342,0.3051477,-358.4021,4.409747,449.18385993596166,0,-2.3052673,60000,2990.7578,0.13223685,738.709,-4461.0635,-561.8092944407258,7.945778,0.28690508,375000,738.17694,-5.1775513,6.630799,1534.7349,0.66297233,9543.437026346102,-622.221993051179,-1.3236887,2911.7368,135.4638889292255,36.64766,1.2187634,594.0256831478328
11.233866543509066,-225.61127,4.257011,-628.5586151180989,-1652.1644,-7076.734,-1653.2477,15,0.0,-5.68065,0.11167214,0.31678218,-210.6136,4.072477,435.04618058446795,0,-2.3515434,64000,3956.824,0.13596874,856.5059,-7082.0757,-573.9078504002836,8.055962,0.14508107,380000,858.52826,-11.994328,5.7976213,1642.2449,0.28373384,10148.757830661722,-629.4557407494141,-1.2895224,3878.9548,167.91695050429553,29.707275,1.2793888,614.1969976322725
10.501890319399536,-386.33698,4.0915203,-629.5643542965615,-1568.4746,-5400.1724,-1564.7181,16,0.0,-5.85376,-0.53097695,0.3085372,-371.01495,4.2427363,440.96781207434833,0,-2.2483478,68000,2556.691,0.1346729,808.7712,-5444.7285,-590.3380492603354,7.7351747,0.18475917,385000,808.9838,-5.520791,5.722811,1556.119,0.57152677,10744.106735684909,-624.8844855471186,-1.3407524,2612.395,159.04085313994437,31.850111,1.2155973,610.5105555336922
11.015912227332592,-485.56036,4.0147295,-578.4200771247299,-1843.9158,-4610.485,-1845.0133,17,0.0,-4.676666,-0.8530847,0.29505575,-438.78802,3.9948509,448.4718307610601,0,-2.3988657,72000,3122.1426,0.13310921,806.38275,-4553.985,-562.8690920230221,7.57693,0.06657798,390000,806.76843,-5.829135,5.68328,1841.4651,0.107248664,11333.523377038538,-617.192408946663,-1.3009409,3109.541,143.87971827946603,29.402716,1.2204655,603.3674612678587
10.535223870538175,-177.70973,4.1895733,-526.5446701272547,-1835.1023,-5335.34,-1833.6609,18,0.0,-4.9089117,1.1330656,0.31242853,-167.8006,4.7383237,447.2393031101674,0,-2.509066,76000,3654.2986,0.13384876,829.4755,-5335.2646,-495.6649525303253,8.563402,0.31324202,395000,830.61676,-10.016382,6.2099886,1826.163,0.5397793,11947.519845576026,-605.5148319816358,-1.2830613,3588.774,129.9290635632351,28.792355,1.2914035,587.7035905439407
10.94676981586963,-291.40753,4.4688635,-549.7429349071899,-1910.9583,-8173.3857,-1911.7861,19,0.0,-6.8802094,1.0223655,0.31953567,-252.54088,4.04523,442.44323071464896,0,-2.8229737,80000,3054.158,0.13143599,945.16595,-8145.822,-542.3878316605854,8.503756,-0.17831007,400000,945.5508,-4.032504,6.2516494,1907.0771,0.3790667,12537.753331057727,-602.763620575787,-1.3166212,2928.3418,156.2230636002496,34.326283,1.2957866,609.6130641307682
