Policy mu Max,Policy mu Mean,Number of env steps total,QF Loss,KL Loss,VF Loss,Epoch,Policy log std Std,KL Divergence,Z variance eval,Sample Time (s),Policy mu Min,Epoch Time (s),Policy mu Std,V Predictions Max,Policy log std Mean,R Predictions Mean,AverageReturn_all_test_tasks,RF Loss,Policy Loss,Log Pis Std,R Predictions Max,(Previous) Eval Time (s),R Predictions Std,V Predictions Min,Policy log std Max,Z mean train,V Predictions Std,Policy log std Min,Q Predictions Std,Q Predictions Mean,V Predictions Mean,Z variance train,Log Pis Max,R Predictions Min,Log Pis Min,Log Pis Mean,Z mean eval,Total Train Time (s),Train Time (s),AverageReturn_all_train_tasks,Q Predictions Max,Number of rollouts total,Q Predictions Min,Number of train steps total
2.48836,-0.0969721,114000,158.676,4.267882823944092,46.6793,10,0.173619,42.67882537841797,0.0565406,10.380343276999838,-2.55874,89.0993894400001,0.966337,825.997,-0.41664,0.000447985,629.274784005,51.9109,-495.767,2.95482,0.0084464,4.073909090000143,0.00285194,-37.6994,0.0839271,1.19791,176.374,-1.16148,178.343,489.373,495.496,0.136638,8.78911,-0.00860077,-9.35656,0.104427,1.22538,989.2046572980001,74.64513707300011,589.573192771,845.841,680,-77.3007,22000
2.38667,-0.12156,124000,339.517,5.832299709320068,73.7633,11,0.182147,58.322998046875,0.051653,10.385137720000102,-2.84015,89.75084863200004,1.09733,1121.63,-0.48455,0.000647471,411.135263731,86.2094,-720.554,3.17354,0.00806434,3.9931242709999424,0.00278054,73.8712,0.0673514,1.9292,218.865,-1.45185,221.773,707.497,719.181,0.194608,12.3143,-0.00950458,-7.33575,1.31124,2.52202,1079.0801762629997,75.372586641,595.533777261,1136.72,740,55.6714,24000
2.59843,-0.113305,134000,992.358,10.323363304138184,184.859,12,0.206983,103.23363494873047,0.0392799,10.602339236999796,-2.88457,90.24061207599993,0.944935,911.204,-0.391555,0.000669763,608.150657852,75.7945,-547.989,2.91263,0.00955018,4.118166453999947,0.00270126,-72.225,0.403898,0.863002,160.653,-1.45311,166.157,531.275,550.321,0.153362,11.1274,-0.00699269,-7.64466,-0.134231,1.5483,1169.2786373249996,75.52010638500019,617.516419486,904.789,800,-184.969,26000
2.52567,-0.112172,144000,163.099,6.472774028778076,53.4586,13,0.195028,64.72773742675781,0.0424352,10.667218306000223,-2.48105,90.47353472600025,0.991845,1256.95,-0.418527,0.000452733,641.520889274,103.084,-622.742,3.14789,0.00782623,4.076320777999854,0.00285744,-158.678,0.130187,1.92528,336.145,-1.50009,338.622,612.452,623.593,0.155833,11.6942,-0.00799572,-10.1691,0.291311,1.04664,1259.734214968,75.72999564200018,658.382215314,1267.16,860,-165.997,28000
2.50513,-0.0548047,154000,147.569,6.577334880828857,43.7114,14,0.196943,65.77334594726562,0.0407376,10.551030156999786,-2.35992,90.99229164599956,0.937451,1099.39,-0.375088,0.000245848,694.457838689,120.06,-475.935,2.95465,0.00817147,4.058701375999817,0.00291005,-144.271,0.0981355,1.63509,221.063,-1.41507,223.266,468.386,476.648,0.0443859,10.9075,-0.00766845,-9.10688,-0.179418,1.35847,1350.754530598,76.38256011299995,671.48392849,1109.58,920,-163.522,30000
3.60613,-0.136663,164000,194.445,5.571387767791748,67.6345,15,0.194791,55.71387481689453,0.0615837,10.450812219,-2.95611,89.45866678800007,0.996476,1362.0,-0.432662,0.000854736,703.478525746,51.6517,-676.709,3.27671,0.00790688,4.087163332000046,0.00261924,-46.9231,0.0890196,1.86074,377.059,-1.49938,376.678,665.507,675.551,0.146591,12.7302,-0.00680347,-8.82919,0.383442,1.41348,1440.2663662409996,74.92069123700003,635.119074414,1356.48,980,-63.3501,32000
2.59408,-0.124623,174000,280.405,9.888388633728027,87.9652,16,0.244698,98.8838882446289,0.0397237,10.54206064899995,-2.99963,89.98328011999979,1.03275,1345.31,-0.419664,0.000235288,716.952497339,163.708,-626.884,3.21983,0.00804115,4.140890622999905,0.00285572,-31.8124,0.170826,2.15118,278.722,-1.68772,282.95,616.311,626.343,0.0420757,11.7133,-0.010255,-7.1584,0.667215,1.30915,1530.0935532489996,75.30032884799994,724.002435403,1352.94,1040,-76.061,34000
2.5017,-0.0798001,184000,155.334,6.970386505126953,55.0174,17,0.213926,69.70386505126953,0.0500782,10.550871347000111,-2.61271,89.51380805800022,1.04973,1527.35,-0.439438,0.000627492,741.48199089,105.194,-807.26,3.1919,0.00815165,3.985219509999979,0.00287523,-97.4026,0.0893237,1.97824,425.33,-1.47383,425.879,797.412,805.33,0.162191,14.9203,-0.00970099,-7.02339,0.820429,1.24655,1619.622628512,74.97771720100013,771.850083071,1532.59,1100,-103.16,36000
2.55439,-0.106492,194000,164.988,6.16162633895874,46.9318,18,0.208419,61.61626052856445,0.0467324,10.448867096998583,-2.45079,89.13957281699845,0.961751,1354.06,-0.418066,0.000541973,771.903187699,96.9809,-593.193,2.89616,0.00937902,4.000916847999861,0.00282617,-54.3436,0.0665929,1.36356,292.212,-1.5374,294.64,580.512,591.639,0.0442645,10.1566,-0.00759484,-8.80366,0.0621966,1.78817,1708.7646724889985,74.68978887200001,746.109733755,1365.13,1160,-73.8287,38000
2.30178,-0.084397,204000,104.549,6.176190376281738,42.4326,19,0.218128,61.76190185546875,0.0403957,10.329397506000532,-2.32942,88.30942563000053,0.893408,680.454,-0.392899,0.000432342,731.259636879,83.4299,-470.25,2.64652,0.0078357,4.003931289999855,0.00276818,-47.6624,0.120845,1.37228,139.674,-1.52155,143.087,463.408,469.339,0.0479685,7.64986,-0.00832958,-7.88026,-0.605296,1.68411,1797.1639687739992,73.97609683400015,742.489725254,684.395,1220,-57.5857,40000
