(Previous) Eval Time (s),Total Train Time (s),Policy log std Std,Log Pis Mean,Number of env steps total,Policy mu Min,Number of rollouts total,Policy log std Mean,Number of train steps total,Policy mu Mean,Q Predictions Std,Epoch Time (s),R Predictions Min,Epoch,Policy log std Min,R Predictions Std,Train Time (s),Log Pis Std,VF Loss,Q Predictions Max,Z mean eval,QF Loss,R Predictions Mean,Policy mu Max,V Predictions Mean,Policy Loss,KL Loss,V Predictions Std,KL Divergence,Q Predictions Mean,Q Predictions Min,AverageReturn_all_train_tasks,Sample Time (s),Policy mu Std,V Predictions Min,V Predictions Max,AverageReturn_all_test_tasks,Policy log std Max,Z variance train,RF Loss,R Predictions Max,Log Pis Min,Z variance eval,Z mean train,Log Pis Max
4.068568925999898,992.5989447930009,0.161179,-2.22093,114000,-2.20929,680,-0.364968,22000,-0.0372528,64.4857,88.01056559599965,-0.0107921,10,-1.06786,0.00225097,73.44820864500002,1.94218,131.755,409.94,1.13159,441.485,-0.00260952,2.65301,270.244,-269.146,1.5109707117080688,64.5969,15.10970687866211,262.556,-110.618,628.715239807,10.49378802499973,0.613125,-55.4542,411.029,649.814248741,0.0430662,0.148998,55.9437,0.00621468,-9.80502,0.0726238,0.0946646,6.68685
4.165744885000095,1083.4087030650003,0.199358,-0.437228,124000,-2.48439,740,-0.414755,24000,-0.0920168,162.865,90.82659554800034,-0.0117889,11,-1.26234,0.0021528,76.10643534200017,2.81599,37.2254,799.518,1.09136,117.423,-0.00257488,2.30709,428.479,-429.283,3.7623276710510254,162.953,37.62327575683594,422.68,-72.0309,755.211522876,10.554415321000079,0.898581,-92.943,801.042,700.242752213,0.0931174,0.196798,63.8483,0.00326816,-9.16897,0.107557,1.0347,9.00119
4.149121379999997,1174.0592538110009,0.17831,0.788259,134000,-2.24407,800,-0.45726,26000,-0.092079,181.816,90.46749208400001,-0.0124604,12,-1.34287,0.0025728,75.59873468899991,3.06396,153.684,887.656,1.54228,137.272,-0.00369335,2.42696,553.186,-562.749,4.027781963348389,178.484,40.27781677246094,553.857,-79.5015,744.40413108,10.719636015000106,1.03106,-87.7533,860.473,757.843818295,0.0751449,0.141339,158.102,0.00336353,-7.57605,0.0504328,1.06923,10.7906
4.332650983000121,1264.3807224260013,0.240357,0.397828,144000,-2.71608,860,-0.44834,28000,-0.174452,157.257,90.35415268100087,-0.0110383,13,-1.49588,0.00246845,75.34552055400013,2.94232,118.133,854.49,1.26047,170.555,-0.00241476,2.43115,518.876,-511.334,7.994455814361572,157.843,79.9445571899414,506.592,-221.203,737.643772713,10.675981144000616,0.959043,-219.181,858.275,727.811597743,0.164758,0.0556119,124.66,0.00652624,-9.16288,0.115373,2.16808,10.4119
4.30043483999998,1354.2392187240011,0.23574,-0.0125845,154000,-2.91245,920,-0.443486,30000,-0.111137,198.668,89.98237164599982,-0.0119422,14,-1.5273,0.00254814,74.80870474700009,2.90873,58.5032,997.602,1.44572,160.188,-0.00260926,2.76844,526.927,-526.564,5.990118026733398,196.026,59.901180267333984,519.439,-171.4,728.478593927,10.873232058999747,0.93674,-121.603,993.8,731.493665885,0.169234,0.0591345,144.252,0.00466791,-8.74292,0.078369,1.67008,9.55526
4.176735000999997,1445.121371214002,0.202237,0.57104,164000,-3.52518,980,-0.480724,32000,-0.145981,314.865,90.87043379600095,-0.0134536,15,-1.73892,0.00257038,75.8653132899999,3.57256,222.676,1279.26,1.96689,380.746,-0.00320748,2.50088,665.447,-659.414,4.431452751159668,315.615,44.31452560424805,651.882,-168.764,805.420471816,10.828385505001052,0.999724,-132.891,1282.01,778.101163004,0.130847,0.269745,170.378,0.00429609,-6.65587,0.0319056,1.7072,13.3313
4.1888837399999375,1535.3873871820024,0.198256,0.134516,174000,-3.17492,1040,-0.508318,34000,-0.0738675,182.305,90.27541083200003,-0.0101131,16,-1.69402,0.00215607,75.37033709900015,2.83073,158.362,973.039,1.8705,506.084,-0.00227191,2.40711,631.778,-633.95,3.298703908920288,178.689,32.987037658691406,627.043,-198.381,842.73792573,10.716189992999944,0.936021,-186.606,954.337,795.025107369,0.0814329,0.10651,88.2941,0.00421109,-9.03193,0.0373798,0.608996,10.4309
4.179810902000099,1625.5062939900026,0.200525,2.19851,184000,-3.90118,1100,-0.484169,36000,-0.149033,457.293,90.0900012200002,-0.0145354,17,-1.59398,0.00283413,75.291348062,3.8016,349.918,2066.56,1.64914,663.032,-0.00427506,3.18718,1243.88,-1232.65,15.358929634094238,458.684,153.58929443359375,1227.4,-203.301,798.810930124,10.618842256000107,1.22327,-189.726,2087.82,815.843186793,0.123693,0.36972,244.161,0.00383675,-7.52748,0.0574491,3.3071,14.7965
4.209195249999993,1714.7318436680039,0.199565,1.37071,194000,-3.97607,1160,-0.521274,38000,-0.087321,264.441,89.15571562900095,-0.0134208,18,-1.68924,0.00308264,74.34502325500011,3.03557,138.324,1303.23,1.70542,216.285,-0.00353016,3.14122,870.68,-864.623,4.7237372398376465,260.425,47.237369537353516,859.856,-201.603,837.384918637,10.601497124000844,1.08439,-172.205,1315.34,813.488193584,0.0791246,0.145005,219.073,0.00388559,-6.34857,0.0467944,1.06273,10.642
4.279411781999897,1804.8128200580036,0.232293,1.05604,204000,-3.30936,1220,-0.490903,40000,-0.160633,290.8,90.23939092299975,-0.0129949,19,-1.75845,0.00262834,75.38736524799992,3.1728,86.019,1440.93,1.55209,203.178,-0.00296815,2.76548,830.032,-828.315,6.155447006225586,291.471,61.55447006225586,820.098,-229.708,820.069693859,10.572613892999925,1.05043,-220.46,1433.92,710.985178416,0.166467,0.132663,169.323,0.00393066,-8.63731,0.0309091,1.07378,13.2254
4.121433625000009,1895.7941557830036,0.20224,1.16378,214000,-3.75903,1280,-0.509808,42000,-0.12904,276.716,90.73852572600003,-0.0129389,20,-1.61748,0.00249324,75.83918676900021,3.09175,167.204,1402.94,2.45426,243.59,-0.00244739,2.47168,928.494,-919.521,4.224113464355469,272.084,42.24113464355469,915.705,-204.089,829.472171298,10.777905331999818,1.06837,-165.447,1408.32,860.417272912,0.138321,0.110067,147.509,0.00270408,-7.59592,0.106102,1.53645,9.7408
4.364736346999962,1985.381441093004,0.208153,1.76519,224000,-3.261,1340,-0.506357,44000,-0.134518,357.483,89.81255383900088,-0.0117697,21,-1.80701,0.00242713,74.60689710399993,3.49634,134.001,1779.13,1.49356,388.904,-0.00311648,2.56093,1180.55,-1184.26,6.895055294036865,347.768,68.95055389404297,1182.5,-170.661,837.318952434,10.840920388000995,1.15263,-241.998,1748.59,867.86935277,0.109691,0.0810481,142.985,0.00374197,-9.72688,0.0640101,1.69672,12.3729
4.1398686789998465,2076.1468245900037,0.244158,1.81604,234000,-3.05576,1400,-0.516462,46000,-0.21457,321.446,90.77548468600071,-0.013866,22,-1.89196,0.00255979,75.71433032799996,3.24969,111.376,1681.89,1.25553,277.155,-0.003201,3.25148,1055.95,-1059.98,7.8356523513793945,313.613,78.35652160644531,1051.51,-89.3083,847.21622208,10.921285679000903,1.12633,-105.991,1666.76,858.580512637,0.112049,0.102994,224.707,0.00351724,-7.07281,0.0978887,2.30866,11.1104
4.130639169999995,2166.1370861130044,0.258229,1.15114,244000,-2.55998,1460,-0.504911,48000,-0.0634633,430.235,89.92403348200014,-0.0152192,23,-1.8079,0.00303233,75.1394398880002,3.22438,117.777,1999.53,1.20159,251.733,-0.00356332,2.8998,977.196,-980.13,7.891282558441162,422.923,78.91282653808594,973.486,-108.927,858.610399405,10.653954423999949,1.05983,-114.443,1988.01,788.652955106,0.115035,0.0906876,281.23,0.0037253,-8.27739,0.0868278,1.54098,13.2381
4.196839319999981,2257.325577029005,0.241116,1.20233,254000,-3.06848,1520,-0.525986,50000,-0.0636807,412.754,91.26406193500134,-0.0113327,24,-1.858,0.00266926,76.258252524,3.28489,210.782,1881.41,1.72485,312.03,-0.00307893,2.75092,1072.79,-1082.35,6.6250457763671875,412.743,66.25045776367188,1068.67,-211.372,890.151427769,10.808970091001356,1.07775,-219.108,1884.03,901.841180869,0.202299,0.0363959,132.938,0.00428838,-8.22507,0.0483971,1.50223,12.2031
4.121946574000049,2346.657843273006,0.220622,2.93954,264000,-3.13186,1580,-0.499935,52000,-0.112611,526.607,89.29989300500029,-0.0134448,25,-1.72918,0.00294746,74.41901520900001,3.62569,179.373,2404.8,1.44926,644.439,-0.00479159,2.92618,1677.63,-1671.81,15.385664939880371,525.786,153.8566436767578,1658.92,6.81304,862.027212184,10.758931222000228,1.28712,28.6197,2417.84,847.943179588,0.152348,0.309602,297.692,0.00260217,-9.78371,0.068076,2.57315,14.0129
