Step_0-AverageReturn,Step_0-EnvExecTime,Step_1-AverageForwardReturn,Time,n_timesteps,Step_1-AverageDiscountedReturn,Step_1-EnvExecTime,Step_0-AveragePolicyStd,LossAfter,Itr,Step_1-AveragePolicyStd,Step_0-StdReturn,MeanKL,Step_1-MinReturn,Step_0-MinReturn,Step_1-MaxForwardReturn,Step_0-AverageDiscountedReturn,MeanKLBefore,Step_0-MaxReturn,Step_1-AverageCtrlCost,Step_0-MaxForwardReturn,Step_1-MaxReturn,Step_0-AverageForwardReturn,Step_1-PolicyExecTime,Step_1-NumTrajs,Time-SampleProc,LossBefore,Time-TotalInner,Time-OuterStep,Step_0-NumTrajs,Step_0-StdForwardReturn,Step_1-AverageReturn,Step_0-PolicyExecTime,Step_0-AverageCtrlCost,ItrTime,Step_1-StdReturn,Time-InnerStep,Time-MAMLSteps,Step_1-StdForwardReturn,Step_1-MinForwardReturn,Step_0-MinForwardReturn,dLoss,Time-Sampling
-44.09186646372862,28.784238576889038,-0.0022466996119701334,103.69389867782593,320000,-35.215265379819186,29.535465002059937,1.0,-0.009981168,0,0.99969304,41.99282164076256,0.00913403,-362.13526539970286,-356.66797110381395,2.0433786355018784,-35.05756661416318,0.0,23.839847660492218,2.4417648750733147,2.076748060933604,11.026477826214105,0.0031909074921568767,4.366453170776367,5271,4.480828762054443,4.467487e-09,74.61773753166199,28.51501703262329,5248,0.4946641127221178,-44.02020466745064,1.8906877040863037,2.4404204359597577,103.69389224052429,41.28282052936132,1.3416774272918701,28.51518750190735,0.4942516470586451,-2.030627473338382,-2.148233739237975,0.009981173,68.54519987106323
-42.318511950049924,29.098581314086914,0.0030222774482178538,193.5707082748413,640000,-34.26759740683467,28.945851802825928,0.9875794,-0.009740728,1,0.986989,39.90683370823698,0.008040259,-359.09877236260996,-357.29089896223803,2.0894995364351874,-34.06043754916746,0.0,36.72145905893008,2.4347797565803626,2.6466560286571355,25.290523543475636,-0.005108309741032967,3.7103352546691895,5387,4.526793956756592,3.4994876e-09,72.08416295051575,17.729366064071655,5446,0.49498903926824417,-42.78479884196153,1.286163568496704,2.4302659241476006,89.8713583946228,40.54211901406185,0.2084822654724121,17.7295343875885,0.49312716508784493,-1.9979026842499106,-1.945075362811136,0.009740732,67.08568477630615
-40.66911080361077,29.148643970489502,-0.008679044337654226,284.66803765296936,960000,-33.13176744328177,28.88072443008423,0.97443986,-0.010310349,2,0.9738425,37.487395344862286,0.009674167,-378.93388528563764,-368.19459207433766,2.119616980262997,-33.060004271418414,0.0,6.533294065124994,2.4227924713826594,1.64838177491985,37.51618560181941,-0.0012745588892022685,3.8345947265625,5638,4.86112642288208,3.6395207e-09,73.01257586479187,18.016235828399658,5606,0.5005949989897465,-40.72175916058241,1.7467334270477295,2.424864233039687,91.09667372703552,37.52319806863527,0.21370220184326172,18.01641583442688,0.5018912280990161,-2.0184906927177666,-1.9130358556502582,0.010310353,67.66525316238403
-40.68293455896519,28.606470108032227,0.02659920138739998,374.27265644073486,1280000,-31.75896056031908,28.91460156440735,0.95956254,-0.01038217,3,0.95912445,38.912720922960254,0.008760082,-389.99014633432796,-368.04862289427365,2.9588515496227084,-32.85259714000619,0.0,32.81535850475116,2.4123822042252234,2.0940698527160895,40.62915760640155,-0.012033593840792828,3.8004653453826904,5693,4.563044786453247,-1.1909748e-09,71.59840989112854,17.94279146194458,5611,0.4981172696252979,-39.15905389574903,1.2866580486297607,2.4095584190516472,89.6040370464325,38.08398722599609,0.20931196212768555,17.942956686019897,0.5102401980129762,-2.36056720508501,-1.8097468598711306,0.010382169,66.55946111679077
-39.50885596486872,28.83892321586609,0.012370261878305148,464.16040086746216,1600000,-30.915590380885675,28.82171130180359,0.94770277,-0.0098705115,4,0.9472326,38.46599649251028,0.007898232,-352.0597783168304,-383.20434009875265,2.2012322057125076,-32.04473492127261,0.0,24.830192373796116,2.4044071740557897,1.9289278296679906,31.094669183207376,0.0004874747632347119,3.7955689430236816,5921,4.668428897857666,-1.6985879e-09,71.9122314453125,17.91606068611145,5716,0.49957786419671946,-37.80473766587402,1.3303394317626953,2.4024157922237057,89.8870632648468,36.319932164385406,0.21241450309753418,17.91622495651245,0.5032142757123038,-1.9972765431814166,-2.3299017891993143,0.00987051,66.75772166252136
-37.847920072269005,28.744675159454346,-0.0008638543219278511,553.7564301490784,1920000,-30.631575664261405,28.49198007583618,0.9404619,-0.009882366,5,0.9400635,36.56571578568816,0.0081047695,-399.98299616869303,-353.8575417897373,2.1816896554551852,-30.89208156778555,0.0,24.104150431103484,2.40029409591886,1.9558707810819969,23.39199097683175,-0.009994086885875648,3.75317120552063,6063,4.827043533325195,1.194385e-09,71.61484050750732,17.919913291931152,5947,0.5041000609683529,-37.214583610192165,1.32731032371521,2.3986138086604796,89.59544229507446,35.55594547572009,0.20928955078125,17.92008399963379,0.5042620647750282,-2.096697669579372,-2.0220880642837007,0.009882367,66.30068111419678
-36.534781376242215,28.85252356529236,0.012502097136110953,643.6785335540771,2240000,-29.08301531477884,28.602598190307617,0.92817056,-0.009978464,6,0.92770666,35.73445869530657,0.008119157,-372.2828051448109,-389.0817778513976,2.067774324193475,-29.956261642202552,0.0,30.11741843340423,2.391309850798495,2.2248549131274293,28.909003399510745,0.007160486166807272,3.7447376251220703,6261,4.90910267829895,-2.332549e-09,71.91517305374146,17.946316719055176,6082,0.502815413681971,-35.422263706667714,1.319504976272583,2.3906652201502845,89.92152857780457,36.004988915733,0.20977044105529785,17.946482181549072,0.5109147344599394,-2.0553263311152845,-1.7841027298785224,0.009978461,66.509840965271
-35.41169891700494,28.767121076583862,-0.006843583690322123,734.7928469181061,2560000,-28.942258029274928,28.887466192245483,0.9193571,-0.008043904,7,0.91882706,33.07487625926623,0.007017096,-424.40183765260093,-337.7938166747596,2.485609614745421,-29.4542128141242,0.0,35.27609095884797,2.3878844814873266,2.133541632747683,41.15993364385439,-0.01695495144026129,3.7460765838623047,6496,5.278567552566528,1.8908755e-09,72.48833012580872,18.561200857162476,6369,0.5101431714976159,-34.75520246131299,1.3033878803253174,2.381236925698275,91.1137182712555,33.037044738894764,0.2136707305908203,18.561376571655273,0.5087449057296489,-2.0798554122320554,-2.1926097877212345,0.008043906,66.69795775413513
-33.90896401848886,28.712568521499634,0.02274794498711033,824.5554881095886,2880000,-27.505457862242487,28.337653160095215,0.9047564,-0.010243863,8,0.9040767,33.94370183290188,0.008898652,-374.26322752029716,-368.0836697587792,2.1901582595523275,-28.116765084818596,0.0,29.62574072274341,2.380508170545008,2.1732642175532715,18.433422566840704,0.012068519112155309,3.7225985527038574,6580,5.2343926429748535,9.315693e-11,71.82050514221191,17.86962890625,6462,0.5036055921883891,-33.02830406905802,1.303236722946167,2.3765814355228105,89.76200532913208,32.419145313720406,0.2129507064819336,17.869804859161377,0.5051536233128778,-2.0278521950154444,-2.141304881498273,0.010243863,66.06389546394348
-32.45632743124477,28.156548738479614,0.005953693938927052,913.7952268123627,3200000,-27.2123421898394,28.222485780715942,0.893814,-0.010632502,9,0.8931756,29.65975310496896,0.008942497,-321.7915774468886,-370.6203335217426,1.817707246472258,-27.326577999138813,0.0,83.77109106839293,2.37773375160222,2.435480402968883,13.920537443000054,-0.00612003044432213,3.7726857662200928,6764,5.2801759243011475,-2.090466e-09,71.25408697128296,17.915821313858032,6766,0.5011816468760919,-32.54930723782534,1.301356315612793,2.369856226502997,89.23912334442139,31.89327916736916,0.2112107276916504,17.916001081466675,0.5015914869719682,-1.7807795713299848,-2.008203134120455,0.0106325,65.44742822647095
