LossBefore,train-MinReturn,train-PolicyExecTime,Time-Optimization,train-StdReturn,Time-SampleProc,train-MinForwardReturn,train-AverageForwardReturn,Itr,train-AverageCtrlCost,ItrTime,train-EnvExecTime,train-AverageReturn,Time,train-AveragePolicyStd,train-MaxForwardReturn,train-MaxReturn,train-AverageDiscountedReturn,train-StdForwardReturn,Time-Sampling,LossAfter,train-NumTrajs,n_timesteps
-0.013352339,-317.81131128482946,0.8102641105651855,2.705394983291626,51.871021095515005,1.4244365692138672,-1.8416956386444383,0.012943342430068517,0,2.146664311169177,17.935065269470215,12.502851009368896,-56.293787122199966,17.94574522972107,1.0,1.2324598800530273,8.126039523331674,-39.55968119202241,0.4208610698379911,13.786949872970581,-0.017529832,807,40000
-0.014315884,-295.54099149345257,0.791384220123291,2.631209135055542,55.914468687032944,1.4371685981750488,-1.7520895825063671,0.00962776277065901,1,2.150779500843773,17.892948150634766,12.544556856155396,-56.10870418796781,35.86043047904968,0.9972764,1.3456385556508237,5.8493759156517475,-39.34606250725813,0.4513681046861144,13.804244995117188,-0.011273384,823,80000
-0.012495423,-324.9898661092997,0.7815897464752197,2.6131935119628906,55.173328584789886,1.401609182357788,-1.7546960466010082,-0.013440017663463692,2,2.141469306521171,17.56041121482849,12.275893688201904,-58.48540725625539,53.42759561538696,0.9951131,1.4962998328468171,22.595103441418615,-40.475215337617286,0.4471157260955655,13.52177906036377,-0.008948062,778,120000
-0.019113813,-282.43921288730576,0.779583215713501,2.603376626968384,51.63470747898631,1.4188690185546875,-2.444514847451215,-0.007900110460471921,3,2.140252715270461,17.56510066986084,12.270845174789429,-53.196638606621036,70.99907064437866,0.9922469,1.9038903534431324,26.103733793702144,-37.93735058392593,0.4656425108755053,13.518622398376465,-0.008039225,863,160000
-0.015963368,-275.17995747625054,0.7899966239929199,2.593973159790039,52.49601839498918,1.3869163990020752,-1.6557956790024475,0.005158287073982072,4,2.1376958046707246,17.62461018562317,12.350512504577637,-53.64260526094986,88.63005018234253,0.9889029,1.8067000630112497,43.408439836320575,-37.96053059899952,0.47380840762604404,13.613959789276123,-0.007951091,844,200000
-0.014965725,-299.2297308677377,0.7778069972991943,2.5837528705596924,52.2207913210658,1.3937246799468994,-1.8009506835410414,0.0035784044032760773,5,2.135868086707954,17.538520574569702,12.292088508605957,-51.62757822158248,106.17494463920593,0.9856647,1.6538103450964552,10.924031515722957,-36.71909521163959,0.47028244559359134,13.530471086502075,-0.0074384036,878,240000
-0.019568894,-297.0744974217667,0.7690975666046143,2.5624144077301025,53.62373486203994,1.3944289684295654,-1.7487652421269388,0.0177827474095344,6,2.1234935042319756,17.311577320098877,12.10227656364441,-53.45643655289374,123.49317336082458,0.9821514,1.4434400711709725,21.619441001152815,-37.3915476980742,0.4598541955512214,13.324707984924316,-0.00811097,819,280000
-0.01846695,-288.73931478604686,0.7790813446044922,2.5877017974853516,47.50548757113217,1.3880119323730469,-1.5476541677160296,-0.011884590943592597,7,2.1322026199477224,17.517003297805786,12.273787021636963,-49.95926462175451,141.01654386520386,0.978574,1.537863873726481,11.556710533200095,-36.2692367720329,0.46046240311343956,13.509557008743286,-0.00776469,909,320000
-0.01626352,-307.33051314621775,0.7663614749908447,2.557410955429077,51.01575122661249,1.406013011932373,-1.8000495374031948,0.01148910753764354,8,2.128958823630226,17.364755392074585,12.155567169189453,-48.55318143213116,158.38801264762878,0.97504413,1.7387456425019827,18.621410265733314,-34.839737172832955,0.4672958764978789,13.370769500732422,-0.007485894,928,360000
-0.012878122,-291.2718612043621,0.7671270370483398,2.558373212814331,48.72255416249762,1.409435749053955,-1.6572654258385089,0.008208793895873489,9,2.126128923336968,17.500303745269775,12.292605638504028,-46.98489410826569,175.89491176605225,0.9714329,1.4710236900435605,12.628027851924513,-34.05585641095661,0.4695593879033994,13.50842809677124,-0.0074040564,949,400000
-0.013188282,-303.2747652179333,0.7669084072113037,2.5795304775238037,48.945040875316685,1.391897439956665,-1.5481253684333967,0.011628362722494644,10,2.12717073259637,17.392849922180176,12.173029899597168,-47.48615757953343,193.29447436332703,0.9677871,1.474533124661817,12.040806564838963,-34.312309262315935,0.4672138544521038,13.38925290107727,-0.0070122676,933,440000
-0.014105569,-299.2227484280803,0.7631771564483643,2.5749523639678955,44.42335224931487,1.4022903442382812,-1.6709714031279403,0.009173846887090732,11,2.1327684650177496,17.39108109474182,12.170563220977783,-44.70086228498881,210.69205164909363,0.96453106,1.5365107318738251,16.386751849950034,-33.457702631320785,0.4993393999470356,13.381195545196533,-0.008952204,1001,480000
-0.014885867,-295.783631372596,0.7551493644714355,2.5394845008850098,44.85326033513516,1.4652512073516846,-2.1833168230696987,0.0006964012834750725,12,2.1412215149725307,17.136067152023315,11.900694370269775,-43.82171565691311,227.8345170021057,0.96101224,2.0535248480757784,41.142819776502094,-32.80876013118469,0.48328815189266977,13.105472564697266,-0.007818418,1036,520000
-0.015497965,-253.89783453959276,0.770165205001831,2.585949182510376,35.24013902411062,1.5533196926116943,-1.4489593338316025,0.00036008381782355045,13,2.140348236174734,17.539939165115356,12.14146614074707,-39.75470311238882,245.38100385665894,0.95720804,1.8590936997378071,12.397152420569967,-31.2178092349438,0.49059129996735856,13.365249156951904,-0.008153178,1141,560000
