Step_1-AverageCtrlCost,Step_0-MinForwardReturn,Step_1-AveragePolicyStd,Step_1-MinReturn,Step_0-MinReturn,Time-MAMLSteps,Time-Sampling,Step_0-AverageAbsPolicyMean,Time-OuterStep,Step_1-NumTrajs,Time,Step_0-StdReturn,KLCoeffInner,n_timesteps,Time-TotalInner,LossBefore,Step_0-MaxReturn,Step_0-AverageCtrlCost,Step_1-AverageDiscountedReturn,Step_0-EnvExecTime,Step_0-MaxForwardReturn,Step_0-AverageForwardReturn,Step_1-AverageReturn,Step_0-AverageReturn,Step_1-AverageAbsPolicyMean,Step_1-MaxForwardReturn,Step_1-MinForwardReturn,Step_1-EnvExecTime,Time-InnerStep,Step_1-PolicyExecTime,Time-SampleProc,LossAfter,KLInner,Step_1-StdReturn,Itr,Step_0-PolicyExecTime,Step_0-StdForwardReturn,Step_1-StdForwardReturn,Step_0-AverageDiscountedReturn,Step_0-NumTrajs,ItrTime,Step_1-AverageForwardReturn,Step_1-MaxReturn,Step_0-AveragePolicyStd
0.47279687807215853,-13.251460489728542,1.0000764,-2608.145146718262,-2744.948186243728,14.917088985443115,57.48283672332764,0.5545598,14.916908264160156,800,77.31686496734619,396.42817312135696,0.0,320000,61.86317014694214,-7.7594065e-09,-180.47778315652496,0.472419996522069,-354.8447587282551,24.45820140838623,-0.44491843006149345,-4.081991552793288,-913.8793285472607,-911.0876990868524,0.5540926,-0.43141344625989986,-12.571816821842553,24.442790031433105,1.736598253250122,3.787686824798584,2.544429302215576,-0.008693682,0.008319238,386.11142566218945,0,1.6284146308898926,1.9822983342731557,1.93004747203958,-353.92957363914974,800,77.31685662269592,-4.095579325963936,-179.63903197439757,1.0
0.47215700959410517,-13.267727022235642,0.9966964,-2326.902231026134,-2747.350497454145,4.426392555236816,56.136903285980225,0.55358547,4.426196813583374,800,140.76103830337524,368.6194697089841,0.0,640000,58.98805117607117,-2.075359e-09,-200.7390169021096,0.4722145972616785,-344.9341708084805,24.377997875213623,-0.5351730826214033,-3.92180112135552,-889.341040123005,-879.0099455149223,0.554288,-0.5494656076569795,-11.155744581951238,24.493425846099854,0.21759819984436035,3.115086793899536,2.5266058444976807,-0.005599582,0.009630993,373.9372523574303,1,0.9976823329925537,1.8425203228251992,1.8695110395877208,-341.08331178241053,800,63.43786835670471,-3.973501904480399,-206.5755581081896,0.99688137
0.4707256431413256,-12.307879234819836,0.99404395,-3064.3200640339865,-2557.158531403822,4.407030344009399,56.12923192977905,0.54972833,4.406831741333008,800,204.13437747955322,386.05596821872973,0.0,960000,58.93936896324158,-4.389137e-09,-235.62753390517446,0.47034443014983096,-368.8196853916724,24.423806190490723,-0.7058874376897433,-4.180915240750716,-938.0624684289012,-930.4605660874918,0.55202174,-0.8457228646187661,-14.8387797050259,24.445765495300293,0.21773028373718262,3.114453077316284,2.4858896732330322,-0.004652881,0.009586473,403.29957041864833,2,1.0028605461120605,1.9296882140607758,2.0154407712007627,-367.2343295978446,800,63.37265682220459,-4.218558346108563,-261.03656900105085,0.99419236
0.4703313589701243,-11.534198895339653,0.992156,-2719.5872184221535,-2402.9737000362197,4.3889172077178955,56.34774446487427,0.5497952,4.388721942901611,800,267.6858072280884,378.42445708517795,0.0,1280000,59.137734174728394,2.5611352e-10,-213.36499999797894,0.4705600902078487,-349.5534077914011,24.560823440551758,-0.6103974003708825,-3.936169010652881,-894.7170877885699,-881.555141629678,0.54952884,-0.47854206276601685,-13.120251903743787,24.539018154144287,0.21579813957214355,3.1089398860931396,2.467813730239868,-0.004360008,0.009759004,396.89878697427196,3,1.000922441482544,1.8915389537386986,1.9846828231233131,-343.57380740443784,800,63.550747871398926,-4.002216577814614,-189.5141973335754,0.992212
0.46960603717105465,-12.690099624891024,0.9901284,-3103.6673339591393,-2632.6925460689126,4.393600225448608,56.11683011054993,0.54453623,4.393404006958008,800,331.0547876358032,381.1491429516314,0.0,1600000,58.94863224029541,1.9781292e-09,-181.32189827150523,0.46894810197659775,-354.8261380921383,24.49242329597473,-0.4350503147102795,-4.016951296139631,-906.4069226734196,-897.3881464875033,0.54562724,-0.516404290271039,-15.036806405601537,24.46195697784424,0.2178502082824707,3.109914541244507,2.507659435272217,-0.0045577157,0.009430429,388.4212608305026,4,0.9923570156097412,1.9051405540904873,1.9416593879759132,-352.39142124163595,800,63.36824822425842,-4.061383189667644,-197.8539060079663,0.99021953
0.46939514622770245,-10.673224437628106,0.9890496,-2966.5349093586224,-2230.5076807995215,4.405715465545654,56.074172496795654,0.54809636,4.405523300170898,800,394.3022232055664,378.3455819376813,0.0,1920000,58.817739486694336,-2.8386715e-09,-159.79733920056574,0.4694426760282275,-350.9213229632363,24.478771686553955,-0.32851831683424776,-3.9676253236856045,-904.9300019064301,-887.6228153144631,0.5502304,-0.5291116270434635,-14.35869966281154,24.496105194091797,0.21378803253173828,3.1020865440368652,2.4235146045684814,-0.00364703,0.010140846,387.4952654363524,5,0.9920094013214111,1.8920871492468576,1.9376297150354804,-344.6386897763169,800,63.24670124053955,-4.0542088603341355,-200.06805577921742,0.98911047
0.46930280209133407,-12.39575209524473,0.98888147,-2153.7494038025716,-2573.1986769920545,4.4065258502960205,56.10652041435242,0.54728717,4.406329393386841,800,457.6209316253662,374.9489790565269,0.0,2240000,58.88762927055359,-3.412369e-10,-170.95180277165133,0.469517482853327,-353.19247178217336,24.487667560577393,-0.39962740253884677,-3.877415283983788,-900.782145187441,-869.5962140787483,0.54804236,-0.5593989152584529,-10.295261895554932,24.49953317642212,0.21523618698120117,3.104627847671509,2.4599146842956543,-0.0042068637,0.010738263,383.048489320296,6,0.9908919334411621,1.874052518200165,1.915324691051415,-341.2790813275572,800,63.317941665649414,-4.033555171374405,-208.2879372036187,0.9891154
0.46836535319672895,-11.821768261432053,0.9889455,-2316.0485544345534,-2460.9057620602334,4.437931060791016,55.937153816223145,0.5441224,4.437737226486206,800,520.977644443512,366.84857961069775,0.0,2560000,58.89189839363098,3.658608e-09,-224.28346373269812,0.4689539683857933,-345.99420264951385,24.404898166656494,-0.6471229225712329,-3.951325874689169,-884.6311080115586,-884.2680684110696,0.54451954,-0.42540000398935846,-11.102790558634533,24.43709897994995,0.21431636810302734,3.100271463394165,2.634457588195801,-0.0036226406,0.01142277,358.40778738460205,7,0.9878382682800293,1.833895037910588,1.7915971186706483,-345.33513913166195,800,63.35609221458435,-3.9537372833177904,-179.60352549555392,0.98885506
0.4689032598692366,-16.32861158382027,0.9872703,-2869.479739312486,-3361.365983677983,4.425645589828491,55.929882764816284,0.5460714,4.425417184829712,800,584.1400451660156,385.41666214383014,0.0,2880000,58.71300196647644,3.8556766e-10,-218.964143306511,0.46876883764261384,-348.9574327329994,24.412168979644775,-0.637933067501542,-4.02061506386446,-890.7146934834562,-898.0870950262466,0.54723155,-0.42550180326679254,-13.87065120777796,24.46198010444641,0.21634793281555176,3.089836597442627,2.4612464904785156,-0.0036593191,0.008709209,391.3370333935586,8,0.9923582077026367,1.9261743539744511,1.9564500158892149,-350.0233497574361,800,63.16168451309204,-3.983621663284526,-178.91214141241088,0.98736095
0.469020144033283,-12.678491495764595,0.9849015,-2718.5246036621793,-2631.7925432293687,4.4113898277282715,55.86525821685791,0.54532576,4.4112184047698975,800,647.2311546802521,374.60745149269013,0.0,3200000,58.654255628585815,2.5033944e-10,-241.39638779385328,0.4684044110232592,-344.79825417144957,24.405011653900146,-0.7382190803903277,-4.048630787481853,-874.9697378368387,-903.6173618803695,0.5480472,-0.4786515089553734,-13.11604047774526,24.405802249908447,0.2166154384613037,3.0838942527770996,2.4666996002197266,-0.0036414317,0.009747958,354.7979136582073,9,0.9857592582702637,1.8723901685349307,1.7732834127692128,-355.09660446043983,800,63.090054750442505,-3.9047679942622664,-189.07468577556043,0.9849714
