LossAfter,Step_0-StdReturn,Step_0-AvgForwardVel,ItrTime,Step_1-EnvExecTime,Step_1-StdReturn,LossBefore,Step_0-AverageReturn,Itr,n_timesteps,Time-InnerStep,Step_1-PolicyExecTime,Step_0-AvgCtrlCost,Step_1-AveragePolicyStd,Step_0-MaxReturn,Time-OuterStep,Step_0-NumTrajs,Step_1-AvgCtrlCost,Time-MAMLSteps,Time,Step_1-MaxReturn,Step_1-AverageDiscountedReturn,Step_1-AverageReturn,Step_1-MinReturn,KLInner,Step_1-AvgForwardVel,Time-TotalInner,Step_1-NumTrajs,Step_0-EnvExecTime,Step_0-MinReturn,Step_0-PolicyExecTime,Step_0-AvgFinalForwardVel,Step_0-AveragePolicyStd,Step_1-AvgFinalForwardVel,Step_0-AverageDiscountedReturn,Time-Sampling,Time-SampleProc,KLCoeffInner
-0.005030318,149.73924620590154,-0.03504446168635224,39.449169635772705,8.146240949630737,150.96080650567754,3.1881036e-09,-362.02303014092655,0,320000,1.562497854232788,3.4383039474487305,0.049559631011481045,0.9999227,-136.12069898399326,12.898654222488403,800,0.04939151264581466,12.898866891860962,39.44917607307434,-132.13418321612988,-156.6092474818328,-362.33509117540046,-733.2062921031069,0.006429564,-0.03477916319058254,26.04025626182556,800,7.832021951675415,-742.4085450830755,1.4599661827087402,-0.023164390927119846,1.0,-0.02314708824428532,-156.53315017811497,23.656440019607544,0.7774617671966553,0.0005
-0.0032989464,145.97879492636366,-0.0022463600294288107,27.07468056678772,8.149787187576294,148.49760761779626,5.7194383e-09,-360.8524368100274,1,640000,0.1678943634033203,2.8201565742492676,0.04952755359807436,0.9963913,-135.73646937133014,3.183220863342285,800,0.04955368545669783,3.183363676071167,66.528475522995,-139.79075570825938,-157.56062422834069,-365.57715056082435,-757.7768068426428,0.0076189414,-0.02043982691657347,23.86678433418274,800,8.160163164138794,-749.3131220160903,0.8969111442565918,-0.04818915545723366,0.99660504,-0.06011603448020193,-154.85118542575873,22.862406969070435,0.7861499786376953,0.0005
-0.0036293417,146.80962239164603,-0.0007634528815338559,27.087255239486694,8.117897033691406,144.43213284196753,1.43312e-09,-356.3106511442175,2,960000,0.17049813270568848,2.83400821685791,0.04955453598449209,0.9934429,-134.74721998959242,3.180190324783325,800,0.04958914013947441,3.180337905883789,93.61629033088684,-135.43756104904756,-152.65697407469443,-354.36896080318604,-683.775333238549,0.0073776133,0.003294034597801196,23.88431143760681,800,8.125604391098022,-758.1853865582042,0.8924160003662109,-0.01668598801887534,0.99359125,-0.017452816955597635,-153.9473040351633,22.82939100265503,0.8341572284698486,0.0005
-0.0030001604,161.58196536999566,0.02546364366316093,27.097131967544556,8.15421748161316,159.46762753974403,-6.307755e-09,-377.59368955200216,3,1280000,0.16789031028747559,2.830904245376587,0.049678606721083166,0.9906903,-138.1334945365511,3.2274887561798096,800,0.04956174691884303,3.227628707885742,120.7139732837677,-128.3928573222821,-162.66291949831265,-378.72429643573946,-766.2281671981501,0.00603048,0.01727689300531792,23.846054792404175,800,8.156566143035889,-749.271015554033,0.8901562690734863,-0.010156129881232484,0.9906371,-0.05336906610503116,-162.57081330264685,22.866658687591553,0.7619023323059082,0.0005
-0.0025788152,135.97305138510276,0.04652431899938514,26.99970245361328,8.141046524047852,136.44177298412345,-2.9087068e-09,-360.6928215717001,4,1600000,0.16735005378723145,2.8069112300872803,0.04988223988038264,0.98741394,-129.428389764898,3.217336893081665,800,0.04974289609374175,3.2174718379974365,147.714369058609,-137.14833039815045,-154.7762271371215,-360.5745483899791,-716.9249317560077,0.0058380673,0.04873357444300073,23.757657051086426,800,8.136198282241821,-738.702714752379,0.8953955173492432,0.025675925760403076,0.9874195,0.05773713643529192,-155.26484822114747,22.778451442718506,0.7623016834259033,0.0005
-0.0029847622,138.95585180740227,0.06517327635075101,27.037126064300537,8.189111471176147,141.48183102089516,5.1066285e-09,-342.28451617646994,5,1920000,0.1675565242767334,2.8216583728790283,0.0496615083818138,0.98402226,-121.60930184698083,3.2201638221740723,800,0.04960483841779542,3.220304250717163,174.75213241577148,-125.36573342047035,-148.1106557929008,-345.8935674848539,-715.7835802733565,0.009455392,0.04603728806739323,23.792494297027588,800,8.116789102554321,-703.4352119036992,0.8894264698028564,0.036762149707853686,0.9838911,-0.00394089229145441,-147.1369880362592,22.809420585632324,0.7661833763122559,0.0005
-0.0030072634,147.07677449263355,0.06671377471987028,27.07550597190857,8.186092376708984,149.00372807610407,1.3634542e-10,-312.88726451402226,6,2240000,0.16811585426330566,2.792232036590576,0.04978518997103874,0.9802971,-134.72285400496222,3.1984803676605225,800,0.04982401271011911,3.198622465133667,201.8282492160797,-128.08926775162948,-134.16902087113985,-312.6320112241805,-788.7140542607669,0.0075201476,0.06551952769506754,23.85454297065735,800,8.189865350723267,-710.1808735497352,0.8895969390869141,-0.005908648765228432,0.980509,0.028673731195418294,-134.50339627103028,22.85951519012451,0.777240514755249,0.0005
-0.002481888,150.14245280670937,0.07369093299575832,27.04416036605835,8.152732372283936,149.26392015179118,-4.241243e-09,-340.18502054428296,7,2560000,0.17129039764404297,2.7775981426239014,0.04971205073263956,0.9763738,-124.24968378017093,3.275510311126709,800,0.04979431067355791,3.2756502628326416,228.87300825119019,-127.94079162579497,-145.51379320380025,-339.4901062302504,-691.9371444935323,0.009314088,0.07246337044659563,23.744044303894043,800,8.167447090148926,-728.9544243197817,0.889164924621582,0.031964003243024626,0.97656304,0.03726565823560933,-146.0366529825757,22.76000142097473,0.763556957244873,0.0005
-0.0027489185,137.6128438657768,0.08604912521740328,27.09109115600586,8.238988876342773,137.67817146999195,5.196782e-10,-353.76355517262294,8,2880000,0.16753935813903809,2.809346914291382,0.049802851786626176,0.97268504,-125.57626873037174,3.1735880374908447,800,0.05002024559774368,3.1737301349639893,255.96471524238586,-129.84093119648384,-150.94082215953546,-353.8705431979604,-682.3021586083032,0.008767876,0.08660971705839274,23.89577054977417,800,8.179077625274658,-725.4274564847062,0.8901987075805664,0.012669823014853034,0.972967,0.0251478583573984,-151.4715099411956,22.888503074645996,0.7904632091522217,0.0005
-0.002900875,153.3145103032691,0.10759745561790576,27.02481770515442,8.211140871047974,152.1915636025477,-6.4447525e-10,-330.5137920502647,9,3200000,0.16733336448669434,2.811502456665039,0.05002093102087863,0.9694818,-127.29192175841027,3.2068521976470947,800,0.049985963220270914,3.206995964050293,282.9900894165039,-121.97038532918806,-140.55611404520695,-328.99220048605946,-692.4448318717408,0.008899387,0.10576507883919618,23.79376220703125,800,8.167304992675781,-707.5155239060671,0.8870077133178711,0.08484306516850029,0.9694303,0.033115848397360335,-141.50848425985754,22.813048362731934,0.7634615898132324,0.0005
